train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.038705144077539444,0.0007815062999725342,6.306468491122993,5.825089214553469,6.239671562652355,"(10, 10, 10, 10)","(67, 80, 80, 80)",4,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.06637859066428746, 0.07875609454438139, 0.1373181020105879, 0.08909278663849096], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 20, 20, 20), 'expand_loss': 0.004399814177304506, 'compress_loss': 0.0029989019967615604, 'prev_best_val': 6.306468491122993, 'candidate_val': 5.970899705910357, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.015500865864609551, 0.030806323110332805, 0.037860471428850066, 0.03350430370922611], 'ranks_before': (20, 20, 20, 20), 'ranks_target': (40, 40, 40, 40), 'ranks_after_expand': (40, 40, 40, 40), 'ranks_after_compress': (40, 40, 40, 40), 'expand_loss': 0.0017215835396200418, 'compress_loss': 0.0013107579434290528, 'prev_best_val': 5.970899705910357, 'candidate_val': 5.936652610025816, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.011336487578732174, 0.024998808035122003, 0.029657162052110286, 0.02934816178435843], 'ranks_before': (40, 40, 40, 40), 'ranks_target': (80, 80, 80, 80), 'ranks_after_expand': (80, 80, 80, 80), 'ranks_after_compress': (67, 80, 80, 80), 'expand_loss': 0.0009040331933647394, 'compress_loss': 0.0007815062999725342, 'prev_best_val': 5.936652610025816, 'candidate_val': 5.825089214553469, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.007390237062988567, 0.017035865677981515, 0.02583010889577804, 0.02270402851145896], 'ranks_before': (67, 80, 80, 80), 'ranks_target': (134, 160, 160, 160), 'ranks_after_expand': (134, 160, 160, 160), 'ranks_after_compress': (17, 11, 7, 13), 'expand_loss': 0.008493454195559025, 'compress_loss': 0.07250946760177612, 'prev_best_val': 5.825089214553469, 'candidate_val': 10.318605024239279, 'improved': False}]"
2000,1001,2000,1000,0.019337773323059082,0.006019259337335825,5.585996589154912,4.168675343180528,5.266355657181755,"(10, 10, 10, 10)","(31, 26, 14, 47)",5,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.028314095130421716, 0.039852938070373684, 0.05689662686140812, 0.0785187949514274], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 20, 20, 20), 'expand_loss': 0.0071324692107737064, 'compress_loss': 0.004240323789417744, 'prev_best_val': 5.585996589154912, 'candidate_val': 5.541220622486186, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.0310836766751059, 0.02726623145411712, 0.03153526960617344, 0.020738430828634212], 'ranks_before': (20, 20, 20, 20), 'ranks_target': (40, 40, 40, 40), 'ranks_after_expand': (40, 40, 40, 40), 'ranks_after_compress': (33, 40, 40, 40), 'expand_loss': 0.0019536674953997135, 'compress_loss': 0.0013740698341280222, 'prev_best_val': 5.541220622486186, 'candidate_val': 5.410975753712078, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.014858035910449019, 0.02087236356649133, 0.023927754902738626, 0.015100178918433075], 'ranks_before': (33, 40, 40, 40), 'ranks_target': (66, 80, 80, 80), 'ranks_after_expand': (66, 80, 80, 80), 'ranks_after_compress': (20, 14, 8, 34), 'expand_loss': 0.008808713406324387, 'compress_loss': 0.048241715878248215, 'prev_best_val': 5.410975753712078, 'candidate_val': 5.1343475495551845, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.01293007002191171, 0.015081452022843429, 0.015780220624038718, 0.01026557145138678], 'ranks_before': (20, 14, 8, 34), 'ranks_target': (40, 28, 16, 68), 'ranks_after_expand': (40, 28, 16, 68), 'ranks_after_compress': (31, 26, 14, 47), 'expand_loss': 0.01836497150361538, 'compress_loss': 0.006019259337335825, 'prev_best_val': 5.1343475495551845, 'candidate_val': 4.168675343180528, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.037212583960636376, 0.05031512504973367, 0.11168121551519067, 0.0066113913495663345], 'ranks_before': (31, 26, 14, 47), 'ranks_target': (62, 52, 28, 94), 'ranks_after_expand': (62, 52, 28, 94), 'ranks_after_compress': (37, 35, 28, 65), 'expand_loss': 0.0020937148947268724, 'compress_loss': 0.0007188281742855906, 'prev_best_val': 4.168675343180528, 'candidate_val': 4.659714300618184, 'improved': False}]"
3000,1501,3000,1000,0.01239797007292509,0.0012162879575043917,5.793862523978616,4.535154122167575,5.310358191055057,"(10, 10, 10, 10)","(38, 40, 40, 40)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.035853263456610454, 0.036127927054677066, 0.04316178282876938, 0.0673077296641036], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 20, 20, 20), 'expand_loss': 0.004953999072313309, 'compress_loss': 0.002951286733150482, 'prev_best_val': 5.793862523978616, 'candidate_val': 5.1181585241001075, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.07233764144066518, 0.032916779225782435, 0.03812510657331874, 0.0261119853305623], 'ranks_before': (20, 20, 20, 20), 'ranks_target': (40, 40, 40, 40), 'ranks_after_expand': (40, 40, 40, 40), 'ranks_after_compress': (38, 40, 40, 40), 'expand_loss': 0.0018906620098277926, 'compress_loss': 0.0012162879575043917, 'prev_best_val': 5.1181585241001075, 'candidate_val': 4.535154122167575, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.027158166523160488, 0.011754533690373534, 0.02273474100691677, 0.01072969676261042], 'ranks_before': (38, 40, 40, 40), 'ranks_target': (76, 80, 80, 80), 'ranks_after_expand': (76, 80, 80, 80), 'ranks_after_compress': (25, 13, 11, 18), 'expand_loss': 0.009121446870267391, 'compress_loss': 0.019224146381020546, 'prev_best_val': 4.535154122167575, 'candidate_val': 4.849011001630072, 'improved': False}]"
4000,2001,4000,1000,0.009959835559129715,0.009959835559129715,5.4792401082338476,5.4792401082338476,5.213810276509179,"(10, 10, 10, 10)","(10, 10, 10, 10)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.11008842496336099, 0.14110483785762756, 0.20938535766864513, 0.3925154771069822], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 20, 20, 20), 'expand_loss': 0.004798011854290962, 'compress_loss': 0.003935788758099079, 'prev_best_val': 5.4792401082338476, 'candidate_val': 5.537103586366701, 'improved': False}]"
5000,2501,5000,1000,0.019513104110956192,0.001375039340928197,4.239968951307791,4.004736262694549,3.9753363544180598,"(10, 10, 10, 10)","(40, 37, 40, 40)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.13253555444925202, 0.029261012580196696, 0.01563696776164675, 0.015612481917505083], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 20, 20, 20), 'expand_loss': 0.004867573268711567, 'compress_loss': 0.003455421654507518, 'prev_best_val': 4.239968951307791, 'candidate_val': 4.036189553662146, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.15448037682357668, 0.03794193820980939, 0.015316239154833816, 0.016894431451741274], 'ranks_before': (20, 20, 20, 20), 'ranks_target': (40, 40, 40, 40), 'ranks_after_expand': (40, 40, 40, 40), 'ranks_after_compress': (40, 37, 40, 40), 'expand_loss': 0.001626175013370812, 'compress_loss': 0.001375039340928197, 'prev_best_val': 4.036189553662146, 'candidate_val': 4.004736262694549, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.04029536337180253, 0.006446552784319785, 0.01667338795894913, 0.012491423879998194], 'ranks_before': (40, 37, 40, 40), 'ranks_target': (80, 74, 80, 80), 'ranks_after_expand': (80, 74, 80, 80), 'ranks_after_compress': (32, 21, 16, 65), 'expand_loss': 0.01004821714013815, 'compress_loss': 0.033467069268226624, 'prev_best_val': 4.004736262694549, 'candidate_val': 7.032723377986489, 'improved': False}]"
6000,3001,6000,1000,0.011397900059819221,0.0010638453532010317,3.592288137885401,3.1337581207685745,3.666044974446928,"(10, 10, 10, 10)","(59, 41, 47, 44)",4,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.14839998491191825, 0.13349504891669173, 0.033144976237475615, 0.0420698736085672], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 18, 13, 17), 'expand_loss': 0.0047569843009114265, 'compress_loss': 0.0038771405816078186, 'prev_best_val': 3.592288137885401, 'candidate_val': 3.433511539612309, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.11657693507483309, 0.03630094275467913, 0.02942117018648363, 0.011499915764218561], 'ranks_before': (20, 18, 13, 17), 'ranks_target': (40, 36, 26, 34), 'ranks_after_expand': (40, 36, 26, 34), 'ranks_after_compress': (40, 30, 24, 23), 'expand_loss': 0.0020923400297760963, 'compress_loss': 0.0016513520386070013, 'prev_best_val': 3.433511539612309, 'candidate_val': 3.2877735066389535, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.04443123863642189, 0.009346643695979122, 0.013588239417232206, 0.010039652100265724], 'ranks_before': (40, 30, 24, 23), 'ranks_target': (80, 60, 48, 46), 'ranks_after_expand': (80, 60, 48, 46), 'ranks_after_compress': (59, 41, 47, 44), 'expand_loss': 0.0013353901449590921, 'compress_loss': 0.0010638453532010317, 'prev_best_val': 3.2877735066389535, 'candidate_val': 3.1337581207685745, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.011603104517009223, 0.008498862192361048, 0.011716679337978198, 0.00646084368793849], 'ranks_before': (59, 41, 47, 44), 'ranks_target': (118, 82, 94, 88), 'ranks_after_expand': (118, 82, 94, 88), 'ranks_after_compress': (41, 18, 11, 19), 'expand_loss': 0.008277123793959618, 'compress_loss': 0.10452352464199066, 'prev_best_val': 3.1337581207685745, 'candidate_val': 6.91203409464406, 'improved': False}]"
7000,3501,7000,1000,0.010658296756446362,0.010658296756446362,5.152386703655832,5.152386703655832,3.502745859662995,"(10, 10, 10, 10)","(10, 10, 10, 10)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.13002048493894447, 0.11921953739592875, 0.2230719279846451, 0.2362253731456874], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 20, 20, 15), 'expand_loss': 0.005084729287773371, 'compress_loss': 0.004296587780117989, 'prev_best_val': 5.152386703655832, 'candidate_val': 5.199121072183848, 'improved': False}]"
8000,4001,8000,1000,0.011729495599865913,0.011729495599865913,3.638699273974993,3.638699273974993,3.573102513773667,"(10, 10, 10, 10)","(10, 10, 10, 10)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.22856960554067404, 0.1416471760042425, 0.02340026386436872, 0.037172005501356034], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 18, 18, 19), 'expand_loss': 0.0064097316935658455, 'compress_loss': 0.005715951323509216, 'prev_best_val': 3.638699273974993, 'candidate_val': 3.6863071694539555, 'improved': False}]"
9000,4501,9000,1000,0.012875000014901161,0.0057533979415893555,3.1913225858964136,3.188476677923271,3.067904684103596,"(10, 10, 10, 10)","(20, 20, 20, 18)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.12313526144080586, 0.29142040731597835, 0.04278446757343865, 0.055049006126328986], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 20, 20, 18), 'expand_loss': 0.006798670161515474, 'compress_loss': 0.0057533979415893555, 'prev_best_val': 3.1913225858964136, 'candidate_val': 3.188476677923271, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.16777469573084922, 0.033802301809376545, 0.008103149251452281, 0.007339871401316097], 'ranks_before': (20, 20, 20, 18), 'ranks_target': (40, 40, 40, 36), 'ranks_after_expand': (40, 40, 40, 36), 'ranks_after_compress': (40, 32, 30, 22), 'expand_loss': 0.0033068007323890924, 'compress_loss': 0.0028468903619796038, 'prev_best_val': 3.188476677923271, 'candidate_val': 3.209017204888141, 'improved': False}]"
10000,5001,10000,1000,0.013537087477743626,0.0030203298665583134,3.211819894340819,3.199452296789379,3.075136964331433,"(10, 10, 10, 10)","(40, 36, 39, 36)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.13433326445922722, 0.31912283812726344, 0.038265966062099484, 0.0567045572468551], 'ranks_before': (10, 10, 10, 10), 'ranks_target': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 20), 'ranks_after_compress': (20, 18, 20, 18), 'expand_loss': 0.006958778947591782, 'compress_loss': 0.0060593076050281525, 'prev_best_val': 3.211819894340819, 'candidate_val': 3.2095036291015955, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.15193812357477057, 0.08003193996033453, 0.010593650750614593, 0.010591062916741348], 'ranks_before': (20, 18, 20, 18), 'ranks_target': (40, 36, 40, 36), 'ranks_after_expand': (40, 36, 40, 36), 'ranks_after_compress': (40, 36, 39, 36), 'expand_loss': 0.0034490975085645914, 'compress_loss': 0.0030203298665583134, 'prev_best_val': 3.2095036291015955, 'candidate_val': 3.199452296789379, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.06585517384119985, 0.023458748616802045, 0.006130065098168535, 0.00918717169529275], 'ranks_before': (40, 36, 39, 36), 'ranks_target': (80, 72, 78, 72), 'ranks_after_expand': (80, 72, 78, 72), 'ranks_after_compress': (43, 22, 12, 19), 'expand_loss': 0.01183003094047308, 'compress_loss': 0.10472477972507477, 'prev_best_val': 3.199452296789379, 'candidate_val': 8.43089876357777, 'improved': False}]"
