train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.00547577440738678,0.00547577440738678,6.944999061057003,6.944999061057003,7.392111174152312,"(20, 20, 20, 20)","(20, 20, 20, 20)",1,"[{'trial': 1, 'layer': 3, 'sv_ratio': 0.14950202276569474, 'ranks_before': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 20, 40), 'ranks_after_compress': (20, 20, 20, 25), 'expand_loss': 0.003961714915931225, 'compress_loss': 0.003022491931915283, 'prev_best_val': 6.944999061057003, 'candidate_val': 7.100398123917681, 'improved': False}]"
2000,1001,2000,1000,0.006490787025541067,0.00048566723125986755,6.409498574955158,4.022967045234125,5.250946416226392,"(20, 20, 20, 20)","(33, 38, 25, 28)",16,"[{'trial': 1, 'layer': 2, 'sv_ratio': 0.12481659226006077, 'ranks_before': (20, 20, 20, 20), 'ranks_after_expand': (20, 20, 40, 20), 'ranks_after_compress': (20, 20, 30, 20), 'expand_loss': 0.005151059478521347, 'compress_loss': 0.003857516450807452, 'prev_best_val': 6.409498574955158, 'candidate_val': 5.901469106817139, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.14653821623119082, 'ranks_before': (20, 20, 30, 20), 'ranks_after_expand': (40, 20, 30, 20), 'ranks_after_compress': (23, 20, 30, 20), 'expand_loss': 0.0031554456800222397, 'compress_loss': 0.0027744737453758717, 'prev_best_val': 5.901469106817139, 'candidate_val': 5.789492285605243, 'improved': True}, {'trial': 3, 'layer': 1, 'sv_ratio': 0.2057218585231573, 'ranks_before': (23, 20, 30, 20), 'ranks_after_expand': (23, 40, 30, 20), 'ranks_after_compress': (23, 23, 30, 20), 'expand_loss': 0.0026272963732481003, 'compress_loss': 0.002504852833226323, 'prev_best_val': 5.789492285605243, 'candidate_val': 5.526525108629902, 'improved': True}, {'trial': 4, 'layer': 0, 'sv_ratio': 0.08681484367869355, 'ranks_before': (23, 23, 30, 20), 'ranks_after_expand': (46, 23, 30, 20), 'ranks_after_compress': (27, 23, 30, 20), 'expand_loss': 0.0019730059430003166, 'compress_loss': 0.0017780301859602332, 'prev_best_val': 5.526525108629902, 'candidate_val': 5.2172414003956, 'improved': True}, {'trial': 5, 'layer': 1, 'sv_ratio': 0.16005036059555128, 'ranks_before': (27, 23, 30, 20), 'ranks_after_expand': (27, 46, 30, 20), 'ranks_after_compress': (27, 33, 30, 20), 'expand_loss': 0.0015400167321786284, 'compress_loss': 0.0013349594082683325, 'prev_best_val': 5.2172414003956, 'candidate_val': 4.840186195047508, 'improved': True}, {'trial': 6, 'layer': 3, 'sv_ratio': 0.08514013890922746, 'ranks_before': (27, 33, 30, 20), 'ranks_after_expand': (27, 33, 30, 40), 'ranks_after_compress': (27, 33, 30, 30), 'expand_loss': 0.0012274947948753834, 'compress_loss': 0.001093375845812261, 'prev_best_val': 4.840186195047508, 'candidate_val': 4.587641365120022, 'improved': True}, {'trial': 7, 'layer': 0, 'sv_ratio': 0.10195019771896961, 'ranks_before': (27, 33, 30, 30), 'ranks_after_expand': (54, 33, 30, 30), 'ranks_after_compress': (28, 33, 30, 26), 'expand_loss': 0.0010680834529921412, 'compress_loss': 0.0009653809829615057, 'prev_best_val': 4.587641365120022, 'candidate_val': 4.455740166996717, 'improved': True}, {'trial': 8, 'layer': 0, 'sv_ratio': 0.061449530011198246, 'ranks_before': (28, 33, 30, 26), 'ranks_after_expand': (56, 33, 30, 26), 'ranks_after_compress': (31, 33, 29, 25), 'expand_loss': 0.000821209920104593, 'compress_loss': 0.0008232872933149338, 'prev_best_val': 4.455740166996717, 'candidate_val': 4.382260253872031, 'improved': True}, {'trial': 9, 'layer': 1, 'sv_ratio': 0.04436392514646255, 'ranks_before': (31, 33, 29, 25), 'ranks_after_expand': (31, 66, 29, 25), 'ranks_after_compress': (31, 40, 29, 25), 'expand_loss': 0.0007461606874130666, 'compress_loss': 0.000752087973523885, 'prev_best_val': 4.382260253872031, 'candidate_val': 4.268841146080208, 'improved': True}, {'trial': 10, 'layer': 3, 'sv_ratio': 0.04439422980116382, 'ranks_before': (31, 40, 29, 25), 'ranks_after_expand': (31, 40, 29, 50), 'ranks_after_compress': (31, 37, 28, 31), 'expand_loss': 0.0007352137472480536, 'compress_loss': 0.0006825673626735806, 'prev_best_val': 4.268841146080208, 'candidate_val': 4.176978554962181, 'improved': True}, {'trial': 11, 'layer': 0, 'sv_ratio': 0.033452089943936836, 'ranks_before': (31, 37, 28, 31), 'ranks_after_expand': (62, 37, 28, 31), 'ranks_after_compress': (31, 37, 28, 26), 'expand_loss': 0.0006398961995728314, 'compress_loss': 0.0006406129105016589, 'prev_best_val': 4.176978554962181, 'candidate_val': 4.122751577498643, 'improved': True}, {'trial': 12, 'layer': 0, 'sv_ratio': 0.04315888170519644, 'ranks_before': (31, 37, 28, 26), 'ranks_after_expand': (62, 37, 28, 26), 'ranks_after_compress': (34, 37, 28, 26), 'expand_loss': 0.0005341313662938774, 'compress_loss': 0.0005696521839126945, 'prev_best_val': 4.122751577498643, 'candidate_val': 4.07646417331407, 'improved': True}, {'trial': 13, 'layer': 1, 'sv_ratio': 0.02997616435549887, 'ranks_before': (34, 37, 28, 26), 'ranks_after_expand': (34, 74, 28, 26), 'ranks_after_compress': (33, 40, 28, 25), 'expand_loss': 0.0004820092872250825, 'compress_loss': 0.0004748431674670428, 'prev_best_val': 4.07646417331407, 'candidate_val': 4.067555384024587, 'improved': True}, {'trial': 14, 'layer': 3, 'sv_ratio': 0.053994246101036196, 'ranks_before': (33, 40, 28, 25), 'ranks_after_expand': (33, 40, 28, 50), 'ranks_after_compress': (33, 37, 26, 31), 'expand_loss': 0.0004921775544062257, 'compress_loss': 0.0004998043878003955, 'prev_best_val': 4.067555384024587, 'candidate_val': 4.03374337900046, 'improved': True}, {'trial': 15, 'layer': 1, 'sv_ratio': 0.03384498536133359, 'ranks_before': (33, 37, 26, 31), 'ranks_after_expand': (33, 74, 26, 31), 'ranks_after_compress': (33, 38, 25, 28), 'expand_loss': 0.0004988752189092338, 'compress_loss': 0.00048566723125986755, 'prev_best_val': 4.03374337900046, 'candidate_val': 4.022967045234125, 'improved': True}, {'trial': 16, 'layer': 0, 'sv_ratio': 0.029184596573138835, 'ranks_before': (33, 38, 25, 28), 'ranks_after_expand': (66, 38, 25, 28), 'ranks_after_compress': (34, 37, 23, 26), 'expand_loss': 0.00044980310485698283, 'compress_loss': 0.00045368721475824714, 'prev_best_val': 4.022967045234125, 'candidate_val': 4.041399866536452, 'improved': False}]"
3000,1501,3000,1000,0.0012320161331444979,0.0012320161331444979,4.059714398579439,4.059714398579439,4.94310609522054,"(33, 38, 25, 25)","(33, 38, 25, 25)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.14438558162115725, 'ranks_before': (33, 38, 25, 25), 'ranks_after_expand': (66, 38, 25, 25), 'ranks_after_compress': (37, 38, 25, 22), 'expand_loss': 0.0009395863744430244, 'compress_loss': 0.0008875835919752717, 'prev_best_val': 4.059714398579439, 'candidate_val': 4.167477355113084, 'improved': False}]"
4000,2001,4000,1000,0.0015914344694465399,0.0013654727954417467,5.351462602698787,5.342871110165843,5.204709108375499,"(33, 38, 25, 17)","(34, 38, 25, 16)",2,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.17987255575856442, 'ranks_before': (33, 38, 25, 17), 'ranks_after_expand': (66, 38, 25, 17), 'ranks_after_compress': (34, 38, 25, 16), 'expand_loss': 0.001291196676902473, 'compress_loss': 0.0013654727954417467, 'prev_best_val': 5.351462602698787, 'candidate_val': 5.342871110165843, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.17714174385324813, 'ranks_before': (34, 38, 25, 16), 'ranks_after_expand': (34, 76, 25, 16), 'ranks_after_compress': (34, 58, 25, 15), 'expand_loss': 0.0010693389922380447, 'compress_loss': 0.0009656359325163066, 'prev_best_val': 5.342871110165843, 'candidate_val': 5.360625062390979, 'improved': False}]"
5000,2501,5000,1000,0.0016970145516097546,0.0010557431960478425,4.514279155525309,4.454505585544655,5.133333507108106,"(34, 38, 25, 15)","(34, 70, 25, 15)",2,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.227868965133519, 'ranks_before': (34, 38, 25, 15), 'ranks_after_expand': (34, 76, 25, 15), 'ranks_after_compress': (34, 70, 25, 15), 'expand_loss': 0.0010192478075623512, 'compress_loss': 0.0010557431960478425, 'prev_best_val': 4.514279155525309, 'candidate_val': 4.454505585544655, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.16254051197869762, 'ranks_before': (34, 70, 25, 15), 'ranks_after_expand': (68, 70, 25, 15), 'ranks_after_compress': (56, 70, 25, 15), 'expand_loss': 0.0008724082144908607, 'compress_loss': 0.0008570097270421684, 'prev_best_val': 4.454505585544655, 'candidate_val': 4.593305888791123, 'improved': False}]"
6000,3001,6000,1000,0.0013592580799013376,0.0010956204496324062,4.171195655104896,4.1285243829722935,5.228089958188852,"(34, 70, 25, 15)","(45, 70, 25, 13)",2,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.2180413352564859, 'ranks_before': (34, 70, 25, 15), 'ranks_after_expand': (68, 70, 25, 15), 'ranks_after_compress': (45, 70, 25, 13), 'expand_loss': 0.0011464481940492988, 'compress_loss': 0.0010956204496324062, 'prev_best_val': 4.171195655104896, 'candidate_val': 4.1285243829722935, 'improved': True}, {'trial': 2, 'layer': 2, 'sv_ratio': 0.1593311784401326, 'ranks_before': (45, 70, 25, 13), 'ranks_after_expand': (45, 70, 50, 13), 'ranks_after_compress': (45, 70, 32, 13), 'expand_loss': 0.000866573944222182, 'compress_loss': 0.0009111965773627162, 'prev_best_val': 4.1285243829722935, 'candidate_val': 4.152941624434807, 'improved': False}]"
7000,3501,7000,1000,0.0013989326544106007,0.0013989326544106007,7.200989880279499,7.200989880279499,5.21122390868872,"(45, 70, 25, 13)","(45, 70, 25, 13)",1,"[{'trial': 1, 'layer': 2, 'sv_ratio': 0.18302391238188437, 'ranks_before': (45, 70, 25, 13), 'ranks_after_expand': (45, 70, 50, 13), 'ranks_after_compress': (45, 70, 36, 13), 'expand_loss': 0.0009995934087783098, 'compress_loss': 0.0009853290393948555, 'prev_best_val': 7.200989880279499, 'candidate_val': 7.201516907183286, 'improved': False}]"
8000,4001,8000,1000,0.0019338433630764484,0.0019338433630764484,5.069314737464793,5.069314737464793,5.248310784941733,"(45, 70, 25, 13)","(45, 70, 25, 13)",1,"[{'trial': 1, 'layer': 2, 'sv_ratio': 0.21835020531703989, 'ranks_before': (45, 70, 25, 13), 'ranks_after_expand': (45, 70, 50, 13), 'ranks_after_compress': (45, 70, 37, 13), 'expand_loss': 0.0018045081524178386, 'compress_loss': 0.0018498541321605444, 'prev_best_val': 5.069314737464793, 'candidate_val': 5.08373057639051, 'improved': False}]"
9000,4501,9000,1000,0.002263166243210435,0.002263166243210435,5.138714485057313,5.138714485057313,5.282595113986252,"(45, 70, 25, 13)","(45, 70, 25, 13)",1,"[{'trial': 1, 'layer': 2, 'sv_ratio': 0.2517431236522738, 'ranks_before': (45, 70, 25, 13), 'ranks_after_expand': (45, 70, 50, 13), 'ranks_after_compress': (45, 70, 46, 13), 'expand_loss': 0.0016747824847698212, 'compress_loss': 0.0017539532855153084, 'prev_best_val': 5.138714485057313, 'candidate_val': 5.435749932779839, 'improved': False}]"
10000,5001,10000,1000,0.0027528470382094383,0.0018676299368962646,5.107903153350314,4.422803928480988,5.00762623875307,"(45, 70, 25, 13)","(63, 110, 100, 13)",5,"[{'trial': 1, 'layer': 2, 'sv_ratio': 0.2657351172679884, 'ranks_before': (45, 70, 25, 13), 'ranks_after_expand': (45, 70, 50, 13), 'ranks_after_compress': (45, 70, 50, 13), 'expand_loss': 0.001992247300222516, 'compress_loss': 0.0024818149395287037, 'prev_best_val': 5.107903153350314, 'candidate_val': 4.762369798848536, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.2554898725900047, 'ranks_before': (45, 70, 50, 13), 'ranks_after_expand': (90, 70, 50, 13), 'ranks_after_compress': (63, 70, 50, 13), 'expand_loss': 0.0020860224030911922, 'compress_loss': 0.0023385032545775175, 'prev_best_val': 4.762369798848536, 'candidate_val': 4.648061861258179, 'improved': True}, {'trial': 3, 'layer': 1, 'sv_ratio': 0.2737612291408999, 'ranks_before': (63, 70, 50, 13), 'ranks_after_expand': (63, 140, 50, 13), 'ranks_after_compress': (63, 110, 50, 13), 'expand_loss': 0.002202406758442521, 'compress_loss': 0.0025964879896491766, 'prev_best_val': 4.648061861258179, 'candidate_val': 4.569893806023818, 'improved': True}, {'trial': 4, 'layer': 2, 'sv_ratio': 0.22624619414665104, 'ranks_before': (63, 110, 50, 13), 'ranks_after_expand': (63, 110, 100, 13), 'ranks_after_compress': (63, 110, 100, 13), 'expand_loss': 0.0016935935709625483, 'compress_loss': 0.0018676299368962646, 'prev_best_val': 4.569893806023818, 'candidate_val': 4.422803928480988, 'improved': True}, {'trial': 5, 'layer': 2, 'sv_ratio': 0.13283642859467934, 'ranks_before': (63, 110, 100, 13), 'ranks_after_expand': (63, 110, 200, 13), 'ranks_after_compress': (63, 110, 175, 13), 'expand_loss': 0.0019446387887001038, 'compress_loss': 0.0028636574279516935, 'prev_best_val': 4.422803928480988, 'candidate_val': 4.856310379943013, 'improved': False}]"
