train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.005549043882638216,0.00018338707741349936,5.744485981213551,5.3155002978113615,5.537414344984913,"(10, 10)","(19, 39)",13,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.33203686377485003, 'ranks_before': (10, 10), 'ranks_after_expand': (10, 20), 'ranks_after_compress': (10, 20), 'expand_loss': 0.004376776050776243, 'compress_loss': 0.003611375577747822, 'prev_best_val': 5.744485981213551, 'candidate_val': 5.691224166379335, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.13724910407110372, 'ranks_before': (10, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (16, 20), 'expand_loss': 0.0017593802185729146, 'compress_loss': 0.0013919639168307185, 'prev_best_val': 5.691224166379335, 'candidate_val': 5.548874172757035, 'improved': True}, {'trial': 3, 'layer': 1, 'sv_ratio': 0.04109546764079499, 'ranks_before': (16, 20), 'ranks_after_expand': (16, 40), 'ranks_after_compress': (15, 40), 'expand_loss': 0.0011287018423900008, 'compress_loss': 0.0010329086799174547, 'prev_best_val': 5.548874172757035, 'candidate_val': 5.510468508142452, 'improved': True}, {'trial': 4, 'layer': 0, 'sv_ratio': 0.042575531263859, 'ranks_before': (15, 40), 'ranks_after_expand': (30, 40), 'ranks_after_compress': (18, 40), 'expand_loss': 0.0008003165130503476, 'compress_loss': 0.00068509834818542, 'prev_best_val': 5.510468508142452, 'candidate_val': 5.472394957072472, 'improved': True}, {'trial': 5, 'layer': 0, 'sv_ratio': 0.03082513706161499, 'ranks_before': (18, 40), 'ranks_after_expand': (36, 40), 'ranks_after_compress': (18, 40), 'expand_loss': 0.00055845663882792, 'compress_loss': 0.0005366839468479156, 'prev_best_val': 5.472394957072472, 'candidate_val': 5.462560675776576, 'improved': True}, {'trial': 6, 'layer': 0, 'sv_ratio': 0.03491182094975457, 'ranks_before': (18, 40), 'ranks_after_expand': (36, 40), 'ranks_after_compress': (18, 40), 'expand_loss': 0.00043404416646808386, 'compress_loss': 0.00040266200085170567, 'prev_best_val': 5.462560675776576, 'candidate_val': 5.418906064151689, 'improved': True}, {'trial': 7, 'layer': 0, 'sv_ratio': 0.03871219641602792, 'ranks_before': (18, 40), 'ranks_after_expand': (36, 40), 'ranks_after_compress': (18, 40), 'expand_loss': 0.00034251183387823403, 'compress_loss': 0.00032413494773209095, 'prev_best_val': 5.418906064151689, 'candidate_val': 5.406452854897907, 'improved': True}, {'trial': 8, 'layer': 0, 'sv_ratio': 0.040664067046337224, 'ranks_before': (18, 40), 'ranks_after_expand': (36, 40), 'ranks_after_compress': (18, 40), 'expand_loss': 0.00027248403057456017, 'compress_loss': 0.00026924838311970234, 'prev_best_val': 5.406452854897907, 'candidate_val': 5.376187006286085, 'improved': True}, {'trial': 9, 'layer': 0, 'sv_ratio': 0.048843960018744484, 'ranks_before': (18, 40), 'ranks_after_expand': (36, 40), 'ranks_after_compress': (18, 39), 'expand_loss': 0.00022883567726239562, 'compress_loss': 0.0002727029786910862, 'prev_best_val': 5.376187006286085, 'candidate_val': 5.359201689463203, 'improved': True}, {'trial': 10, 'layer': 0, 'sv_ratio': 0.04132212450017321, 'ranks_before': (18, 39), 'ranks_after_expand': (36, 39), 'ranks_after_compress': (18, 39), 'expand_loss': 0.00021695726900361478, 'compress_loss': 0.00023711586254648864, 'prev_best_val': 5.359201689463203, 'candidate_val': 5.326233323304315, 'improved': True}, {'trial': 11, 'layer': 0, 'sv_ratio': 0.04119112677196692, 'ranks_before': (18, 39), 'ranks_after_expand': (36, 39), 'ranks_after_compress': (18, 39), 'expand_loss': 0.00020154188678134233, 'compress_loss': 0.00021015384118072689, 'prev_best_val': 5.326233323304315, 'candidate_val': 5.319565240880771, 'improved': True}, {'trial': 12, 'layer': 0, 'sv_ratio': 0.04396135043609468, 'ranks_before': (18, 39), 'ranks_after_expand': (36, 39), 'ranks_after_compress': (19, 39), 'expand_loss': 0.00012829937622882426, 'compress_loss': 0.00018338707741349936, 'prev_best_val': 5.319565240880771, 'candidate_val': 5.3155002978113615, 'improved': True}, {'trial': 13, 'layer': 0, 'sv_ratio': 0.02692755144258804, 'ranks_before': (19, 39), 'ranks_after_expand': (38, 39), 'ranks_after_compress': (19, 39), 'expand_loss': 0.00012982006592210382, 'compress_loss': 0.00015888709458522499, 'prev_best_val': 5.3155002978113615, 'candidate_val': 5.318796165582705, 'improved': False}]"
2000,1001,2000,1000,0.001865698373876512,0.0002974352682940662,4.3049874665507275,3.973856804652404,5.232585651422551,"(19, 39)","(25, 27)",8,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.16824499178518795, 'ranks_before': (19, 39), 'ranks_after_expand': (38, 39), 'ranks_after_compress': (25, 35), 'expand_loss': 0.0007496367325074971, 'compress_loss': 0.0006931699463166296, 'prev_best_val': 4.3049874665507275, 'candidate_val': 4.183193276162595, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.01923800725470002, 'ranks_before': (25, 35), 'ranks_after_expand': (50, 35), 'ranks_after_compress': (26, 32), 'expand_loss': 0.00047281713341362774, 'compress_loss': 0.0004812092229258269, 'prev_best_val': 4.183193276162595, 'candidate_val': 4.128994798611422, 'improved': True}, {'trial': 3, 'layer': 0, 'sv_ratio': 0.023451420039704927, 'ranks_before': (26, 32), 'ranks_after_expand': (52, 32), 'ranks_after_compress': (26, 29), 'expand_loss': 0.0003931367245968431, 'compress_loss': 0.0004286218900233507, 'prev_best_val': 4.128994798611422, 'candidate_val': 4.066111231618133, 'improved': True}, {'trial': 4, 'layer': 0, 'sv_ratio': 0.023742674079389407, 'ranks_before': (26, 29), 'ranks_after_expand': (52, 29), 'ranks_after_compress': (26, 27), 'expand_loss': 0.00033945986069738865, 'compress_loss': 0.0003918505390174687, 'prev_best_val': 4.066111231618133, 'candidate_val': 4.023058280668183, 'improved': True}, {'trial': 5, 'layer': 1, 'sv_ratio': 0.02312696270345357, 'ranks_before': (26, 27), 'ranks_after_expand': (26, 54), 'ranks_after_compress': (25, 33), 'expand_loss': 0.00034341460559517145, 'compress_loss': 0.00034935984876938164, 'prev_best_val': 4.023058280668183, 'candidate_val': 3.984764029072577, 'improved': True}, {'trial': 6, 'layer': 0, 'sv_ratio': 0.02683647402024292, 'ranks_before': (25, 33), 'ranks_after_expand': (50, 33), 'ranks_after_compress': (25, 29), 'expand_loss': 0.0002647347282618284, 'compress_loss': 0.0003214555326849222, 'prev_best_val': 3.984764029072577, 'candidate_val': 3.9801092434701024, 'improved': True}, {'trial': 7, 'layer': 0, 'sv_ratio': 0.027368688908567532, 'ranks_before': (25, 29), 'ranks_after_expand': (50, 29), 'ranks_after_compress': (25, 27), 'expand_loss': 0.0002569316129665822, 'compress_loss': 0.0002974352682940662, 'prev_best_val': 3.9801092434701024, 'candidate_val': 3.973856804652404, 'improved': True}, {'trial': 8, 'layer': 0, 'sv_ratio': 0.025919206697118332, 'ranks_before': (25, 27), 'ranks_after_expand': (50, 27), 'ranks_after_compress': (25, 25), 'expand_loss': 0.0002536044339649379, 'compress_loss': 0.0002790681319311261, 'prev_best_val': 3.973856804652404, 'candidate_val': 3.9958061503481783, 'improved': False}]"
3000,1501,3000,1000,0.0014320247573778033,0.0006702022510580719,4.271571557537195,4.23091481814593,5.202918747967526,"(25, 27)","(30, 31)",3,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.09882211560939505, 'ranks_before': (25, 27), 'ranks_after_expand': (50, 27), 'ranks_after_compress': (31, 25), 'expand_loss': 0.0007470850250683725, 'compress_loss': 0.0007807048968970776, 'prev_best_val': 4.271571557537195, 'candidate_val': 4.247132502429626, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.022137668742633437, 'ranks_before': (31, 25), 'ranks_after_expand': (31, 50), 'ranks_after_compress': (30, 31), 'expand_loss': 0.0007261816062964499, 'compress_loss': 0.0006702022510580719, 'prev_best_val': 4.247132502429626, 'candidate_val': 4.23091481814593, 'improved': True}, {'trial': 3, 'layer': 0, 'sv_ratio': 0.027804010299504193, 'ranks_before': (30, 31), 'ranks_after_expand': (60, 31), 'ranks_after_compress': (32, 28), 'expand_loss': 0.0004387836088426411, 'compress_loss': 0.0005247317021712661, 'prev_best_val': 4.23091481814593, 'candidate_val': 4.2313744868052705, 'improved': False}]"
4000,2001,4000,1000,0.0012793494388461113,0.0006763675482943654,4.829460397687925,4.826543213110698,4.979059764025482,"(30, 31)","(38, 27)",2,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.07890654434542907, 'ranks_before': (30, 31), 'ranks_after_expand': (60, 31), 'ranks_after_compress': (38, 27), 'expand_loss': 0.00042980138096027076, 'compress_loss': 0.0006763675482943654, 'prev_best_val': 4.829460397687925, 'candidate_val': 4.826543213110698, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.024193078351462154, 'ranks_before': (38, 27), 'ranks_after_expand': (76, 27), 'ranks_after_compress': (38, 26), 'expand_loss': 0.0003661934460978955, 'compress_loss': 0.000593087577726692, 'prev_best_val': 4.826543213110698, 'candidate_val': 4.855584312721545, 'improved': False}]"
5000,2501,5000,1000,0.0012050557415932417,0.0012050557415932417,4.406546139519567,4.406546139519567,4.7974914513385345,"(38, 27)","(38, 27)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.05661841759799776, 'ranks_before': (38, 27), 'ranks_after_expand': (76, 27), 'ranks_after_compress': (43, 25), 'expand_loss': 0.0005509176990017295, 'compress_loss': 0.0008085116860456765, 'prev_best_val': 4.406546139519567, 'candidate_val': 4.413175069832159, 'improved': False}]"
6000,3001,6000,1000,0.0012253673048689961,0.0007894471636973321,4.211957620389092,4.210186224778682,4.906996046576516,"(38, 27)","(48, 26)",2,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.08783419990228053, 'ranks_before': (38, 27), 'ranks_after_expand': (76, 27), 'ranks_after_compress': (48, 26), 'expand_loss': 0.0004199323302600533, 'compress_loss': 0.0007894471636973321, 'prev_best_val': 4.211957620389092, 'candidate_val': 4.210186224778682, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.03889645823761495, 'ranks_before': (48, 26), 'ranks_after_expand': (96, 26), 'ranks_after_compress': (48, 25), 'expand_loss': 0.0003588421386666596, 'compress_loss': 0.0007395422435365617, 'prev_best_val': 4.210186224778682, 'candidate_val': 4.263767664772421, 'improved': False}]"
7000,3501,7000,1000,0.0008123723673634231,0.0008123723673634231,6.577921574097457,6.577921574097457,4.90272592185125,"(48, 26)","(48, 26)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.09684662577732728, 'ranks_before': (48, 26), 'ranks_after_expand': (96, 26), 'ranks_after_compress': (69, 26), 'expand_loss': 0.00031795294489711523, 'compress_loss': 0.0005398817593231797, 'prev_best_val': 6.577921574097457, 'candidate_val': 6.58943185257576, 'improved': False}]"
8000,4001,8000,1000,0.001150393858551979,0.001150393858551979,4.69851704777021,4.69851704777021,4.9116261017241385,"(48, 26)","(48, 26)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.1390374858916167, 'ranks_before': (48, 26), 'ranks_after_expand': (96, 26), 'ranks_after_compress': (94, 26), 'expand_loss': 0.00041668774792924523, 'compress_loss': 0.000391703360946849, 'prev_best_val': 4.69851704777021, 'candidate_val': 4.7887381021753725, 'improved': False}]"
9000,4501,9000,1000,0.0009766587754711509,0.0009766587754711509,4.774965139358768,4.774965139358768,4.8401045091649175,"(48, 26)","(48, 26)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.20617571195097587, 'ranks_before': (48, 26), 'ranks_after_expand': (96, 26), 'ranks_after_compress': (91, 26), 'expand_loss': 0.0004040583153255284, 'compress_loss': 0.0004099035286344588, 'prev_best_val': 4.774965139358768, 'candidate_val': 4.921156136080876, 'improved': False}]"
10000,5001,10000,1000,0.0010051841381937265,0.0002693135174922645,4.37581626607246,4.277096797490029,4.685357153992953,"(48, 26)","(96, 31)",3,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.2541263429594329, 'ranks_before': (48, 26), 'ranks_after_expand': (96, 26), 'ranks_after_compress': (96, 26), 'expand_loss': 0.00032862360239960253, 'compress_loss': 0.0003677824861370027, 'prev_best_val': 4.37581626607246, 'candidate_val': 4.333693728441772, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.04464919989883874, 'ranks_before': (96, 26), 'ranks_after_expand': (96, 52), 'ranks_after_compress': (96, 31), 'expand_loss': 0.0002612904063425958, 'compress_loss': 0.0002693135174922645, 'prev_best_val': 4.333693728441772, 'candidate_val': 4.277096797490029, 'improved': True}, {'trial': 3, 'layer': 0, 'sv_ratio': 0.057954387677069404, 'ranks_before': (96, 31), 'ranks_after_expand': (192, 31), 'ranks_after_compress': (96, 28), 'expand_loss': 0.00013622076949104667, 'compress_loss': 0.00022175072808749974, 'prev_best_val': 4.277096797490029, 'candidate_val': 4.305281056672002, 'improved': False}]"
