train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.054762814193964005,0.054762814193964005,6.219492030863424,6.219492030863424,6.825040452035941,"(2, 2)","(2, 2)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.7156216373389597, 'ranks_before': (2, 2), 'ranks_after_expand': (4, 2), 'ranks_after_compress': (2, 2), 'expand_loss': 0.05449826642870903, 'compress_loss': 0.05438806861639023, 'prev_best_val': 6.219492030863424, 'candidate_val': 6.227578348937434, 'improved': False}]"
2000,1001,2000,1000,0.054548878222703934,0.054548878222703934,5.569704677302165,5.569704677302165,7.050541629399761,"(2, 2)","(2, 2)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.7547819788908824, 'ranks_before': (2, 2), 'ranks_after_expand': (4, 2), 'ranks_after_compress': (3, 2), 'expand_loss': 0.054404471069574356, 'compress_loss': 0.05430659279227257, 'prev_best_val': 5.569704677302165, 'candidate_val': 5.597591900308554, 'improved': False}]"
3000,1501,3000,1000,0.05400487780570984,0.05378822982311249,5.865787010154236,5.530001675108742,5.88593233009506,"(2, 2)","(3, 2)",2,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.72240558970022, 'ranks_before': (2, 2), 'ranks_after_expand': (4, 2), 'ranks_after_compress': (3, 2), 'expand_loss': 0.053829435259103775, 'compress_loss': 0.05378822982311249, 'prev_best_val': 5.865787010154236, 'candidate_val': 5.530001675108742, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.6351858844712189, 'ranks_before': (3, 2), 'ranks_after_expand': (3, 4), 'ranks_after_compress': (3, 4), 'expand_loss': 0.03138776868581772, 'compress_loss': 0.031267110258340836, 'prev_best_val': 5.530001675108742, 'candidate_val': 6.130954169437056, 'improved': False}]"
4000,2001,4000,1000,0.053893689066171646,0.05382708087563515,5.70053906218345,5.495726087211901,5.393395615373789,"(3, 2)","(4, 2)",2,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.6646032502873921, 'ranks_before': (3, 2), 'ranks_after_expand': (6, 2), 'ranks_after_compress': (4, 2), 'expand_loss': 0.05384959653019905, 'compress_loss': 0.05382708087563515, 'prev_best_val': 5.70053906218345, 'candidate_val': 5.495726087211901, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.5786464998560433, 'ranks_before': (4, 2), 'ranks_after_expand': (4, 4), 'ranks_after_compress': (4, 4), 'expand_loss': 0.025878451764583588, 'compress_loss': 0.02570006065070629, 'prev_best_val': 5.495726087211901, 'candidate_val': 6.449286556809172, 'improved': False}]"
5000,2501,5000,1000,0.053357139229774475,0.053357139229774475,4.502373841522456,4.502373841522456,5.106458882872808,"(4, 2)","(4, 2)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.34711224159862936, 'ranks_before': (4, 2), 'ranks_after_expand': (8, 2), 'ranks_after_compress': (5, 2), 'expand_loss': 0.053040724247694016, 'compress_loss': 0.05269064009189606, 'prev_best_val': 4.502373841522456, 'candidate_val': 4.609621635452857, 'improved': False}]"
6000,3001,6000,1000,0.05281982198357582,0.05281982198357582,4.515818568345116,4.515818568345116,4.884575707712607,"(4, 2)","(4, 2)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.43277712906642574, 'ranks_before': (4, 2), 'ranks_after_expand': (8, 2), 'ranks_after_compress': (6, 2), 'expand_loss': 0.05226694792509079, 'compress_loss': 0.050654903054237366, 'prev_best_val': 4.515818568345116, 'candidate_val': 4.775294541989454, 'improved': False}]"
7000,3501,7000,1000,0.0523107573390007,0.0523107573390007,6.606854210207127,6.606854210207127,4.801557273592492,"(4, 2)","(4, 2)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.40249382268848805, 'ranks_before': (4, 2), 'ranks_after_expand': (8, 2), 'ranks_after_compress': (8, 2), 'expand_loss': 0.04627438262104988, 'compress_loss': 0.045739784836769104, 'prev_best_val': 6.606854210207127, 'candidate_val': 7.321512763105667, 'improved': False}]"
8000,4001,8000,1000,0.05095551535487175,0.05095551535487175,5.136803273248947,5.136803273248947,5.136447732505699,"(4, 2)","(4, 2)",1,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.34690062855834486, 'ranks_before': (4, 2), 'ranks_after_expand': (4, 4), 'ranks_after_compress': (4, 4), 'expand_loss': 0.027476653456687927, 'compress_loss': 0.026362033560872078, 'prev_best_val': 5.136803273248947, 'candidate_val': 5.930453725341984, 'improved': False}]"
9000,4501,9000,1000,0.046837642788887024,0.046837642788887024,5.83962859087213,5.83962859087213,5.88830129659203,"(4, 2)","(4, 2)",1,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.5721444945238925, 'ranks_before': (4, 2), 'ranks_after_expand': (4, 4), 'ranks_after_compress': (4, 4), 'expand_loss': 0.0314372219145298, 'compress_loss': 0.030731143429875374, 'prev_best_val': 5.83962859087213, 'candidate_val': 7.3187220802400805, 'improved': False}]"
10000,5001,10000,1000,0.047399770468473434,0.047399770468473434,5.442797158717217,5.442797158717217,5.651869640816918,"(4, 2)","(4, 2)",1,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.5723117183204346, 'ranks_before': (4, 2), 'ranks_after_expand': (4, 4), 'ranks_after_compress': (4, 3), 'expand_loss': 0.03403454273939133, 'compress_loss': 0.03580904379487038, 'prev_best_val': 5.442797158717217, 'candidate_val': 6.867320882464385, 'improved': False}]"
11000,5501,11000,1000,0.04796817526221275,0.04796817526221275,5.049834400112898,5.049834400112898,5.608885607664708,"(4, 2)","(4, 2)",1,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.6235460664020788, 'ranks_before': (4, 2), 'ranks_after_expand': (4, 4), 'ranks_after_compress': (4, 4), 'expand_loss': 0.03454304859042168, 'compress_loss': 0.03250139579176903, 'prev_best_val': 5.049834400112898, 'candidate_val': 5.972282564875435, 'improved': False}]"
12000,6001,12000,1000,0.04861229658126831,0.04861229658126831,5.5816473571064185,5.5816473571064185,5.660583620067916,"(4, 2)","(4, 2)",1,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.6204918860577687, 'ranks_before': (4, 2), 'ranks_after_expand': (4, 4), 'ranks_after_compress': (4, 4), 'expand_loss': 0.035632453858852386, 'compress_loss': 0.03342908248305321, 'prev_best_val': 5.5816473571064185, 'candidate_val': 9.4354033765804, 'improved': False}]"
