train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.0051121218129992485,0.025803018361330032,5.807718347209147,5.139934147187658,5.645034080925656,"(10, 10)","(23, 6)",7,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.13070076221216537, 0.35759799100261874], 'ranks_before': (10, 10), 'ranks_target': (20, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (20, 20), 'expand_loss': 0.0038116518408060074, 'compress_loss': 0.0026324333157390356, 'prev_best_val': 5.807718347209147, 'candidate_val': 5.67265317328786, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.014819894858437892, 0.04324067431211615], 'ranks_before': (20, 20), 'ranks_target': (40, 40), 'ranks_after_expand': (40, 40), 'ranks_after_compress': (32, 40), 'expand_loss': 0.0021786850411444902, 'compress_loss': 0.0016444955253973603, 'prev_best_val': 5.67265317328786, 'candidate_val': 5.598421461628704, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.009280856647803065, 0.026571664777225], 'ranks_before': (32, 40), 'ranks_target': (64, 80), 'ranks_after_expand': (64, 80), 'ranks_after_compress': (49, 80), 'expand_loss': 0.0014081929111853242, 'compress_loss': 0.0011471039615571499, 'prev_best_val': 5.598421461628704, 'candidate_val': 5.535116802669994, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.0058046487078415275, 0.02225713699515209], 'ranks_before': (49, 80), 'ranks_target': (98, 160), 'ranks_after_expand': (98, 160), 'ranks_after_compress': (68, 160), 'expand_loss': 0.0009629858541302383, 'compress_loss': 0.0008287403034046292, 'prev_best_val': 5.535116802669994, 'candidate_val': 5.466778197347673, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.0047196032928857575, 0.021105478655208593], 'ranks_before': (68, 160), 'ranks_target': (136, 320), 'ranks_after_expand': (136, 320), 'ranks_after_compress': (114, 320), 'expand_loss': 0.0007374047418124974, 'compress_loss': 0.0005485331057570875, 'prev_best_val': 5.466778197347673, 'candidate_val': 5.411756303393268, 'improved': True}, {'trial': 6, 'strategy': 'double_all', 'sv_ratios': [0.003836257225322574, 0.014376409008933945], 'ranks_before': (114, 320), 'ranks_target': (228, 640), 'ranks_after_expand': (228, 640), 'ranks_after_compress': (23, 6), 'expand_loss': 0.008928750641644001, 'compress_loss': 0.025803018361330032, 'prev_best_val': 5.411756303393268, 'candidate_val': 5.139934147187658, 'improved': True}, {'trial': 7, 'strategy': 'double_all', 'sv_ratios': [0.02694754874071213, 0.01984118618865998], 'ranks_before': (23, 6), 'ranks_target': (46, 12), 'ranks_after_expand': (46, 12), 'ranks_after_compress': (34, 8), 'expand_loss': 0.009366759099066257, 'compress_loss': 0.0079195536673069, 'prev_best_val': 5.139934147187658, 'candidate_val': 5.186847751995964, 'improved': False}]"
2000,1001,2000,1000,0.017452092841267586,0.004573978018015623,4.363972460654303,3.99162437933582,5.627451606324877,"(23, 6)","(46, 9)",4,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.06247525170881938, 0.041160579808564156], 'ranks_before': (23, 6), 'ranks_target': (46, 12), 'ranks_after_expand': (46, 12), 'ranks_after_compress': (36, 8), 'expand_loss': 0.008024882525205612, 'compress_loss': 0.008387275040149689, 'prev_best_val': 4.363972460654303, 'candidate_val': 4.141052260653849, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.020658826722040644, 0.017241116708628254], 'ranks_before': (36, 8), 'ranks_target': (72, 16), 'ranks_after_expand': (72, 16), 'ranks_after_compress': (44, 9), 'expand_loss': 0.005356289446353912, 'compress_loss': 0.00538863567635417, 'prev_best_val': 4.141052260653849, 'candidate_val': 4.098938988582697, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.015401781207329657, 0.016443490494026842], 'ranks_before': (44, 9), 'ranks_target': (88, 18), 'ranks_after_expand': (88, 18), 'ranks_after_compress': (46, 9), 'expand_loss': 0.0037835941184312105, 'compress_loss': 0.004573978018015623, 'prev_best_val': 4.098938988582697, 'candidate_val': 3.99162437933582, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.012505582343278233, 0.02102295673965914], 'ranks_before': (46, 9), 'ranks_target': (92, 18), 'ranks_after_expand': (92, 18), 'ranks_after_compress': (47, 9), 'expand_loss': 0.00314605631865561, 'compress_loss': 0.0043994658626616, 'prev_best_val': 3.99162437933582, 'candidate_val': 4.0421206950380215, 'improved': False}]"
3000,1501,3000,1000,0.0058155725710093975,0.003672118065878749,4.319553761291929,4.245956926887701,5.601075351020758,"(46, 9)","(57, 10)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.033890571742256785, 0.027322158745223455], 'ranks_before': (46, 9), 'ranks_target': (92, 18), 'ranks_after_expand': (92, 18), 'ranks_after_compress': (57, 10), 'expand_loss': 0.0038882202934473753, 'compress_loss': 0.003672118065878749, 'prev_best_val': 4.319553761291929, 'candidate_val': 4.245956926887701, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.014431018995899058, 0.01376608373417816], 'ranks_before': (57, 10), 'ranks_target': (114, 20), 'ranks_after_expand': (114, 20), 'ranks_after_compress': (64, 10), 'expand_loss': 0.0032839803025126457, 'compress_loss': 0.003451208584010601, 'prev_best_val': 4.245956926887701, 'candidate_val': 4.2575470502676245, 'improved': False}]"
4000,2001,4000,1000,0.00494064437225461,0.00494064437225461,5.016963312367585,5.016963312367585,5.56413887580191,"(57, 10)","(57, 10)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.030441257914828927, 0.01991435344080677], 'ranks_before': (57, 10), 'ranks_target': (114, 20), 'ranks_after_expand': (114, 20), 'ranks_after_compress': (73, 13), 'expand_loss': 0.0035928310826420784, 'compress_loss': 0.004044794477522373, 'prev_best_val': 5.016963312367585, 'candidate_val': 5.108997408049119, 'improved': False}]"
5000,2501,5000,1000,0.0052565885707736015,0.003505764529109001,4.422907460364993,4.3195856520483655,4.970448505864767,"(57, 10)","(78, 16)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.060623272887370835, 0.031292940442925514], 'ranks_before': (57, 10), 'ranks_target': (114, 20), 'ranks_after_expand': (114, 20), 'ranks_after_compress': (78, 16), 'expand_loss': 0.0041420236229896545, 'compress_loss': 0.003505764529109001, 'prev_best_val': 4.422907460364993, 'candidate_val': 4.3195856520483655, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.03313845570508025, 0.036389974581180554], 'ranks_before': (78, 16), 'ranks_target': (156, 32), 'ranks_after_expand': (156, 32), 'ranks_after_compress': (79, 32), 'expand_loss': 0.0026087670121341944, 'compress_loss': 0.0025989289861172438, 'prev_best_val': 4.3195856520483655, 'candidate_val': 4.360752675037622, 'improved': False}]"
6000,3001,6000,1000,0.0051102954894304276,0.0038705833721905947,4.2968450175277555,4.2365668596545625,4.67392101442181,"(78, 16)","(78, 32)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.07962432047324713, 0.09193956619077054], 'ranks_before': (78, 16), 'ranks_target': (156, 32), 'ranks_after_expand': (156, 32), 'ranks_after_compress': (78, 32), 'expand_loss': 0.003977668937295675, 'compress_loss': 0.0038705833721905947, 'prev_best_val': 4.2968450175277555, 'candidate_val': 4.2365668596545625, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.09028167525878952, 0.03277430656985337], 'ranks_before': (78, 32), 'ranks_target': (156, 64), 'ranks_after_expand': (156, 64), 'ranks_after_compress': (79, 58), 'expand_loss': 0.0026850486174225807, 'compress_loss': 0.002495189430192113, 'prev_best_val': 4.2365668596545625, 'candidate_val': 4.263315130369943, 'improved': False}]"
7000,3501,7000,1000,0.005228957626968622,0.003427516669034958,6.531805126754956,6.502000788224921,4.693677447134022,"(78, 32)","(78, 58)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.10646984011882134, 0.04473519836263265], 'ranks_before': (78, 32), 'ranks_target': (156, 64), 'ranks_after_expand': (156, 64), 'ranks_after_compress': (78, 58), 'expand_loss': 0.0036002781707793474, 'compress_loss': 0.003427516669034958, 'prev_best_val': 6.531805126754956, 'candidate_val': 6.502000788224921, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.11155837243813538, 0.010234578114025025], 'ranks_before': (78, 58), 'ranks_target': (156, 116), 'ranks_after_expand': (156, 116), 'ranks_after_compress': (78, 66), 'expand_loss': 0.002892222488299012, 'compress_loss': 0.002870658878237009, 'prev_best_val': 6.502000788224921, 'candidate_val': 6.765917131597048, 'improved': False}]"
8000,4001,8000,1000,0.004353947006165981,0.004353947006165981,4.437957685531572,4.437957685531572,4.5941612678007395,"(78, 58)","(78, 58)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.13242162920124137, 0.015319927994267669], 'ranks_before': (78, 58), 'ranks_target': (156, 116), 'ranks_after_expand': (156, 116), 'ranks_after_compress': (78, 66), 'expand_loss': 0.003615395864471793, 'compress_loss': 0.0034894857089966536, 'prev_best_val': 4.437957685531572, 'candidate_val': 4.8195743518202105, 'improved': False}]"
9000,4501,9000,1000,0.004996062722057104,0.004996062722057104,4.562702502807216,4.562702502807216,4.578483739035043,"(78, 58)","(78, 58)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.1465318160187638, 0.020544474300314926], 'ranks_before': (78, 58), 'ranks_target': (156, 116), 'ranks_after_expand': (156, 116), 'ranks_after_compress': (79, 70), 'expand_loss': 0.003992955666035414, 'compress_loss': 0.003949662670493126, 'prev_best_val': 4.562702502807216, 'candidate_val': 4.578610799199115, 'improved': False}]"
10000,5001,10000,1000,0.005425233393907547,0.0040086908265948296,4.149189102065699,4.036304053697188,4.529980698816233,"(78, 58)","(90, 79)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.15474219893023167, 0.020917119214537244], 'ranks_before': (78, 58), 'ranks_target': (156, 116), 'ranks_after_expand': (156, 116), 'ranks_after_compress': (83, 73), 'expand_loss': 0.004354818724095821, 'compress_loss': 0.004159914329648018, 'prev_best_val': 4.149189102065699, 'candidate_val': 4.093339066702874, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.015184277649677894, 0.009179294920246673], 'ranks_before': (83, 73), 'ranks_target': (166, 146), 'ranks_after_expand': (166, 146), 'ranks_after_compress': (90, 79), 'expand_loss': 0.0036184561904519796, 'compress_loss': 0.0040086908265948296, 'prev_best_val': 4.093339066702874, 'candidate_val': 4.036304053697188, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.014214047740687732, 0.009492004097228548], 'ranks_before': (90, 79), 'ranks_target': (180, 158), 'ranks_after_expand': (180, 158), 'ranks_after_compress': (93, 85), 'expand_loss': 0.003236840246245265, 'compress_loss': 0.003344691125676036, 'prev_best_val': 4.036304053697188, 'candidate_val': 4.040040838341261, 'improved': False}]"
11000,5501,11000,1000,0.004597422666847706,0.004597422666847706,3.6650715265200677,3.6650715265200677,4.4339531626577555,"(90, 78)","(90, 78)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.026122273603565595, 0.010697135138806803], 'ranks_before': (90, 78), 'ranks_target': (180, 156), 'ranks_after_expand': (180, 156), 'ranks_after_compress': (92, 86), 'expand_loss': 0.0038116585928946733, 'compress_loss': 0.003971794154495001, 'prev_best_val': 3.6650715265200677, 'candidate_val': 3.6744650159639405, 'improved': False}]"
12000,6001,12000,1000,0.004965702537447214,0.004965702537447214,4.995519617449505,4.995519617449505,4.464480146213696,"(90, 78)","(90, 78)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.047401940391333504, 0.014655875116112582], 'ranks_before': (90, 78), 'ranks_target': (180, 156), 'ranks_after_expand': (180, 156), 'ranks_after_compress': (93, 90), 'expand_loss': 0.0040040817111730576, 'compress_loss': 0.004201593808829784, 'prev_best_val': 4.995519617449505, 'candidate_val': 5.114130095297876, 'improved': False}]"
13000,6501,13000,1000,0.005295350681990385,0.003967180848121643,4.488424256048414,4.120765058230221,4.331731524430874,"(90, 78)","(96, 92)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.06253926916623559, 0.013671029531575282], 'ranks_before': (90, 78), 'ranks_target': (180, 156), 'ranks_after_expand': (180, 156), 'ranks_after_compress': (96, 92), 'expand_loss': 0.003954323008656502, 'compress_loss': 0.003967180848121643, 'prev_best_val': 4.488424256048414, 'candidate_val': 4.120765058230221, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.013249980117115586, 0.012470331533214921], 'ranks_before': (96, 92), 'ranks_target': (192, 184), 'ranks_after_expand': (192, 184), 'ranks_after_compress': (104, 105), 'expand_loss': 0.0031055810395628214, 'compress_loss': 0.0034749184269458055, 'prev_best_val': 4.120765058230221, 'candidate_val': 4.287095595099849, 'improved': False}]"
