train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
2000,1001,2000,2000,0.004333040677011013,0.0015261422377079725,4.710483797845991,3.729340742543796,4.718194938669503,"(10, 10)","(17, 19)",5,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.09854698753284256, 0.24592590928754152], 'ranks_before': (10, 10), 'ranks_target': (20, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (15, 17), 'expand_loss': 0.002523500006645918, 'compress_loss': 0.0014483878621831536, 'prev_best_val': 4.710483797845991, 'candidate_val': 3.974375148023286, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.12044555860782633, 0.04278507822786255], 'ranks_before': (15, 17), 'ranks_target': (30, 34), 'ranks_after_expand': (30, 34), 'ranks_after_compress': (16, 19), 'expand_loss': 0.0018993890844285488, 'compress_loss': 0.001414214726537466, 'prev_best_val': 3.974375148023286, 'candidate_val': 3.906173783033337, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.135278818653911, 0.05031427474742244], 'ranks_before': (16, 19), 'ranks_target': (32, 38), 'ranks_after_expand': (32, 38), 'ranks_after_compress': (17, 20), 'expand_loss': 0.0017523289425298572, 'compress_loss': 0.0016607767902314663, 'prev_best_val': 3.906173783033337, 'candidate_val': 3.7301935331282987, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.11266043476480846, 0.06362050341931795], 'ranks_before': (17, 20), 'ranks_target': (34, 40), 'ranks_after_expand': (34, 40), 'ranks_after_compress': (17, 19), 'expand_loss': 0.0016425736248493195, 'compress_loss': 0.0015261422377079725, 'prev_best_val': 3.7301935331282987, 'candidate_val': 3.729340742543796, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.09247193852079798, 0.05649123706012435], 'ranks_before': (17, 19), 'ranks_target': (34, 38), 'ranks_after_expand': (34, 38), 'ranks_after_compress': (17, 21), 'expand_loss': 0.0016687222523614764, 'compress_loss': 0.0015903639141470194, 'prev_best_val': 3.729340742543796, 'candidate_val': 3.800131122010633, 'improved': False}]"
4000,2001,4000,2000,0.0027133694384247065,0.0018804969731718302,3.9180714155199037,3.704536019505128,3.9717536583586917,"(17, 19)","(28, 16)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.13582558419294832, 0.01931928810656095], 'ranks_before': (17, 19), 'ranks_target': (34, 38), 'ranks_after_expand': (34, 38), 'ranks_after_compress': (28, 16), 'expand_loss': 0.0023428148124367, 'compress_loss': 0.0018804969731718302, 'prev_best_val': 3.9180714155199037, 'candidate_val': 3.704536019505128, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.10717445229683951, 0.09679983552105234], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (37, 21), 'expand_loss': 0.0015114974230527878, 'compress_loss': 0.0012539339950308204, 'prev_best_val': 3.704536019505128, 'candidate_val': 3.994024114217185, 'improved': False}]"
6000,3001,6000,2000,0.0029418235644698143,0.0029418235644698143,4.320101482710726,4.320101482710726,3.4738213237819378,"(28, 16)","(28, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.12763887769106297, 0.03938681794683364], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (46, 24), 'expand_loss': 0.0017430351581424475, 'compress_loss': 0.0011919563403353095, 'prev_best_val': 4.320101482710726, 'candidate_val': 4.891519381479731, 'improved': False}]"
8000,4001,8000,2000,0.004476125352084637,0.004476125352084637,3.13973642753215,3.13973642753215,3.143184463086126,"(28, 16)","(28, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.16218626120617025, 0.10975886233612817], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (54, 23), 'expand_loss': 0.0025161211378872395, 'compress_loss': 0.001588732353411615, 'prev_best_val': 3.13973642753215, 'candidate_val': 3.683750421414658, 'improved': False}]"
10000,5001,10000,2000,0.004754204768687487,0.004754204768687487,2.681664204818565,2.681664204818565,2.8093401681292,"(28, 16)","(28, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.16296225679413423, 0.07970842447260239], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (54, 24), 'expand_loss': 0.002350724069401622, 'compress_loss': 0.0015906866174191236, 'prev_best_val': 2.681664204818565, 'candidate_val': 3.1545455262232327, 'improved': False}]"
12000,6001,12000,2000,0.005964525975286961,0.005964525975286961,2.577022513553484,2.577022513553484,2.5894807924469885,"(28, 16)","(28, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.1813619089844591, 0.11808483834852564], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (55, 20), 'expand_loss': 0.0026864742394536734, 'compress_loss': 0.002068168018013239, 'prev_best_val': 2.577022513553484, 'candidate_val': 3.131512405973712, 'improved': False}]"
14000,7001,14000,2000,0.006061146967113018,0.006061146967113018,2.6421670166665225,2.6421670166665225,2.5186539590891255,"(28, 16)","(28, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.11745587520102563, 0.10856274106482446], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (56, 26), 'expand_loss': 0.0031961093191057444, 'compress_loss': 0.002237799111753702, 'prev_best_val': 2.6421670166665225, 'candidate_val': 2.8252009819942328, 'improved': False}]"
16000,8001,16000,2000,0.007152981590479612,0.007152981590479612,2.1713214392161335,2.1713214392161335,2.038167445901076,"(28, 16)","(28, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.14576597327468088, 0.10327268757878932], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (56, 20), 'expand_loss': 0.0043761772103607655, 'compress_loss': 0.003087557153776288, 'prev_best_val': 2.1713214392161335, 'candidate_val': 3.0344705060081423, 'improved': False}]"
18000,9001,18000,2000,0.007249988149851561,0.007249988149851561,2.330763155277585,2.330763155277585,2.1089022967091116,"(28, 16)","(28, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.0924681135401156, 0.1020641764379363], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (56, 27), 'expand_loss': 0.004088692367076874, 'compress_loss': 0.0031441464088857174, 'prev_best_val': 2.330763155277585, 'candidate_val': 2.8537784675965647, 'improved': False}]"
20000,10001,20000,2000,0.008059274405241013,0.008059274405241013,2.5904199086598063,2.5904199086598063,1.9541456945670093,"(28, 16)","(28, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.18452503542573181, 0.10581561350287275], 'ranks_before': (28, 16), 'ranks_target': (56, 32), 'ranks_after_expand': (56, 32), 'ranks_after_compress': (56, 26), 'expand_loss': 0.004504889715462923, 'compress_loss': 0.0034790546633303165, 'prev_best_val': 2.5904199086598063, 'candidate_val': 2.8684784359861517, 'improved': False}]"
