train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
2000,1001,2000,2000,0.017028724774718285,0.0018128628144040704,4.934062355576111,3.7631060056867858,4.775320074269192,"(5, 5)","(13, 17)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.46157997416605306, 0.4197140659027277], 'ranks_before': (5, 5), 'ranks_target': (15, 15), 'ranks_after_expand': (15, 15), 'ranks_after_compress': (12, 13), 'expand_loss': 0.0028168284334242344, 'compress_loss': 0.00176331982947886, 'prev_best_val': 4.934062355576111, 'candidate_val': 3.909029070289264, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.25178379213633695, 0.052901046413482804], 'ranks_before': (12, 13), 'ranks_target': (22, 23), 'ranks_after_expand': (22, 23), 'ranks_after_compress': (13, 17), 'expand_loss': 0.002655337331816554, 'compress_loss': 0.0018128628144040704, 'prev_best_val': 3.909029070289264, 'candidate_val': 3.7631060056867858, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.19278367223632467, 0.04592879156894753], 'ranks_before': (13, 17), 'ranks_target': (23, 27), 'ranks_after_expand': (23, 27), 'ranks_after_compress': (16, 17), 'expand_loss': 0.0021666535176336765, 'compress_loss': 0.0012360826367512345, 'prev_best_val': 3.7631060056867858, 'candidate_val': 3.8564478565390004, 'improved': False}]"
4000,2001,4000,2000,0.01155782025307417,0.001651338068768382,4.444844505194553,3.8402353075347575,3.9586875574365115,"(6, 8)","(23, 16)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.4127679431609463, 0.28027463650885925], 'ranks_before': (6, 8), 'ranks_target': (16, 18), 'ranks_after_expand': (16, 18), 'ranks_after_compress': (16, 14), 'expand_loss': 0.0027618866879493, 'compress_loss': 0.0016985530965030193, 'prev_best_val': 4.444844505194553, 'candidate_val': 3.8507962219944916, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.21244297247695784, 0.04755752793005187], 'ranks_before': (16, 14), 'ranks_target': (26, 24), 'ranks_after_expand': (26, 24), 'ranks_after_compress': (23, 16), 'expand_loss': 0.0022256015799939632, 'compress_loss': 0.001651338068768382, 'prev_best_val': 3.8507962219944916, 'candidate_val': 3.8402353075347575, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.14540892516984763, 0.05447473693690742], 'ranks_before': (23, 16), 'ranks_target': (33, 26), 'ranks_after_expand': (33, 26), 'ranks_after_compress': (29, 16), 'expand_loss': 0.0020400085486471653, 'compress_loss': 0.0014237536815926433, 'prev_best_val': 3.8402353075347575, 'candidate_val': 3.859219054453994, 'improved': False}]"
6000,3001,6000,2000,0.00570446765050292,0.0023416548501700163,4.419608762291136,4.145684022188238,3.3151403735607063,"(11, 8)","(30, 18)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.23576961490428286, 0.37617744434042494], 'ranks_before': (11, 8), 'ranks_target': (21, 18), 'ranks_after_expand': (21, 18), 'ranks_after_compress': (21, 14), 'expand_loss': 0.003596689086407423, 'compress_loss': 0.002652676310390234, 'prev_best_val': 4.419608762291136, 'candidate_val': 4.341029872406751, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.1310152849594159, 0.11505124192695192], 'ranks_before': (21, 14), 'ranks_target': (31, 24), 'ranks_after_expand': (31, 24), 'ranks_after_compress': (30, 18), 'expand_loss': 0.0027523087337613106, 'compress_loss': 0.0023416548501700163, 'prev_best_val': 4.341029872406751, 'candidate_val': 4.145684022188238, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.136999138647734, 0.06625700068552216], 'ranks_before': (30, 18), 'ranks_target': (40, 28), 'ranks_after_expand': (40, 28), 'ranks_after_compress': (38, 20), 'expand_loss': 0.002342939144000411, 'compress_loss': 0.001593678374774754, 'prev_best_val': 4.145684022188238, 'candidate_val': 4.381467681663994, 'improved': False}]"
8000,4001,8000,2000,0.00616332096979022,0.003141270950436592,3.2080078755273833,3.1806501932080784,2.9904444407686124,"(15, 9)","(35, 19)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.22329838278918182, 0.25231527319327335], 'ranks_before': (15, 9), 'ranks_target': (25, 19), 'ranks_after_expand': (25, 19), 'ranks_after_compress': (25, 16), 'expand_loss': 0.004821839276701212, 'compress_loss': 0.003907432779669762, 'prev_best_val': 3.2080078755273833, 'candidate_val': 3.1854130558791063, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.18095683895140563, 0.05619611994294093], 'ranks_before': (25, 16), 'ranks_target': (35, 26), 'ranks_after_expand': (35, 26), 'ranks_after_compress': (35, 19), 'expand_loss': 0.004133189562708139, 'compress_loss': 0.003141270950436592, 'prev_best_val': 3.1854130558791063, 'candidate_val': 3.1806501932080784, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.18231759790129567, 0.08257166170389982], 'ranks_before': (35, 19), 'ranks_target': (45, 29), 'ranks_after_expand': (45, 29), 'ranks_after_compress': (45, 21), 'expand_loss': 0.003630035789683461, 'compress_loss': 0.0022019108291715384, 'prev_best_val': 3.1806501932080784, 'candidate_val': 3.3028713989824006, 'improved': False}]"
10000,5001,10000,2000,0.005965122487396002,0.005965122487396002,2.5728760883986337,2.5728760883986337,2.666646931833745,"(17, 9)","(17, 9)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.18091543642961364, 0.3433849484884122], 'ranks_before': (17, 9), 'ranks_target': (27, 19), 'ranks_after_expand': (27, 19), 'ranks_after_compress': (27, 16), 'expand_loss': 0.004795253276824951, 'compress_loss': 0.003924194257706404, 'prev_best_val': 2.5728760883986337, 'candidate_val': 2.7472561061652234, 'improved': False}]"
12000,6001,12000,2000,0.025557786226272583,0.004709441214799881,3.098818377644046,2.626678815687319,2.587972965215579,"(8, 4)","(28, 18)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.28973121835110777, 0.32630875593922437], 'ranks_before': (8, 4), 'ranks_target': (18, 14), 'ranks_after_expand': (18, 14), 'ranks_after_compress': (18, 13), 'expand_loss': 0.007767439354211092, 'compress_loss': 0.007018323056399822, 'prev_best_val': 3.098818377644046, 'candidate_val': 2.7101923379057093, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.19990016042351227, 0.1430041106585337], 'ranks_before': (18, 13), 'ranks_target': (28, 23), 'ranks_after_expand': (28, 23), 'ranks_after_compress': (28, 18), 'expand_loss': 0.005356363952159882, 'compress_loss': 0.004709441214799881, 'prev_best_val': 2.7101923379057093, 'candidate_val': 2.626678815687319, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.20386188296389848, 0.07959474146672184], 'ranks_before': (28, 18), 'ranks_target': (38, 28), 'ranks_after_expand': (38, 28), 'ranks_after_compress': (38, 21), 'expand_loss': 0.004665326327085495, 'compress_loss': 0.003925308585166931, 'prev_best_val': 2.626678815687319, 'candidate_val': 2.843896910504346, 'improved': False}]"
14000,7001,14000,2000,0.008728835731744766,0.008728835731744766,2.4696773435733554,2.4696773435733554,2.406821880331062,"(14, 9)","(14, 9)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.2652679770063322, 0.23136685614050198], 'ranks_before': (14, 9), 'ranks_target': (24, 19), 'ranks_after_expand': (24, 19), 'ranks_after_compress': (24, 16), 'expand_loss': 0.006952779833227396, 'compress_loss': 0.006612967234104872, 'prev_best_val': 2.4696773435733554, 'candidate_val': 2.7300969647552082, 'improved': False}]"
16000,8001,16000,2000,0.02658695913851261,0.00835694931447506,2.367956206574971,2.168584449689665,2.3157798484574257,"(7, 4)","(17, 14)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.40831401671349854, 0.3730611286313624], 'ranks_before': (7, 4), 'ranks_target': (17, 14), 'ranks_after_expand': (17, 14), 'ranks_after_compress': (17, 14), 'expand_loss': 0.009335145354270935, 'compress_loss': 0.00835694931447506, 'prev_best_val': 2.367956206574971, 'candidate_val': 2.168584449689665, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.2128608685472999, 0.11479464674973767], 'ranks_before': (17, 14), 'ranks_target': (27, 24), 'ranks_after_expand': (27, 24), 'ranks_after_compress': (27, 19), 'expand_loss': 0.00745385093614459, 'compress_loss': 0.007223952561616898, 'prev_best_val': 2.168584449689665, 'candidate_val': 2.17502740764001, 'improved': False}]"
18000,9001,18000,2000,0.013709795661270618,0.0065534780733287334,2.423604346351146,2.297609422801439,2.075745695091458,"(8, 7)","(28, 20)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.31505826292848516, 0.20076152466670216], 'ranks_before': (8, 7), 'ranks_target': (18, 17), 'ranks_after_expand': (18, 17), 'ranks_after_compress': (18, 15), 'expand_loss': 0.008837424218654633, 'compress_loss': 0.008209598250687122, 'prev_best_val': 2.423604346351146, 'candidate_val': 2.388247758975863, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.19475566574310532, 0.09634153247345932], 'ranks_before': (18, 15), 'ranks_target': (28, 25), 'ranks_after_expand': (28, 25), 'ranks_after_compress': (28, 20), 'expand_loss': 0.0072285495698452, 'compress_loss': 0.0065534780733287334, 'prev_best_val': 2.388247758975863, 'candidate_val': 2.297609422801439, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.2006556078756185, 0.1125832032081115], 'ranks_before': (28, 20), 'ranks_target': (38, 30), 'ranks_after_expand': (38, 30), 'ranks_after_compress': (38, 23), 'expand_loss': 0.006188938394188881, 'compress_loss': 0.005315090995281935, 'prev_best_val': 2.297609422801439, 'candidate_val': 2.378932327084252, 'improved': False}]"
20000,10001,20000,2000,0.010409162379801273,0.010409162379801273,2.5189792765908683,2.5189792765908683,2.025700809798395,"(14, 10)","(14, 10)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.14722775139244756, 0.15009912343843204], 'ranks_before': (14, 10), 'ranks_target': (24, 20), 'ranks_after_expand': (24, 20), 'ranks_after_compress': (24, 18), 'expand_loss': 0.008316378109157085, 'compress_loss': 0.007929726503789425, 'prev_best_val': 2.5189792765908683, 'candidate_val': 2.648907600874487, 'improved': False}]"
