train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,6.78832657285966e-06,9.268971723486175e-08,7.276375496619131,6.385322307918756,6.985628617172541,"(10, 10)","(40, 320)",8,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.3496817076766163, 'ranks_before': (10, 10), 'ranks_after_expand': (10, 20), 'ranks_after_compress': (10, 20), 'expand_loss': 6.807751105952775e-06, 'compress_loss': 7.018562882876722e-06, 'prev_best_val': 7.276375496619131, 'candidate_val': 7.06920528808387, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.20935108986476275, 'ranks_before': (10, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (20, 20), 'expand_loss': 9.965826848201687e-07, 'compress_loss': 7.388657650153618e-07, 'prev_best_val': 7.06920528808387, 'candidate_val': 6.859264328079489, 'improved': True}, {'trial': 3, 'layer': 1, 'sv_ratio': 0.07742442825943413, 'ranks_before': (20, 20), 'ranks_after_expand': (20, 40), 'ranks_after_compress': (20, 40), 'expand_loss': 4.91552384573879e-07, 'compress_loss': 3.437051532273472e-07, 'prev_best_val': 6.859264328079489, 'candidate_val': 6.753922873727352, 'improved': True}, {'trial': 4, 'layer': 1, 'sv_ratio': 0.06931973551057473, 'ranks_before': (20, 40), 'ranks_after_expand': (20, 80), 'ranks_after_compress': (20, 80), 'expand_loss': 3.324697956941236e-07, 'compress_loss': 2.7385394218981673e-07, 'prev_best_val': 6.753922873727352, 'candidate_val': 6.642794890601961, 'improved': True}, {'trial': 5, 'layer': 1, 'sv_ratio': 0.0581738571409596, 'ranks_before': (20, 80), 'ranks_after_expand': (20, 160), 'ranks_after_compress': (20, 160), 'expand_loss': 2.2267617794113903e-07, 'compress_loss': 2.0127110644807544e-07, 'prev_best_val': 6.642794890601961, 'candidate_val': 6.541597440314121, 'improved': True}, {'trial': 6, 'layer': 1, 'sv_ratio': 0.04613397740477978, 'ranks_before': (20, 160), 'ranks_after_expand': (20, 320), 'ranks_after_compress': (20, 320), 'expand_loss': 1.566258873708648e-07, 'compress_loss': 1.383782688435531e-07, 'prev_best_val': 6.541597440314121, 'candidate_val': 6.458879218445586, 'improved': True}, {'trial': 7, 'layer': 0, 'sv_ratio': 0.03454024244622008, 'ranks_before': (20, 320), 'ranks_after_expand': (40, 320), 'ranks_after_compress': (40, 320), 'expand_loss': 1.2102877633424214e-07, 'compress_loss': 9.268971723486175e-08, 'prev_best_val': 6.458879218445586, 'candidate_val': 6.385322307918756, 'improved': True}, {'trial': 8, 'layer': 1, 'sv_ratio': 0.027873545938907063, 'ranks_before': (40, 320), 'ranks_after_expand': (40, 640), 'ranks_after_compress': (40, 627), 'expand_loss': 6.88263384063248e-08, 'compress_loss': 6.122269405750558e-05, 'prev_best_val': 6.385322307918756, 'candidate_val': 6.634444718357521, 'improved': False}]"
2000,1001,2000,1000,1.3390426829573698e-05,7.807792030689598e-07,5.269958914060487,4.096794252061292,5.217318395420858,"(40, 320)","(154, 33)",6,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.011466373175997245, 'ranks_before': (40, 320), 'ranks_after_expand': (80, 320), 'ranks_after_compress': (78, 29), 'expand_loss': 6.858837878098711e-06, 'compress_loss': 6.407734872482251e-06, 'prev_best_val': 5.269958914060487, 'candidate_val': 4.581402254648788, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.013378665512185842, 'ranks_before': (78, 29), 'ranks_after_expand': (78, 58), 'ranks_after_compress': (78, 30), 'expand_loss': 3.70273210137384e-06, 'compress_loss': 2.526411890357849e-06, 'prev_best_val': 4.581402254648788, 'candidate_val': 4.255852071862507, 'improved': True}, {'trial': 3, 'layer': 1, 'sv_ratio': 0.013650913298945525, 'ranks_before': (78, 30), 'ranks_after_expand': (78, 60), 'ranks_after_compress': (78, 32), 'expand_loss': 2.0131265046074986e-06, 'compress_loss': 1.6685771697666496e-06, 'prev_best_val': 4.255852071862507, 'candidate_val': 4.170979990478244, 'improved': True}, {'trial': 4, 'layer': 0, 'sv_ratio': 0.013054056458350272, 'ranks_before': (78, 32), 'ranks_after_expand': (156, 32), 'ranks_after_compress': (154, 32), 'expand_loss': 1.4617144188378006e-06, 'compress_loss': 1.1929995480386424e-06, 'prev_best_val': 4.170979990478244, 'candidate_val': 4.11165901671286, 'improved': True}, {'trial': 5, 'layer': 1, 'sv_ratio': 0.0149518589490075, 'ranks_before': (154, 32), 'ranks_after_expand': (154, 64), 'ranks_after_compress': (154, 33), 'expand_loss': 1.0225847972833435e-06, 'compress_loss': 7.807792030689598e-07, 'prev_best_val': 4.11165901671286, 'candidate_val': 4.096794252061292, 'improved': True}, {'trial': 6, 'layer': 1, 'sv_ratio': 0.013295218121765885, 'ranks_before': (154, 33), 'ranks_after_expand': (154, 66), 'ranks_after_compress': (154, 34), 'expand_loss': 5.907798481530335e-07, 'compress_loss': 6.879902798573312e-07, 'prev_best_val': 4.096794252061292, 'candidate_val': 4.10111589311552, 'improved': False}]"
3000,1501,3000,1000,2.5836978238658048e-05,1.053006940310297e-06,6.664082093038237,4.220020938115552,4.868463300003215,"(154, 33)","(67, 56)",4,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.030176094285663806, 'ranks_before': (154, 33), 'ranks_after_expand': (154, 66), 'ranks_after_compress': (66, 54), 'expand_loss': 3.893509983754484e-06, 'compress_loss': 2.7066214443038916e-06, 'prev_best_val': 6.664082093038237, 'candidate_val': 4.449026788089961, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.01295445733147245, 'ranks_before': (66, 54), 'ranks_after_expand': (66, 108), 'ranks_after_compress': (66, 56), 'expand_loss': 1.4921432693881798e-06, 'compress_loss': 1.5065339766806574e-06, 'prev_best_val': 4.449026788089961, 'candidate_val': 4.419384293265755, 'improved': True}, {'trial': 3, 'layer': 0, 'sv_ratio': 0.01658913977016577, 'ranks_before': (66, 56), 'ranks_after_expand': (132, 56), 'ranks_after_compress': (67, 56), 'expand_loss': 1.157908741333813e-06, 'compress_loss': 1.053006940310297e-06, 'prev_best_val': 4.419384293265755, 'candidate_val': 4.220020938115552, 'improved': True}, {'trial': 4, 'layer': 1, 'sv_ratio': 0.01988988116431668, 'ranks_before': (67, 56), 'ranks_after_expand': (67, 112), 'ranks_after_compress': (67, 58), 'expand_loss': 9.343222018287634e-07, 'compress_loss': 1.0339191476305132e-06, 'prev_best_val': 4.220020938115552, 'candidate_val': 4.4332966835054375, 'improved': False}]"
4000,2001,4000,1000,2.5531264782330254e-06,2.5531264782330254e-06,4.5491867981276055,4.5491867981276055,4.528114678174865,"(67, 56)","(67, 56)",1,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.04238900117397449, 'ranks_before': (67, 56), 'ranks_after_expand': (67, 112), 'ranks_after_compress': (67, 61), 'expand_loss': 1.4873738791720825e-06, 'compress_loss': 1.3207907159085153e-06, 'prev_best_val': 4.5491867981276055, 'candidate_val': 4.664898267312319, 'improved': False}]"
5000,2501,5000,1000,1.8580366258902359e-06,1.8580366258902359e-06,3.8996156280520484,3.8996156280520484,4.169912332370622,"(67, 56)","(67, 56)",1,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.06066796991626706, 'ranks_before': (67, 56), 'ranks_after_expand': (67, 112), 'ranks_after_compress': (67, 87), 'expand_loss': 7.293531325558433e-07, 'compress_loss': 7.008019338172744e-07, 'prev_best_val': 3.8996156280520484, 'candidate_val': 3.9150153073424723, 'improved': False}]"
6000,3001,6000,1000,2.12676468436257e-06,1.6651384839860839e-06,3.54406673849055,3.370859846226353,4.014102475460093,"(67, 56)","(90, 106)",4,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.07750194903897803, 'ranks_before': (67, 56), 'ranks_after_expand': (67, 112), 'ranks_after_compress': (67, 82), 'expand_loss': 1.0896246749325655e-06, 'compress_loss': 9.313363307228428e-07, 'prev_best_val': 3.54406673849055, 'candidate_val': 3.4845959672070195, 'improved': True}, {'trial': 2, 'layer': 0, 'sv_ratio': 0.06702127149439928, 'ranks_before': (67, 82), 'ranks_after_expand': (134, 82), 'ranks_after_compress': (90, 82), 'expand_loss': 1.2367314411676489e-05, 'compress_loss': 2.1648781967087416e-06, 'prev_best_val': 3.4845959672070195, 'candidate_val': 3.4538120214041066, 'improved': True}, {'trial': 3, 'layer': 1, 'sv_ratio': 0.03841984631445543, 'ranks_before': (90, 82), 'ranks_after_expand': (90, 164), 'ranks_after_compress': (90, 106), 'expand_loss': 2.1774725610157475e-05, 'compress_loss': 1.6651384839860839e-06, 'prev_best_val': 3.4538120214041066, 'candidate_val': 3.370859846226353, 'improved': True}, {'trial': 4, 'layer': 0, 'sv_ratio': 0.026489135187814334, 'ranks_before': (90, 106), 'ranks_after_expand': (180, 106), 'ranks_after_compress': (114, 106), 'expand_loss': 1.7566127326062997e-06, 'compress_loss': 1.6642998161842115e-06, 'prev_best_val': 3.370859846226353, 'candidate_val': 3.4279624062793586, 'improved': False}]"
7000,3501,7000,1000,1.8216622947875294e-06,1.8216622947875294e-06,5.518558919915547,5.518558919915547,4.062378220504671,"(90, 106)","(90, 106)",1,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.03205184501982901, 'ranks_before': (90, 106), 'ranks_after_expand': (180, 106), 'ranks_after_compress': (115, 106), 'expand_loss': 2.311509888386354e-06, 'compress_loss': 1.8171183455706341e-06, 'prev_best_val': 5.518558919915547, 'candidate_val': 5.709007055630672, 'improved': False}]"
8000,4001,8000,1000,3.500553475532797e-06,5.843407961947378e-06,3.7810893602240134,3.560717498764269,3.718445083874037,"(90, 106)","(115, 132)",3,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.045766460034787564, 'ranks_before': (90, 106), 'ranks_after_expand': (180, 106), 'ranks_after_compress': (115, 106), 'expand_loss': 3.730958269443363e-06, 'compress_loss': 4.152714609517716e-06, 'prev_best_val': 3.7810893602240134, 'candidate_val': 3.6126179262965117, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.046675924943019836, 'ranks_before': (115, 106), 'ranks_after_expand': (115, 212), 'ranks_after_compress': (115, 132), 'expand_loss': 4.7687648475402966e-05, 'compress_loss': 5.843407961947378e-06, 'prev_best_val': 3.6126179262965117, 'candidate_val': 3.560717498764269, 'improved': True}, {'trial': 3, 'layer': 0, 'sv_ratio': 0.023342519369661033, 'ranks_before': (115, 132), 'ranks_after_expand': (230, 132), 'ranks_after_compress': (141, 132), 'expand_loss': 7.3685646384547e-06, 'compress_loss': 8.090782102954108e-06, 'prev_best_val': 3.560717498764269, 'candidate_val': 3.785450860921288, 'improved': False}]"
9000,4501,9000,1000,7.675876076973509e-06,1.054935000865953e-05,3.584526698113496,3.4023246500797417,3.590091306555431,"(115, 132)","(142, 132)",2,"[{'trial': 1, 'layer': 0, 'sv_ratio': 0.029169167258860026, 'ranks_before': (115, 132), 'ranks_after_expand': (230, 132), 'ranks_after_compress': (142, 132), 'expand_loss': 1.109204731619684e-05, 'compress_loss': 1.054935000865953e-05, 'prev_best_val': 3.584526698113496, 'candidate_val': 3.4023246500797417, 'improved': True}, {'trial': 2, 'layer': 1, 'sv_ratio': 0.03192603529379806, 'ranks_before': (142, 132), 'ranks_after_expand': (142, 264), 'ranks_after_compress': (142, 164), 'expand_loss': 1.1772403922805097e-05, 'compress_loss': 1.9205946955480613e-05, 'prev_best_val': 3.4023246500797417, 'candidate_val': 3.617972062212806, 'improved': False}]"
10000,5001,10000,1000,1.4101681699685287e-05,1.4101681699685287e-05,3.065611630581745,3.065611630581745,3.5371591210032847,"(142, 132)","(142, 132)",1,"[{'trial': 1, 'layer': 1, 'sv_ratio': 0.03397755053505421, 'ranks_before': (142, 132), 'ranks_after_expand': (142, 264), 'ranks_after_compress': (142, 169), 'expand_loss': 2.1269790522637777e-05, 'compress_loss': 0.00022518895275425166, 'prev_best_val': 3.065611630581745, 'candidate_val': 3.3492422885623103, 'improved': False}]"
