iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
1,500,[8],[8],10.056724434101127,9.921447022622301,0,0.06810113042593002
2,1000,[8],[8],7.385934642123844,7.791854039770446,0,0.07864783704280853
3,1500,[8],[8],6.25140290374615,7.325404760924582,0,0.08266687393188477
4,2000,[8],[16],4.503397729983379,6.906889356690328,1,0.08510793000459671
5,2500,[16],[16],6.277038804753871,6.768453440558176,0,0.07514990121126175
6,3000,[16],"[16, 16]",7.451533513265922,6.516555214070128,1,0.07665850222110748
7,3500,"[16, 16]","[16, 16]",4.4059367791964075,6.2738021513788444,0,0.07103990018367767
8,4000,"[16, 16]","[16, 16]",5.9579617863949235,6.306693672434379,0,0.07067756354808807
9,4500,"[16, 16]","[16, 16]",6.582088185029246,6.191712871075652,0,0.07111870497465134
10,5000,"[16, 16]","[16, 16]",4.775109795357905,6.062192973120005,0,0.07284535467624664
11,5500,"[16, 16]","[16, 16]",6.266938073227868,5.994655348267182,0,0.07386514544487
12,6000,"[16, 16]","[16, 16]",4.214528892403414,6.070237963592629,0,0.07419969886541367
13,6500,"[16, 16]","[16, 16]",5.5544714966524165,5.9123623064041615,0,0.07416451722383499
14,7000,"[16, 16]","[16, 16]",8.078895052731571,5.957216328019243,0,0.07447139918804169
15,7500,"[16, 16]","[16, 16]",7.943018654676264,6.0024075687811544,0,0.07505028694868088
16,8000,"[16, 16]","[16, 16]",5.299479447888493,6.012661212196104,0,0.0759204849600792
17,8500,"[16, 16]","[16, 16]",6.133214108138882,5.962654339819904,0,0.07559676468372345
18,9000,"[16, 16]","[16, 16]",5.81604131662324,6.015782399184777,0,0.07588965445756912
19,9500,"[16, 16]","[16, 16]",6.479548674339848,6.015430219966138,0,0.0762665718793869
20,10000,"[16, 16]","[16, 16]",5.724597028998481,6.00303249564798,0,0.0764869898557663
21,10500,"[16, 16]","[16, 16]",5.202946403026072,5.98081467288701,0,0.07675537467002869
22,11000,"[16, 16]","[16, 16]",4.628482573339117,5.929209478057771,0,0.07685498148202896
23,11500,"[16, 16]","[16, 16]",5.65245468798595,5.91244063978734,0,0.07709772139787674
