iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps
1,500,[8],"[8, 8]",10.69184283609855,10.845063695995186,1
2,1000,"[8, 8]","[8, 8, 8]",7.717566355417904,7.991361823198402,1
3,1500,"[8, 8, 8]","[8, 8, 8]",6.335828794982441,7.906818434975579,0
4,2000,"[8, 8, 8]","[8, 8, 8]",4.60913240390298,7.555001274261898,0
5,2500,"[8, 8, 8]","[8, 8, 8]",5.919366901467732,6.970087131720514,0
6,3000,"[8, 8, 8]","[8, 8, 8]",7.10416115646139,7.298389334668346,0
7,3500,"[8, 8, 8]","[8, 8, 8]",4.800306140301985,7.1025461596859065,0
8,4000,"[8, 8, 8]","[8, 8, 8]",7.481193966051141,7.040204692346225,0
9,4500,"[8, 8, 8]","[8, 8, 8]",6.575372165523976,7.223924425464597,0
10,5000,"[8, 8, 8]","[8, 8, 8]",5.85443260764831,7.269846665867307,0
11,5500,"[8, 8, 8]","[8, 8, 8]",6.652721745629216,7.219697803019307,0
12,6000,"[8, 8, 8]","[8, 8, 8]",5.421073482037539,7.207330469154955,0
13,6500,"[8, 8, 8]","[8, 8, 8]",6.357675665394475,7.261024840164775,0
14,7000,"[8, 8, 8]","[8, 8, 8]",9.163850618979485,7.280663145458325,0
15,7500,"[8, 8, 8]","[8, 8, 8]",8.18948770098902,7.391308628204197,0
16,8000,"[8, 8, 8]","[8, 8, 8, 8]",5.978645307776793,6.984629281556958,1
17,8500,"[8, 8, 8, 8]","[8, 8, 8, 8]",6.679754061231556,6.616178611860083,0
18,9000,"[8, 8, 8, 8]","[8, 8, 8, 8]",6.355309600749173,6.569555096889989,0
19,9500,"[8, 8, 8, 8]","[8, 8, 8, 8]",7.47368254836993,6.534115758532898,0
