iteration,train_limit,base_hidden_sizes,final_hidden_sizes,val_error,master_val_error,growth_steps,final_train_loss
1,2000,[8],"[8, 8]",5.867817679563296,7.095813837634286,1,0.08197729289531708
2,4000,"[8, 8]","[16, 32]",4.594648975642015,4.918739791627595,3,0.07835499197244644
3,6000,"[16, 32]","[16, 32]",4.907302817124111,4.165183718501073,0,0.05713796243071556
4,8000,"[16, 32]","[32, 32]",3.5517553089907246,3.359570796361799,1,0.058842990547418594
5,10000,"[32, 32]","[64, 64]",2.4533132625766885,2.6955348713135168,2,0.0424831286072731
6,12000,"[64, 64]","[64, 64]",2.5594358762574174,2.5561185208652413,0,0.028931600973010063
7,14000,"[64, 64]","[64, 64]",2.175952113928763,2.2197988679717255,0,0.027288204059004784
8,16000,"[64, 64]","[64, 64]",1.9016387067773832,2.331814047863837,0,0.028165634721517563
9,18000,"[64, 64]","[64, 64, 64]",1.9504109285714764,1.7103362801803619,1,0.026211336255073547
10,20000,"[64, 64, 64]","[64, 64, 64]",2.2927826321948723,1.6362665044396796,0,0.019929099828004837
11,22000,"[64, 64, 64]","[64, 64, 64, 64]",1.977168851832621,1.6241933904734225,1,0.019994590431451797
12,24000,"[64, 64, 64, 64]","[64, 64, 64, 256]",1.5393495831837358,1.5995142965632623,2,0.01860952563583851
13,26000,"[64, 64, 64, 256]","[64, 64, 64, 1024]",1.418099324254665,1.4259995432221708,2,0.01660514995455742
14,28000,"[64, 64, 64, 1024]","[128, 64, 64, 1024]",1.2253717511228264,1.28735095506909,1,0.0166726503521204
15,30000,"[128, 64, 64, 1024]","[128, 64, 64, 1024]",2.592897137495255,1.2132615526736779,0,0.012780393473803997
16,32000,"[128, 64, 64, 1024]","[128, 64, 128, 1024]",0.9661594311030812,1.2109582789198368,1,0.01284878607839346
17,34000,"[128, 64, 128, 1024]","[128, 64, 128, 2048]",1.1172094519185856,1.123618109319372,1,0.012440631166100502
18,36000,"[128, 64, 128, 2048]","[128, 64, 128, 2048]",1.2040610618048009,1.091206562886009,0,0.01342281885445118
19,38000,"[128, 64, 128, 2048]","[128, 64, 128, 2048]",1.328835264709833,1.1822832361006368,0,0.013725798577070236
20,40000,"[128, 64, 128, 2048]","[128, 64, 64, 128, 2048]",0.8358104584988959,1.0658538042698888,1,0.013312235474586487
21,42000,"[128, 64, 64, 128, 2048]","[128, 64, 64, 128, 2048]",0.8730162579245225,0.913807594688034,0,0.011860460974276066
22,44000,"[128, 64, 64, 128, 2048]","[128, 64, 64, 128, 2048]",1.0441414788057861,0.9827439490649567,0,0.011457985267043114
