train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,1001,1000,1000,1000,l1,0.02046826295554638,0.021427359930285616,0.18002828483781777,0.13804226591033164,0.31807055074814944,0.43681694944605765
2000,2001,2000,1000,1000,l1,0.02933046966791153,0.017095833982390445,0.1989952952318917,0.17706397826754017,0.3760592734994318,0.4438262605506604
3000,3001,3000,1000,1000,l1,0.03315925598144531,0.012983744087975611,0.19694057343623825,0.1905222630009937,0.38746283643723195,0.4757047986502617
4000,4001,4000,1000,1000,l1,0.03625859320163727,0.010296074660785118,0.1643972653126765,0.18096281492599695,0.3453600802386735,0.4361680504019528
5000,5001,5000,1000,1000,l1,0.03758350759744644,0.0051773222593918256,0.11325110838139674,0.15914293816589542,0.27239404654729216,0.4104401264358798
6000,6001,6000,1000,1000,l1,0.038035403937101364,0.006520105982246823,0.1347543597305281,0.1869551345580799,0.321709494288608,0.4336628339199306
7000,7001,7000,1000,1000,l1,0.03872732073068619,0.005387838854095672,0.10402068258981928,0.1906090910032813,0.2946297735931006,0.44302767120617886
8000,8001,8000,1000,1000,l1,0.03917746990919113,0.0066840423744425805,0.13212698219174365,0.1984317403102308,0.33055872250197443,0.44302745451828424
9000,9001,9000,1000,1000,l1,0.039585407823324203,0.0050054240885408045,0.11273986845017571,0.19915109243989815,0.31189096089007384,0.43069173017783147
10000,10001,10000,1000,1000,l1,0.03965633362531662,0.006039674012798648,0.11549905896930945,0.14958830689762354,0.265087365866933,0.47735376479309893
11000,11001,11000,1000,1000,l1,0.039883241057395935,0.0037701282787696044,0.11126422222853424,0.221407481674056,0.33267170390259027,0.3749336086248845
12000,12001,12000,1000,1000,l1,0.039728548377752304,0.004629264613619382,0.10677107290728835,0.21229457585960387,0.3190656487668922,0.3980521222800097
13000,13001,13000,1000,1000,l1,0.04003026708960533,0.005437193841356777,0.12305107472560253,0.17695551702654194,0.30000659175214445,0.46497805106457357
14000,14001,14000,1000,1000,l1,0.03998897224664688,0.004291541706073593,0.06995569094482637,0.163876960692382,0.2338326516372084,0.4190305454135804
15000,15001,15000,1000,1000,l1,0.03979121521115303,0.004997344937321563,0.11852930922716516,0.1412689299895432,0.25979823921670836,0.5163099809288039
16000,16001,16000,1000,1000,l1,0.03964164853096008,0.003573694167360837,0.11951459428446867,0.15924303070581697,0.27875762499028567,0.4994683601713283
17000,17001,17000,1000,1000,l1,0.039672333747148514,0.0036812657757235084,0.09457723736791178,0.21827844017848907,0.3128556775464009,0.41832703738727844
18000,18001,18000,1000,1000,l1,0.03936023637652397,0.006888550685040159,0.08929033220207616,0.180896011251429,0.2701863434535052,0.4487709146631098
19000,19001,19000,1000,1000,l1,0.039263516664505005,0.0034175261888137066,0.09476082628367026,0.20488888376413184,0.2996497100478021,0.4060886328228078
