train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,1001,1000,1000,1000,l1,0.06640052795410156,0.013580939931186703,0.22857495204029857,0.1425969155954571,0.3711718676357557,0.5549171056205179
2000,2001,2000,1000,1000,l1,0.0687331035733223,0.011842863453389673,0.2070509285235804,0.17940750172908576,0.3864584302526662,0.5281395250621034
3000,3001,3000,1000,1000,l1,0.06874594837427139,0.011232157903516041,0.19303185007960702,0.19699276153644701,0.390024611616054,0.5437964759370295
4000,4001,4000,1000,1000,l1,0.06993080675601959,0.008491232485593057,0.21058455078461508,0.1862361260177148,0.3968206768023299,0.5547518814757727
5000,5001,5000,1000,1000,l1,0.06979672610759735,0.006267054550268141,0.16943726816427146,0.15838100496020607,0.32781827312447753,0.5527018588160394
6000,6001,6000,1000,1000,l1,0.07015876471996307,0.008674646808318542,0.22953152329283558,0.18986467066175436,0.4193961939545899,0.5945195341910834
7000,7001,7000,1000,1000,l1,0.07060299068689346,0.005497737666080083,0.10872745694610358,0.19223867212062618,0.30096612906672976,0.5059167546567392
8000,8001,8000,1000,1000,l1,0.07065661996603012,0.010245904648160619,0.21089944827074922,0.20090727900619532,0.41180672727694456,0.5761933222302363
9000,9001,9000,1000,1000,l1,0.06965123862028122,0.006438443654764228,0.14982224194000918,0.1996444886447437,0.3494667305847529,0.5317198902416753
10000,10001,10000,1000,1000,l1,0.06880810111761093,0.004771167173833608,0.12428191671358686,0.15472753049576435,0.2790094472093512,0.5779797052727249
