train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,1001,1000,1000,1000,l1,0.005284643266350031,0.016410069131426237,0.21898520732025378,0.14032381115128584,0.35930901847153957,0.5320290741305821
2000,2001,2000,1000,1000,l1,0.004910048097372055,0.01605279631334109,0.22902262316153607,0.1756190549336103,0.4046416780951464,0.5045802894152559
3000,3001,3000,1000,1000,l1,0.0059635392390191555,0.017239820186383273,0.22736633201705744,0.18915066382533102,0.4165169958423884,0.4957301054859612
4000,4001,4000,1000,1000,l1,0.00607019430026412,0.015524635835127613,0.23615459584278073,0.18105464663688847,0.41720924247966923,0.5158835164304965
5000,5001,5000,1000,1000,l1,0.00810492318123579,0.00797249073197976,0.14279442759930103,0.15546616049782694,0.29826058809712797,0.4292740045608296
6000,6001,6000,1000,1000,l1,0.008747759275138378,0.011018043410972378,0.14880021836606533,0.18669343059452256,0.3354936489605879,0.4402224385038563
7000,7001,7000,1000,1000,l1,0.008904321119189262,0.007501507405647649,0.10953871886470459,0.18502146727957747,0.29456018614428203,0.40215414757033463
8000,8001,8000,1000,1000,l1,0.010418849997222424,0.01452969768300855,0.18145418809315494,0.19574067928914404,0.377194867382299,0.4681181025705764
9000,9001,9000,1000,1000,l1,0.01160390768200159,0.010313492684305998,0.17252900021314324,0.19025861543212333,0.36278761564526657,0.4360941484843704
10000,10001,10000,1000,1000,l1,0.012245075777173042,0.010229942985850629,0.18199764675197758,0.1390342288745439,0.32103187562652147,0.49051435781846114
11000,11001,11000,1000,1000,l1,0.01328385341912508,0.011692731545380074,0.18554894929799604,0.21610498875693973,0.40165393805493577,0.44023751607282485
12000,12001,12000,1000,1000,l1,0.013917242176830769,0.01410996238890814,0.23856772625498315,0.20144995866156945,0.44001768491655263,0.4639663351103596
13000,13001,13000,1000,1000,l1,0.01464780606329441,0.014583359500069507,0.26221698162113544,0.1689845902798778,0.4312015719010132,0.5056986155573729
14000,14001,14000,1000,1000,l1,0.015452330932021141,0.01124125728881129,0.18290313087538562,0.1512825745879958,0.3341857054633814,0.4699163694916
15000,15001,15000,1000,1000,l1,0.016089290380477905,0.01708580898631205,0.25290456641323045,0.1324603082004581,0.38536487461368857,0.5601075476214258
16000,16001,16000,1000,1000,l1,0.016555551439523697,0.01950403426395662,0.2635169548843325,0.15276961479447157,0.4162865696788041,0.5382033705528272
17000,17001,17000,1000,1000,l1,0.017153311520814896,0.010612230543088052,0.18880494430669814,0.20726787829387927,0.3960728226005774,0.4692697823895119
18000,18001,18000,1000,1000,l1,0.017549017444252968,0.013392349964752848,0.198588457207536,0.1693572318698859,0.36794568907742187,0.5079064291000163
19000,19001,19000,1000,1000,l1,0.0179654061794281,0.017819570017869466,0.2538587587034093,0.1886137939312569,0.4424725526346662,0.491660323297985
