train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,l1,0.002736541675403714,0.03000233573919024,0.3408719802052618,0.22380263711578569,0.5646746173210474,0.44516534507301847
2000,1001,2000,1000,1000,l1,0.002613143064081669,0.024021952701009302,0.3265532391186957,0.23159938866482527,0.558152627783521,0.4386666716555305
3000,1501,3000,1000,1000,l1,0.003454966004937887,0.022814948274569362,0.3332516614903126,0.22300085947922713,0.5562525209695398,0.43969940464614304
4000,2001,4000,1000,1000,l1,0.003519635181874037,0.02375148124718706,0.32867117535197166,0.23250608183280733,0.561177257184779,0.4344034920588319
5000,2501,5000,1000,1000,l1,0.0032990379258990288,0.024028018215748348,0.32707061548174726,0.2223996948243042,0.5494703103060514,0.43602806695656965
6000,3001,6000,1000,1000,l1,0.0038057046476751566,0.02106591104415937,0.32836977474047707,0.23147164022276906,0.559841414963246,0.4415509766271902
7000,3501,7000,1000,1000,l1,0.004129540175199509,0.02858458794115857,0.33170031351605345,0.2281541856158999,0.5598544991319533,0.4440408802411666
8000,4001,8000,1000,1000,l1,0.004406423307955265,0.01884561167633098,0.3059593057316177,0.259285266712775,0.5652445724443929,0.43014187250228975
9000,4501,9000,1000,1000,l1,0.0045213596895337105,0.019928737836338726,0.32392814748833615,0.2315610466619127,0.5554891941502489,0.436641553050495
10000,5001,10000,1000,1000,l1,0.004918425809592009,0.020799906564864273,0.31463795760995616,0.23521980439698906,0.5498577620069452,0.4342393049066668
11000,5501,11000,1000,1000,l1,0.00467973668128252,0.020982194614194243,0.3374927464980216,0.21050896025655425,0.5480017067545758,0.44275127879679194
12000,6001,12000,1000,1000,l1,0.005065899807959795,0.019252509868210577,0.31780265962924714,0.23405658385532413,0.5518592434845714,0.4332833473578005
13000,6501,13000,1000,1000,l1,0.005275783594697714,0.019323948078621846,0.29644820544983286,0.2608977519282608,0.5573459573780937,0.4252220990655493
14000,7001,14000,1000,1000,l1,0.005433257669210434,0.02236315139917632,0.3060926496233093,0.24013781049381053,0.5462304601171198,0.4355647383723493
15000,7501,15000,1000,1000,l1,0.005828268360346556,0.01921953021132681,0.3141214772453224,0.24538589352420984,0.5595073707695323,0.4385123743363904
16000,8001,16000,1000,1000,l1,0.006025955080986023,0.01764902654823368,0.3126818087127529,0.2359291559280846,0.5486109646408375,0.431990002923415
17000,8501,17000,1000,1000,l1,0.006189462263137102,0.016732595548452762,0.32579102301565477,0.2325152779575335,0.5583063009731881,0.44265956973486215
18000,9001,18000,1000,1000,l1,0.006390932947397232,0.017973758957942572,0.30156159247435027,0.23950868528134606,0.5410702777556965,0.43663768166604644
19000,9501,19000,1000,1000,l1,0.006650954484939575,0.019042431418327253,0.3278900487521444,0.21841123960544548,0.5463012883575897,0.4320354056626826
20000,10001,20000,1000,1000,l1,0.006775487679988146,0.028632456371098732,0.3270625662682436,0.22152147081994183,0.5485840370881855,0.4373362929526689
21000,10501,21000,1000,1000,l1,0.007249389309436083,0.01929806068931048,0.3275559118864665,0.22795929493393857,0.5555152068204051,0.4355473635834214
22000,11001,22000,1000,1000,l1,0.0075696976855397224,0.01869164850770977,0.31512848600839627,0.22693903286595377,0.5420675188743501,0.42971469916600846
23000,11501,23000,1000,1000,l1,0.007769598625600338,0.01982437130257757,0.3100366417888173,0.23752370027144284,0.5475603420602602,0.4361781510392602
24000,12001,24000,1000,1000,l1,0.007942487485706806,0.018183983803917055,0.33471269224392414,0.2215085290158464,0.5562212212597706,0.4404445445342952
25000,12501,25000,1000,1000,l1,0.007983065210282803,0.01855054348814417,0.31199211069627547,0.23816808346304277,0.5501601941593183,0.43150715561934
26000,13001,26000,1000,1000,l1,0.008058536797761917,0.01669811481889878,0.2980408899075624,0.2540679012378152,0.5521087911453776,0.4405128248227387
27000,13501,27000,1000,1000,l1,0.008134676143527031,0.018173709312837395,0.31885633570015237,0.22882772211337377,0.5476840578135262,0.43049332621499387
28000,14001,28000,1000,1000,l1,0.008292603306472301,0.018065391350379004,0.32312137953087344,0.2175255154095887,0.5406468949404621,0.4362275074250053
29000,14501,29000,1000,1000,l1,0.008430074900388718,0.01683651888126019,0.33939568926816915,0.2100282567313523,0.5494239459995215,0.43700490487161
30000,15001,30000,1000,1000,l1,0.00872045662254095,0.019332259344232314,0.3553408934713343,0.18574580245931185,0.5410866959306461,0.4434594021145891
31000,15501,31000,1000,1000,l1,0.008977869525551796,0.03293894727579237,0.31214685848534235,0.23947868661347876,0.5516255450988211,0.43606063643174825
32000,16001,32000,1000,1000,l1,0.0091042909771204,0.017559801685906557,0.30187746327156206,0.24582843414543104,0.5477058974169932,0.42573675514556264
33000,16501,33000,1000,1000,l1,0.009359555318951607,0.019690606594640468,0.32380215601540696,0.21886223006548317,0.5426643860808902,0.4359106617373536
34000,17001,34000,1000,1000,l1,0.009638695046305656,0.01965153885295452,0.30063170697972796,0.24428262187027616,0.5449143288500041,0.42999344011771334
35000,17501,35000,1000,1000,l1,0.00967839639633894,0.01609077405659173,0.3057590265619851,0.24940580620105224,0.5551648327630373,0.4183030084605102
36000,18001,36000,1000,1000,l1,0.00989238265901804,0.01735252690979067,0.32387716788316007,0.2176635498304268,0.5415407177135869,0.43390203620180223
37000,18501,37000,1000,1000,l1,0.010081592947244644,0.01806632591271872,0.31372308716363706,0.23152769849142243,0.5452507856550595,0.4319693419994289
38000,19001,38000,1000,1000,l1,0.010162063874304295,0.018426225175229086,0.3264010888364644,0.22196916348251655,0.5483702523189808,0.4330147395829302
39000,19501,39000,1000,1000,l1,0.010237165726721287,0.018647359493904267,0.30558950705848814,0.23964891956292508,0.5452384266214133,0.43837857022478294
40000,20001,40000,1000,1000,l1,0.010414030402898788,0.018776624381239965,0.34119533478803,0.20557566449538653,0.5467709992834165,0.43459742294253434
41000,20501,41000,1000,1000,l1,0.010684521868824959,0.019056508243793586,0.3085365132295103,0.24471912198912987,0.5532556352186402,0.42423289988784146
42000,21001,42000,1000,1000,l1,0.010904201306402683,0.015292341961803495,0.31032918556079575,0.24489537134465633,0.5552245569054521,0.42510240176208314
43000,21501,43000,1000,1000,l1,0.011059116572141647,0.01796531307867221,0.3233882203762164,0.2275032074417614,0.5508914278179778,0.42159676877017366
44000,22001,44000,1000,1000,l1,0.011192270554602146,0.017990145068430528,0.3297900527612452,0.21537028944807576,0.5451603422093209,0.43736293525735753
45000,22501,45000,1000,1000,l1,0.01123946625739336,0.01591891996466153,0.3049504960203223,0.24585465193538558,0.550805147955708,0.42331344560470713
46000,23001,46000,1000,1000,l1,0.011460291221737862,0.016199681288994686,0.30457536901015886,0.25823575100698226,0.5628111200171411,0.42942904486900024
47000,23501,47000,1000,1000,l1,0.011570412665605545,0.019449621542141145,0.31935594549584345,0.22567142825102257,0.545027373746866,0.43436582190838124
48000,24001,48000,1000,1000,l1,0.011744854971766472,0.017630725276637883,0.31054411737386534,0.23231175550180388,0.5428558728756692,0.42960635902263633
49000,24501,49000,1000,1000,l1,0.011836851015686989,0.014830010724488257,0.33017373989263793,0.21366656031331097,0.5438403002059488,0.43428854719556
50000,25001,50000,1000,1000,l1,0.011978576891124249,0.016428781414574503,0.3324059438814415,0.21338058405373908,0.5457865279351806,0.4394679658217291
