train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,l1,0.009297363460063934,0.05615935485893675,0.4009637676029351,0.13234926144369286,0.5333130290466279,0.4653301722770125
2000,1001,2000,1000,1000,l1,0.013823451474308968,0.059286273574644506,0.3907649390825297,0.138984603777217,0.5297495428597467,0.4625174175001706
3000,1501,3000,1000,1000,l1,0.018947886303067207,0.06073756133800921,0.39473914664770665,0.13814431036649683,0.5328834570142034,0.4634594215107064
4000,2001,4000,1000,1000,l1,0.02262713573873043,0.05503045738674426,0.3855848665360245,0.15287191987106594,0.5384567864070905,0.4661160373076576
5000,2501,5000,1000,1000,l1,0.027097521349787712,0.05561122824331649,0.3959299161803136,0.13687642273979142,0.532806338920105,0.4671618901431483
6000,3001,6000,1000,1000,l1,0.031047698110342026,0.05271191829843309,0.4042120067219099,0.12978288600011859,0.5339948927220285,0.4619671153514438
7000,3501,7000,1000,1000,l1,0.03314307704567909,0.055724526660145574,0.35129326988894016,0.18832269835158066,0.5396159682405209,0.4564715641882712
8000,4001,8000,1000,1000,l1,0.03627590090036392,0.0509188772420998,0.3800752779069853,0.15481963140333585,0.5348949093103211,0.4607850194506357
9000,4501,9000,1000,1000,l1,0.03846069425344467,0.041938897962658,0.3557743535559447,0.18215360607453684,0.5379279596304816,0.4518223097694696
10000,5001,10000,1000,1000,l1,0.040316272526979446,0.04573167577346498,0.38030643640401685,0.15961199306922774,0.5399184294732445,0.4582859309594209
11000,5501,11000,1000,1000,l1,0.04063314199447632,0.035776138929355744,0.36899693391528227,0.17274483719723213,0.5417417711125144,0.4545831872053251
12000,6001,12000,1000,1000,l1,0.042564213275909424,0.0395587001292047,0.34222790727567226,0.1987127583178339,0.5409406655935061,0.45443473959496894
13000,6501,13000,1000,1000,l1,0.04361523315310478,0.03835700140837623,0.3500057280357307,0.1984572964930591,0.5484630245287897,0.44736647005754354
14000,7001,14000,1000,1000,l1,0.04481179267168045,0.03649582986621682,0.34040161649782363,0.20165991132493327,0.542061527822757,0.451149899649578
15000,7501,15000,1000,1000,l1,0.0460866279900074,0.03526773719098113,0.34025875643889314,0.21530980839417013,0.5555685648330632,0.447532735078346
16000,8001,16000,1000,1000,l1,0.04674327373504639,0.03565443148263386,0.36143045902562027,0.18530727841622732,0.5467377374418477,0.4554125195936483
17000,8501,17000,1000,1000,l1,0.04715334624052048,0.03353043116171115,0.32892954660762286,0.23258223838957093,0.5615117849971938,0.4410421968003685
18000,9001,18000,1000,1000,l1,0.04820937663316727,0.037304616987206024,0.3093468232358296,0.23831951606186266,0.5476663392976923,0.439538451353055
19000,9501,19000,1000,1000,l1,0.048830412328243256,0.030314783188668055,0.3164628991305171,0.234219895187607,0.5506827943181243,0.44752466787871786
20000,10001,20000,1000,1000,l1,0.04972394183278084,0.03970790988955504,0.33203463941184125,0.22453908105633805,0.5565737204681792,0.44654771627290335
21000,10501,21000,1000,1000,l1,0.050366830080747604,0.030039296262202593,0.3236431929908977,0.2327297110761748,0.5563729040670724,0.43889389665084966
22000,11001,22000,1000,1000,l1,0.05096602439880371,0.030047270998805702,0.33360174746633503,0.21602318798792122,0.5496249354542563,0.44957085402415325
23000,11501,23000,1000,1000,l1,0.051444362848997116,0.02962855240936464,0.3183893355663,0.22680797421098886,0.5451973097772889,0.4429247164740152
24000,12001,24000,1000,1000,l1,0.05169711261987686,0.02554530181631883,0.3308256067598357,0.2297267581374412,0.5605523648972769,0.43919961961713655
