train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,0.009102021344006062,0.047611211314910466,0.3869749829215973,0.16411251207377103,0.5510874949953684,0.46177611483093695
2000,1001,2000,1000,1000,mse,0.013761396519839764,0.028268378319588953,0.33347100609154323,0.23681820410561266,0.5702892101971558,0.4403052153012153
3000,1501,3000,1000,1000,mse,0.014574971050024033,0.025342961680005716,0.32227766300045085,0.2500079495552585,0.5722856125557094,0.4375534435252324
4000,2001,4000,1000,1000,mse,0.014698104932904243,0.023787968467395306,0.28390639834346676,0.29165336122055036,0.5755597595640172,0.420256686620879
5000,2501,5000,1000,1000,mse,0.014387459494173527,0.020939040166207856,0.27360605241736985,0.3032179733331005,0.5768240257504703,0.4154336618582184
6000,3001,6000,1000,1000,mse,0.014462186023592949,0.020730656931757793,0.2604762457271788,0.31039240353487374,0.5708686492620526,0.4049162976790351
7000,3501,7000,1000,1000,mse,0.01458502933382988,0.027286314666586542,0.2656803787507885,0.319629432455687,0.5853098112064755,0.4190052402893134
8000,4001,8000,1000,1000,mse,0.015693554654717445,0.0216743662810725,0.25926989725873456,0.32485453020212474,0.5841244274608592,0.41306534999198485
9000,4501,9000,1000,1000,mse,0.015668567270040512,0.020244453836373084,0.26895774371272335,0.3107176966762215,0.5796754403889449,0.41324652015371044
10000,5001,10000,1000,1000,mse,0.01579035446047783,0.021181377921980226,0.2564881366277018,0.31166655514485103,0.568154691772553,0.4072580038113315
