train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,2.8762656256731134e-07,0.04271963746510846,0.37492947154126766,0.16712447488223933,0.542053946423507,0.4633128915093987
2000,1001,2000,1000,1000,mse,2.3839936602598755e-06,0.040142009111728556,0.382863306212817,0.15862552280516504,0.541488829017982,0.46195237561874214
3000,1501,3000,1000,1000,mse,7.4101012614846695e-06,0.03719004824920501,0.390860467380786,0.1452078275434743,0.5360682949242602,0.4633804604819221
4000,2001,4000,1000,1000,mse,1.3941367797087878e-05,0.045636582271886134,0.3991291267183149,0.13607892511582848,0.5352080518341434,0.4689640327763955
5000,2501,5000,1000,1000,mse,2.2842034013592638e-05,0.0445223147120876,0.38567937721751955,0.14436094562314103,0.5300403228406606,0.4651941958439302
6000,3001,6000,1000,1000,mse,3.5232904338045046e-05,0.042872057179368685,0.3887563487386064,0.13880445047162668,0.5275607992102331,0.46095812089303567
7000,3501,7000,1000,1000,mse,4.6147692046361044e-05,0.051794788440785784,0.3798894095916041,0.15020320825235517,0.5300926178439592,0.4629835476382417
8000,4001,8000,1000,1000,mse,6.611741264350712e-05,0.04130374348290656,0.3919152446188882,0.1381270235592545,0.5300422681781428,0.4720801929840759
9000,4501,9000,1000,1000,mse,8.436787175014615e-05,0.04517635791891861,0.391870896860323,0.1428731172785566,0.5347440141388795,0.46581503746746794
10000,5001,10000,1000,1000,mse,0.00011142521543661132,0.05518532583090692,0.40678170543619624,0.11920043797342858,0.5259821434096248,0.46189426520232035
11000,5501,11000,1000,1000,mse,0.00013675201626028866,0.04866122710117574,0.3895863745479705,0.13580586206767578,0.5253922366156463,0.46294112511738833
12000,6001,12000,1000,1000,mse,0.0001707026967778802,0.06276229684101133,0.3986615237990645,0.12744562685985988,0.5261071506589244,0.47031338161944597
13000,6501,13000,1000,1000,mse,0.00020051734463777393,0.043419561470898184,0.38142010922221353,0.15053630242929494,0.5319564116515084,0.4623636490444179
14000,7001,14000,1000,1000,mse,0.00023719265300314873,0.04583361263368056,0.38864431753117473,0.14051182487615765,0.5291561424073324,0.47052764770384364
15000,7501,15000,1000,1000,mse,0.00028726624441333115,0.04420585987236988,0.3689460109736239,0.1695151600775741,0.538461171051198,0.46011614208756235
16000,8001,16000,1000,1000,mse,0.0003141224442515522,0.04975037123298179,0.4056520236214225,0.12272894957181603,0.5283809731932384,0.46915687824235786
17000,8501,17000,1000,1000,mse,0.0003450465155765414,0.043460403248463876,0.38752780857720054,0.13911526910679758,0.5266430776839982,0.4573936068749639
18000,9001,18000,1000,1000,mse,0.00036836517392657697,0.04506146930471006,0.3640899567052042,0.1674711590164549,0.531561115721659,0.4575713852697644
19000,9501,19000,1000,1000,mse,0.00041781176696531475,0.050675117902090575,0.37771571339445426,0.1557889966765091,0.5335047100709635,0.4580508290483623
20000,10001,20000,1000,1000,mse,0.00044592030462808907,0.05247343408614022,0.3996371608369599,0.13479582455201672,0.5344329853889767,0.4660943745200002
21000,10501,21000,1000,1000,mse,0.0004828493983950466,0.053020839073086565,0.3797367382767809,0.15155925962048633,0.5312959978972672,0.4561320560329721
22000,11001,22000,1000,1000,mse,0.000519437191542238,0.04842108902874881,0.3696869840035225,0.16375282079149708,0.5334398047950195,0.4561601155817235
23000,11501,23000,1000,1000,mse,0.0005553705268539488,0.03708984458168451,0.3618561316169481,0.17766775528619722,0.5395238869031452,0.45325686488642536
24000,12001,24000,1000,1000,mse,0.0005868569132871926,0.04304154299056628,0.38308408236719826,0.15692656102156974,0.5400106433887681,0.4581842831275205
25000,12501,25000,1000,1000,mse,0.0006206970429047942,0.04217317392267938,0.36415948364659584,0.1766664215517791,0.5408259051983749,0.44749378103252774
26000,13001,26000,1000,1000,mse,0.0006507060606963933,0.036003179086135324,0.3647690929191696,0.18055381828404105,0.5453229112032105,0.448361778711285
27000,13501,27000,1000,1000,mse,0.0006837734254077077,0.04497154116092309,0.38404741429644446,0.16006421929145662,0.5441116335879012,0.4524757882404738
28000,14001,28000,1000,1000,mse,0.0007154561462812126,0.03434014290437168,0.3499247069611289,0.19537374163218157,0.5452984485933104,0.44237366129138
29000,14501,29000,1000,1000,mse,0.0007443544454872608,0.03377097794907606,0.3693906356262755,0.16515221721670892,0.5345428528429843,0.4528031686481864
30000,15001,30000,1000,1000,mse,0.000779232126660645,0.037390436529679445,0.3484975447892966,0.18994938448544393,0.5384469292747406,0.4489382723518237
31000,15501,31000,1000,1000,mse,0.0008084065048024058,0.04830784756219205,0.34734976176406807,0.19529938568629832,0.5426491474503664,0.4407857935870328
32000,16001,32000,1000,1000,mse,0.0008279472822323442,0.0345747967854392,0.34991136003839707,0.18477946426019404,0.5346908242985912,0.4396115431887722
33000,16501,33000,1000,1000,mse,0.0008629015646874905,0.03006354796258735,0.34249932953658435,0.20605571827379773,0.5485550478103821,0.4362807763376211
34000,17001,34000,1000,1000,mse,0.0008899150998331606,0.029344505721346826,0.3526998641171159,0.18441484796575155,0.5371147120828674,0.450525412824464
35000,17501,35000,1000,1000,mse,0.000912907940801233,0.023875959459538867,0.3440251168896866,0.20189845595324812,0.5459235728429347,0.4327608340415096
36000,18001,36000,1000,1000,mse,0.0009339511743746698,0.025811706266428133,0.3457753551378297,0.19588286933379453,0.5416582244716242,0.4389250351386398
37000,18501,37000,1000,1000,mse,0.0009708242723718286,0.029777728165733815,0.32057253555614407,0.22014987620220863,0.5407224117583528,0.4410049261927793
38000,19001,38000,1000,1000,mse,0.0010348125360906124,0.024563104510859267,0.33736288463514075,0.2151006274382608,0.5524635120734016,0.42676534124790455
