train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,2.3448248612112366e-05,0.11486047976901931,0.4478060229569111,0.06725157186685811,0.5150575948237692,0.4868753884512622
2000,1001,2000,1000,1000,mse,0.00021064422617200762,0.119893761009019,0.434777357405756,0.07856683252609117,0.5133441899318472,0.48157502114563727
3000,1501,3000,1000,1000,mse,0.0006690132431685925,0.11117747743078413,0.41973629516063693,0.09923028226324075,0.5189665774238776,0.48009706281983017
4000,2001,4000,1000,1000,mse,0.001171241863630712,0.13601222863630827,0.43590339320442184,0.0829149844016292,0.518818377606051,0.4841051247024872
5000,2501,5000,1000,1000,mse,0.0017732590204104781,0.20359214335026124,0.4110582217599743,0.11494121704186507,0.5259994388018392,0.4717548658041285
6000,3001,6000,1000,1000,mse,0.002350135939195752,0.1212603313554938,0.41840246907235784,0.10986322158321601,0.5282656906555739,0.4720548444287778
7000,3501,7000,1000,1000,mse,0.002826991258189082,0.12605301911997013,0.3865944734743929,0.15181367109205005,0.5384081445664429,0.4575874665700909
8000,4001,8000,1000,1000,mse,0.0032448593992739916,0.08161772429671962,0.38022558378456733,0.16237748478268907,0.5426030685672564,0.45574145831650054
9000,4501,9000,1000,1000,mse,0.003589881118386984,0.08362878370305225,0.3872422865263072,0.15401058553238436,0.5412528720586915,0.46118162729566986
10000,5001,10000,1000,1000,mse,0.0037873550318181515,0.08528724020628624,0.36785314212600156,0.17354697156579227,0.5414001136917939,0.45428651622930977
11000,5501,11000,1000,1000,mse,0.004015437327325344,0.047301689086248905,0.3728546366569073,0.17342749768244908,0.5462821343393564,0.4514521209765779
12000,6001,12000,1000,1000,mse,0.004167392384260893,0.06336560938727631,0.3473632218845728,0.19288062401480865,0.5402438458993815,0.45632330173918817
13000,6501,13000,1000,1000,mse,0.004355976358056068,0.0994277291885692,0.34435380663715975,0.21229170034110995,0.5566455069782698,0.45041291448647436
14000,7001,14000,1000,1000,mse,0.0045725321397185326,0.07439387122504511,0.3463167119950642,0.20030501079044824,0.5466217227855125,0.44920815557820276
15000,7501,15000,1000,1000,mse,0.004757865332067013,0.06797208857541574,0.32497817497417825,0.22209318861562855,0.5470713635898069,0.44689783394878557
16000,8001,16000,1000,1000,mse,0.004852847196161747,0.035118160765022374,0.321885301685944,0.23652939474260692,0.558414696428551,0.44251133644404805
17000,8501,17000,1000,1000,mse,0.004939298611134291,0.02898439189748097,0.3173936661906603,0.23864354340450178,0.556037209595162,0.43431972674068753
18000,9001,18000,1000,1000,mse,0.005036753602325916,0.02880247606290737,0.31684483625174403,0.24237568630093326,0.5592205225526773,0.43707435900149527
19000,9501,19000,1000,1000,mse,0.005208981689065695,0.056677416605317,0.29293961009166214,0.2640226904732116,0.5569623005648736,0.438219787111983
20000,10001,20000,1000,1000,mse,0.005325086414813995,0.043578728575399746,0.33027213821377216,0.22407362690314647,0.5543457651169186,0.4374818776968086
21000,10501,21000,1000,1000,mse,0.005382728297263384,0.030237280376000025,0.30148545410903194,0.26137414737651204,0.5628596014855439,0.42470047080183543
22000,11001,22000,1000,1000,mse,0.00541150476783514,0.020054340631931587,0.31573535442254014,0.2371390332577037,0.5528743876802439,0.4371735368816481
23000,11501,23000,1000,1000,mse,0.005487315822392702,0.030681348317253422,0.2787926009914497,0.27725397737989865,0.5560465783713482,0.4306826601383201
24000,12001,24000,1000,1000,mse,0.005599095486104488,0.04781364615220443,0.3077292604319202,0.24822652924419064,0.5559557896761109,0.42561255278411086
25000,12501,25000,1000,1000,mse,0.005614403635263443,0.018334327403303964,0.2865480666288985,0.27529513297154334,0.5618431996004417,0.42253454108830535
26000,13001,26000,1000,1000,mse,0.00554452370852232,0.023354078132828925,0.2675442932405733,0.29801162399219594,0.5655559172327693,0.4237104750289898
27000,13501,27000,1000,1000,mse,0.005675384309142828,0.019398891937601526,0.3106524489945726,0.2637173620744191,0.5743698110689917,0.4199281409366777
28000,14001,28000,1000,1000,mse,0.00569997588172555,0.015404732799672775,0.29764065327087885,0.25941041263040027,0.5570510659012791,0.42697659808457916
29000,14501,29000,1000,1000,mse,0.005694183986634016,0.06773311643965013,0.28354210797021695,0.27603318653761694,0.5595752945078338,0.41803604317860993
30000,15001,30000,1000,1000,mse,0.005763196386396885,0.0164300964071493,0.27862956703377556,0.28361524222972,0.5622448092634956,0.4244136663915464
31000,15501,31000,1000,1000,mse,0.005757309962064028,0.03196874444361691,0.27775085307880193,0.2831667965219322,0.5609176496007342,0.4193969949587927
