train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,0.0009613002184778452,0.17746500581967406,0.4574256842319412,0.05163576326093374,0.509061447492875,0.48739057246885775
2000,1001,2000,1000,1000,mse,0.0036660952027887106,0.18615706547789979,0.4071062798384841,0.12046162688372059,0.5275679067222047,0.4687314025233432
3000,1501,3000,1000,1000,mse,0.0058774808421730995,0.07370633453307855,0.3815258802974871,0.16231895915001132,0.5438448394474983,0.4607837456881444
4000,2001,4000,1000,1000,mse,0.007147063966840506,0.08204121762690725,0.3639440636761863,0.17584693009487062,0.539790993771057,0.45615568660864153
5000,2501,5000,1000,1000,mse,0.008089868351817131,0.053024872752185065,0.35447426184959663,0.18351623126310654,0.5379904931127031,0.44973375157466944
6000,3001,6000,1000,1000,mse,0.008587123826146126,0.08308736862975302,0.33780915582710946,0.21566815446432763,0.5534773102914371,0.43601522852743674
7000,3501,7000,1000,1000,mse,0.009510240517556667,0.16770907642865354,0.32490275199861746,0.23750036005985492,0.5624031120584724,0.4458977527182207
8000,4001,8000,1000,1000,mse,0.009520151652395725,0.07983878625529771,0.31860588986638566,0.2262011672231191,0.5448070570895047,0.44242724246089155
9000,4501,9000,1000,1000,mse,0.00968950055539608,0.0427755573128553,0.3178867666929526,0.24630197100966036,0.564188737702613,0.42632234276297126
10000,5001,10000,1000,1000,mse,0.00998576357960701,0.2638312369293822,0.3253569738262267,0.2300955225991915,0.5554524964254183,0.4281958780171542
11000,5501,11000,1000,1000,mse,0.010103065520524979,0.0478447537820096,0.29755765451994964,0.2775988579272996,0.5751565124472493,0.42135464178654525
12000,6001,12000,1000,1000,mse,0.010233571752905846,0.39326268225269745,0.27997687272753125,0.27531379832883757,0.5552906710563689,0.4307888720963361
13000,6501,13000,1000,1000,mse,0.01029716432094574,0.043528661301868325,0.28524865887259476,0.28943689061638356,0.5746855494889783,0.4188897914253319
14000,7001,14000,1000,1000,mse,0.010310911573469639,0.03082756540910271,0.29306200808750044,0.2642031145442184,0.5572651226317189,0.4281384607061999
15000,7501,15000,1000,1000,mse,0.010453371331095695,0.03246848796350364,0.2573801625886291,0.3043700652719302,0.5617502278605593,0.4168713245872899
16000,8001,16000,1000,1000,mse,0.010516324080526829,0.06719231716920096,0.2686832529027296,0.2940365446065824,0.562719797509312,0.4288950349646026
17000,8501,17000,1000,1000,mse,0.01056570466607809,0.019843760965285433,0.2740648293442163,0.307768051575231,0.5818328809194472,0.4133121482237447
18000,9001,18000,1000,1000,mse,0.011080930940806866,0.03880404062757578,0.2675231102215211,0.29510165443788366,0.5626247646594047,0.42277348854928243
19000,9501,19000,1000,1000,mse,0.011092088185250759,0.02126340744854947,0.2594758897757224,0.3202487203237822,0.5797246100995046,0.4218148883776363
20000,10001,20000,1000,1000,mse,0.011055950075387955,0.020243641851287703,0.2804810026032043,0.2938935404061267,0.5743745430093311,0.4209285251059962
21000,10501,21000,1000,1000,mse,0.01078446302562952,0.020707940723379954,0.25189961440294706,0.3170246144304327,0.5689242288333798,0.404899843825079
22000,11001,22000,1000,1000,mse,0.010733832605183125,0.021261541401507142,0.2657009618186094,0.3077866576694958,0.5734876194881053,0.42157426519609
23000,11501,23000,1000,1000,mse,0.010517380200326443,0.025292370654702627,0.22877664309176887,0.3475154224297385,0.5762920655215075,0.41610412676272973
24000,12001,24000,1000,1000,mse,0.010591571219265461,0.03225518368578636,0.2698309886778992,0.3044768734352322,0.5743078621131315,0.4150360689923281
25000,12501,25000,1000,1000,mse,0.010469946078956127,0.04849418841221291,0.26821358799715983,0.30802882887911504,0.5762424168762749,0.41636114333591
26000,13001,26000,1000,1000,mse,0.010181356221437454,0.019487085576740417,0.2396105804936389,0.3297114590243461,0.5693220395179851,0.40316054784563177
27000,13501,27000,1000,1000,mse,0.010044112801551819,0.01311721387723988,0.27415615703972424,0.3075890125711708,0.581745169610895,0.41137606722698283
28000,14001,28000,1000,1000,mse,0.009789983741939068,0.014904684935784894,0.26127951569600577,0.30500760201349725,0.566287117709503,0.41410878969109527
29000,14501,29000,1000,1000,mse,0.00973239541053772,0.013110462864439548,0.2605509775418272,0.3134960536983378,0.5740470312401651,0.4016520318444796
30000,15001,30000,1000,1000,mse,0.00953039899468422,0.012462330139045052,0.26629057585729166,0.30914875889281723,0.5754393347501089,0.41338784020329544
31000,15501,31000,1000,1000,mse,0.009450091980397701,0.1124503965258306,0.24517306426009464,0.33014062747926437,0.575313691739359,0.40901610396000354
32000,16001,32000,1000,1000,mse,0.009730065241456032,0.012017921702035106,0.24943155324917302,0.3324718250875724,0.5819033783367454,0.3946896986510353
33000,16501,33000,1000,1000,mse,0.009643460623919964,0.013295153101831906,0.2509373805175265,0.32869402663774405,0.5796314071552706,0.39629073392460284
34000,17001,34000,1000,1000,mse,0.009540937840938568,0.012748529559498208,0.23592030420391952,0.324261788094304,0.5601820922982236,0.4114900402446029
35000,17501,35000,1000,1000,mse,0.009380298666656017,0.026804207319497057,0.26612318056733697,0.3039948680555684,0.5701180486229054,0.41081732832150425
36000,18001,36000,1000,1000,mse,0.00926206260919571,0.011175939706965511,0.2528763504047834,0.31864475278261956,0.571521103187403,0.40190870971168224
37000,18501,37000,1000,1000,mse,0.009208712726831436,0.010752148352720077,0.22921421257725222,0.34092011632600505,0.5701343289032572,0.39107885613894006
38000,19001,38000,1000,1000,mse,0.00909501127898693,0.01094421485474366,0.2470245233781929,0.3293251771090295,0.5763497004872224,0.3942304149232258
39000,19501,39000,1000,1000,mse,0.009009130299091339,0.011912968873997681,0.22717590241215607,0.3481658843342498,0.5753417867464059,0.41067787535682176
40000,20001,40000,1000,1000,mse,0.008946456015110016,0.010898095365194245,0.2580570194698914,0.3215583978590009,0.5796154173288923,0.40153559432913005
41000,20501,41000,1000,1000,mse,0.008833951316773891,0.011160295779891822,0.2501854909246828,0.3311502117841381,0.581335702708821,0.40027103599316216
42000,21001,42000,1000,1000,mse,0.0088344756513834,0.009821803155334173,0.24865778165368294,0.3354392679304534,0.5840970495841362,0.400145071433743
43000,21501,43000,1000,1000,mse,0.008777495473623276,0.010110066537473218,0.25038015479522024,0.3230910251273956,0.5734711799226159,0.40566299284914636
44000,22001,44000,1000,1000,mse,0.00871021207422018,0.013048118639980334,0.23383964879410749,0.3360527081618566,0.5698923569559641,0.39137532166449285
