train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,1000,1000,1000,mse,2.1966388885630295e-05,0.08411454796986768,0.42759718883687986,0.09360536035672978,0.5212025491936096,0.4811125516132786
2000,1001,2000,1000,1000,mse,0.00013056167517788708,0.09778179202083168,0.4212411723583422,0.10459108486450808,0.5258322572228502,0.4757177488356916
3000,1501,3000,1000,1000,mse,0.0003048704529646784,0.10391548730637835,0.4352786983549471,0.0950591593558845,0.5303378577108316,0.4749119466224132
4000,2001,4000,1000,1000,mse,0.0005498723476193845,0.10762475301607922,0.43196716850427513,0.08946625965418963,0.5214334281584647,0.47542860806358705
5000,2501,5000,1000,1000,mse,0.0008384610409848392,0.12104588337615502,0.43140337107085086,0.09459858120541907,0.5260019522762699,0.478043362291385
6000,3001,6000,1000,1000,mse,0.00118143146391958,0.12602569880290368,0.42878488547109117,0.09062574846760015,0.5194106339386912,0.47819234769659125
7000,3501,7000,1000,1000,mse,0.001507847453467548,0.15084223269603853,0.4170575200617352,0.10531005400553188,0.5223675740672671,0.47641953604222104
8000,4001,8000,1000,1000,mse,0.0019912112038582563,0.107919184227993,0.3986868036627002,0.1263530686474204,0.5250398723101206,0.46839523624698104
9000,4501,9000,1000,1000,mse,0.0024350211024284363,0.07407000966842327,0.3914280644135044,0.15059948602702342,0.5420275504405279,0.4651137811051326
10000,5001,10000,1000,1000,mse,0.002977280877530575,0.08613890446810844,0.38987035361335576,0.143125474688802,0.5329958283021576,0.4638828024492792
11000,5501,11000,1000,1000,mse,0.003084542229771614,0.06035733383434781,0.3746126331163332,0.15924583683416024,0.5338584699504934,0.4602053229867543
12000,6001,12000,1000,1000,mse,0.0032930998131632805,0.07286752441365539,0.3734169238370847,0.1578038006096683,0.5312207244467531,0.4661570205585856
13000,6501,13000,1000,1000,mse,0.003677520900964737,0.06256917539316037,0.3457329087285576,0.19742376942051854,0.5431566781490761,0.45511390603047447
14000,7001,14000,1000,1000,mse,0.0038237532135099173,0.08654166514586184,0.3647594402602371,0.17334234013234795,0.538101780392585,0.4600931643834894
15000,7501,15000,1000,1000,mse,0.004117394797503948,0.05308314236493109,0.33479239850290754,0.20765227284301954,0.5424446713459271,0.43952063861189256
16000,8001,16000,1000,1000,mse,0.004343292210251093,0.047312955859354494,0.34904332861878273,0.20371827440579335,0.5527616030245761,0.45450917316347306
17000,8501,17000,1000,1000,mse,0.0044759102165699005,0.033287099507993655,0.3354717928471301,0.2196089903572565,0.5550807832043867,0.4372733572487347
18000,9001,18000,1000,1000,mse,0.006076881196349859,0.02094148621292924,0.2767515777311695,0.28783419314027653,0.564585770871446,0.4265954179827578
19000,9501,19000,1000,1000,mse,0.004946238826960325,0.024683745745276223,0.3089345646870404,0.24509029297431165,0.554024857661352,0.43928115821455754
20000,10001,20000,1000,1000,mse,0.004951501730829477,0.029994345095883324,0.3191261764076838,0.2497354688045648,0.5688616452122485,0.44085341183072424
21000,10501,21000,1000,1000,mse,0.004944081883877516,0.023348571946733843,0.3277462910255108,0.22832962956148825,0.5560759205869991,0.43574080003625876
22000,11001,22000,1000,1000,mse,0.004948467016220093,0.02466373254869816,0.3185570956892871,0.23196618006867747,0.5505232757579647,0.43400902052566004
23000,11501,23000,1000,1000,mse,0.005048674996942282,0.022119177107888903,0.2758377936447614,0.2874276900725333,0.5632654837172947,0.42006389957596507
24000,12001,24000,1000,1000,mse,0.005066335201263428,0.02419627123532063,0.33196951729004903,0.221584010243377,0.553553527533426,0.4350081071791
25000,12501,25000,1000,1000,mse,0.0051123350858688354,0.019695956458766165,0.2634588447683507,0.3021317433349908,0.5655905881033414,0.413793124551808
26000,13001,26000,1000,1000,mse,0.005232721567153931,0.021694146845327947,0.3001232184919769,0.25406057096040596,0.5541837894523828,0.43211476563027074
27000,13501,27000,1000,1000,mse,0.005605950020253658,0.01756364186335667,0.30209109430155834,0.2651546585747417,0.5672457528763,0.42314095309459154
28000,14001,28000,1000,1000,mse,0.005296149756759405,0.018485842251793037,0.2918599228394316,0.2685521926286594,0.560412115468091,0.4295798417279028
29000,14501,29000,1000,1000,mse,0.005361631512641907,0.016743136424145304,0.2825675745502798,0.27958847124299624,0.562156045793276,0.42629917010147306
30000,15001,30000,1000,1000,mse,0.005319786723703146,0.02115422713866401,0.3011138959170979,0.2631356733665543,0.5642495692836523,0.4266869057454167
31000,15501,31000,1000,1000,mse,0.005373810883611441,0.03645817695301827,0.27200908874517576,0.2830888881857839,0.5550979769309596,0.4182684554400458
32000,16001,32000,1000,1000,mse,0.005403968505561352,0.014495763798121336,0.26604785839161754,0.3117202914497161,0.5777681498413336,0.41290508379207735
33000,16501,33000,1000,1000,mse,0.005432330071926117,0.02821933469724618,0.2781839683483164,0.2848893216941683,0.5630732900424847,0.4146502370418872
34000,17001,34000,1000,1000,mse,0.0054861148819327354,0.015696837172047902,0.26682119240947955,0.2899830568076969,0.5568042492171764,0.4161291153742294
35000,17501,35000,1000,1000,mse,0.0054956465028226376,0.013351510979981177,0.2762633856628853,0.29141869140813076,0.567682077071016,0.4151649514303839
36000,18001,36000,1000,1000,mse,0.005713786464184523,0.014898726097164675,0.28867549456617514,0.26705370578864723,0.5557292003548223,0.41997027312218904
37000,18501,37000,1000,1000,mse,0.005539816338568926,0.017960431143406296,0.265298707178567,0.2974035856477539,0.5627022928263209,0.4127046162642625
38000,19001,38000,1000,1000,mse,0.005559271201491356,0.014591338205621692,0.28255380876265435,0.2839747932431262,0.5665286020057806,0.4114040502687816
39000,19501,39000,1000,1000,mse,0.005788430571556091,0.012277138868790616,0.25947779713580066,0.3082062461965109,0.5676840433323115,0.4152413779797703
40000,20001,40000,1000,1000,mse,0.005517652723938227,0.0137053935983924,0.2818700136690674,0.3016515543806234,0.5835215680496908,0.4083340695668395
41000,20501,41000,1000,1000,mse,0.005717338528484106,0.012336586958408537,0.24437755985417806,0.32801997791060844,0.5723975377647865,0.40637818303093115
42000,21001,42000,1000,1000,mse,0.005507009103894234,0.01171541254761798,0.2698596904812074,0.304637775559953,0.5744974660411604,0.411693753738434
43000,21501,43000,1000,1000,mse,0.005489161238074303,0.013865102404436603,0.26654279886855736,0.29958472768328703,0.5661275265518444,0.40030646240091167
44000,22001,44000,1000,1000,mse,0.005502800922840834,0.011684013398042748,0.23930271394111766,0.3204161990554163,0.559718912996534,0.39984197728055326
45000,22501,45000,1000,1000,mse,0.0055130585096776485,0.011858853085088248,0.26142702196953055,0.31163056465647704,0.5730575866260076,0.40820851838296685
46000,23001,46000,1000,1000,mse,0.005493222735822201,0.013393310168311573,0.26936955706307886,0.29816380207910187,0.5675333591421806,0.41827867493636633
47000,23501,47000,1000,1000,mse,0.00566082913428545,0.012716921623414718,0.28285209393585375,0.28341804446714103,0.5662701384029948,0.4208167211110445
48000,24001,48000,1000,1000,mse,0.005445451941341162,0.011373143454146974,0.2708925610889745,0.28851010476657324,0.5594026658555479,0.40960679313987686
49000,24501,49000,1000,1000,mse,0.0052294353954494,0.010830688494640946,0.2508717626063501,0.31640706192872436,0.5672788245350746,0.4008832704613478
50000,25001,50000,1000,1000,mse,0.005230671260505915,0.014993918716187011,0.2586875410878496,0.3058139870185696,0.5645015281064192,0.4030466525767749
