train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,55646,1000,1000,l1,0.00210757227614522,6.328496620510322,0.03107304044371101,0.3160983594891943,0.24729063244141725,0.5633889919306115,0.4350461869295404
2000,1001,55646,1000,1000,l1,0.009815912693738937,7.039267545485013,0.035236735714815524,0.33052741081144443,0.2317345654101854,0.5622619762216298,0.4378595332056966
3000,1501,55646,1000,1000,l1,0.016125548630952835,7.22761005120933,0.036659085897611715,0.3492327096278863,0.20642542182192003,0.5556581314498064,0.44503360633147077
4000,2001,55646,1000,1000,l1,0.021885182708501816,6.9931417671461364,0.035016895680248114,0.3393029506441739,0.21438467441211864,0.5536876250562925,0.438678009298645
5000,2501,55646,1000,1000,l1,0.028697198256850243,7.774776005179238,0.03321283519375575,0.34152576135677065,0.21573408177946343,0.557259843136234,0.4474150350639218
6000,3001,55646,1000,1000,l1,0.03163333609700203,7.520459808399091,0.033497021252322394,0.34541307845740465,0.2105282524391027,0.5559413308965072,0.44991112584060566
7000,3501,55646,1000,1000,l1,0.034423716366291046,6.411810763812848,0.027916068337015744,0.31416749658981885,0.24800812027347174,0.5621756168632905,0.43752069104259456
8000,4001,55646,1000,1000,l1,0.037155114114284515,7.834548928490022,0.030195385526843237,0.310709143112021,0.2461888972928429,0.556898040404864,0.43409783402619145
9000,4501,55646,1000,1000,l1,0.039973121136426926,7.741424486678081,0.026466340631733812,0.3062646313079563,0.2619166704275163,0.5681813017354725,0.42994978469939543
10000,5001,55646,1000,1000,l1,0.042340394109487534,6.057926368485801,0.023467266912887752,0.29656954264611096,0.27008888100293243,0.5666584236490435,0.4228895780092688
11000,5501,55646,1000,1000,l1,0.04410475119948387,7.396929807390266,0.024563345038307687,0.30454536843056723,0.2613789308916742,0.5659242993222415,0.4234839490164937
12000,6001,55646,1000,1000,l1,0.04558614641427994,5.611788271888206,0.018931208775223016,0.28100649950071666,0.29471737267445586,0.5757238721751726,0.4118115789575151
13000,6501,55646,1000,1000,l1,0.046587031334638596,5.983712629157395,0.021765335143773618,0.28709364160613554,0.2767286634825652,0.5638223050887007,0.4113509951611347
14000,7001,55646,1000,1000,l1,0.04768306761980057,5.559805151348988,0.019483061051764092,0.2823447539931131,0.28550759609992915,0.5678523500930424,0.4106737561295459
15000,7501,55646,1000,1000,l1,0.048243168741464615,4.618131157677864,0.01586190717788696,0.2780905677524887,0.2836069204834497,0.5616974882359385,0.41127119854813154
16000,8001,55646,1000,1000,l1,0.05351908132433891,4.301718880645783,0.015083514438866503,0.2730525902716742,0.29993212395283614,0.5729847142245102,0.4121366921782434
17000,8501,55646,1000,1000,l1,0.05121595039963722,4.473719950424707,0.014743336008028988,0.28300976861057203,0.2846303951345092,0.5676401637450813,0.4174452477095504
18000,9001,55646,1000,1000,l1,0.05028647929430008,4.104277457484501,0.013636139865261358,0.28192644751097184,0.280564345827348,0.56249079333832,0.420108061677255
19000,9501,55646,1000,1000,l1,0.050026457756757736,4.282957175290562,0.013373744175638047,0.2702652100522873,0.2980605600135383,0.5683257700658257,0.4038420221319826
20000,10001,55646,1000,1000,l1,0.049822933971881866,4.026724612136431,0.01299352531325568,0.2644497579546769,0.3032485530385824,0.5676983109932593,0.40753431049553807
21000,10501,55646,1000,1000,l1,0.050262246280908585,3.5112923574716777,0.012366612324219584,0.26171600421879443,0.3119954417265917,0.5737114459453861,0.4038376601144274
22000,11001,55646,1000,1000,l1,0.05045270919799805,3.5209903485122807,0.012096465800188486,0.24930118451786448,0.32741908269774217,0.5767202672156067,0.3898050470723771
23000,11501,55646,1000,1000,l1,0.05066022649407387,3.8335678928678463,0.012005654110993283,0.2599859102557854,0.31081984112627803,0.5708057513820634,0.4017338212064706
24000,12001,55646,1000,1000,l1,0.05108973756432533,3.963166326027254,0.012382433061482817,0.26429012417818776,0.3055429013761759,0.5698330255543635,0.4002493414261147
25000,12501,55646,1000,1000,l1,0.05058380588889122,3.8225835984379195,0.011547742278798468,0.2668878786326074,0.30614406551480633,0.5730319441474138,0.40573087392340584
26000,13001,55646,1000,1000,l1,0.05012304335832596,3.8036470934864544,0.01100575907204935,0.2638988260805224,0.30661500926148405,0.5705138353420064,0.40467116569035855
27000,13501,55646,1000,1000,l1,0.049908217042684555,3.725855737656953,0.010931878775267637,0.2624262472076071,0.30276985247711047,0.5651960996847175,0.40840044344828635
28000,14001,55646,1000,1000,l1,0.0499369315803051,3.759883746186224,0.01093929135260305,0.26804686952971396,0.2984826933845714,0.5665295629142851,0.410149297633242
29000,14501,55646,1000,1000,l1,0.049788858741521835,3.6519807466473027,0.01062783592624895,0.25225384718427246,0.3199993294537624,0.5722531766380349,0.40364671177568545
30000,15001,55646,1000,1000,l1,0.04958762973546982,3.932566354784214,0.011617933396201876,0.2614663496441067,0.31350659950287996,0.5749729491469866,0.405017815803783
