train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
1000,501,55646,1000,1000,l1,0.0025402293540537357,6.387410101246325,0.03389415909598203,0.29846162462501924,0.2668741057536419,0.565335730378661,0.4334284567858294
2000,1001,55646,1000,1000,l1,0.010748958215117455,6.178361790640307,0.03311659760207127,0.2985155755801327,0.27660306185609823,0.5751186374362309,0.43104036120563044
3000,1501,55646,1000,1000,l1,0.01837940886616707,6.902985717026819,0.031976972334936196,0.3203135131398065,0.25322189044653937,0.5735354035863459,0.4367457600050136
4000,2001,55646,1000,1000,l1,0.02283857949078083,6.658576163119319,0.032895393944982414,0.30633225825507887,0.24869720822826188,0.5550294664833408,0.4366510735150546
5000,2501,55646,1000,1000,l1,0.026604341343045235,6.309483055543702,0.03340541228850481,0.30064037515035286,0.2705029053154251,0.5711432804657779,0.4384765913364366
6000,3001,55646,1000,1000,l1,0.028109902516007423,6.243944415498075,0.029353862051674572,0.30069303728798824,0.26541746925066845,0.5661105065386567,0.42797493901936356
7000,3501,55646,1000,1000,l1,0.029372241348028183,6.382051047260977,0.03175562633592637,0.3249158340044297,0.247001947458696,0.5719177814631256,0.4385198735265683
8000,4001,55646,1000,1000,l1,0.031273696571588516,6.656008591977695,0.029931538155733007,0.312363784475819,0.25387834592896974,0.5662421304047887,0.44198588842465625
9000,4501,55646,1000,1000,l1,0.03279644623398781,6.046486382954074,0.02865551726744552,0.30623231657438404,0.26104606544415665,0.5672783820185407,0.43405991422134976
10000,5001,55646,1000,1000,l1,0.034572623670101166,6.310950809738522,0.0276581313715549,0.3101653388728051,0.25428727940278556,0.5644526182755907,0.439536363265951
11000,5501,55646,1000,1000,l1,0.03561275452375412,6.304546368009419,0.02895327148234427,0.3145395733265397,0.24330343638057397,0.5578430097071136,0.4390884693332245
12000,6001,55646,1000,1000,l1,0.03662647679448128,6.334492615034496,0.02776956569517059,0.3135753921266036,0.24561895958252244,0.559194351709126,0.4416525152213917
13000,6501,55646,1000,1000,l1,0.03824762627482414,6.1492991638990775,0.02606417051579202,0.3116342227304651,0.25662736473514164,0.5682615874656067,0.44405479870300635
14000,7001,55646,1000,1000,l1,0.038413673639297485,5.559617333346993,0.02429493686876221,0.30892031487800453,0.2580130992639915,0.566933414141996,0.4376078991699147
15000,7501,55646,1000,1000,l1,0.03917368873953819,6.036226134516825,0.02517474033049129,0.2980342558996451,0.2553012735609128,0.553335529460558,0.4432129985637215
16000,8001,55646,1000,1000,l1,0.043791938573122025,6.674335821052465,0.027490326022272284,0.32763971818498994,0.24008383809495787,0.5677235562799479,0.4415487763850865
17000,8501,55646,1000,1000,l1,0.04322340711951256,5.429542305243377,0.025046246929783935,0.30936346012255034,0.2541073518912272,0.5634708120137775,0.44028340864448057
18000,9001,55646,1000,1000,l1,0.04368950426578522,6.335971269089216,0.027507713557928363,0.3185825268446067,0.24644218656016859,0.5650247134047753,0.4358325571338621
19000,9501,55646,1000,1000,l1,0.044631823897361755,6.484518515745551,0.02799518757505475,0.32376801676505307,0.2379902411054515,0.5617582578705046,0.4429557212345431
20000,10001,55646,1000,1000,l1,0.045332904905080795,6.312613017668811,0.02622684006682209,0.31607006056058645,0.24768903961725255,0.5637591001778389,0.4324326529819268
21000,10501,55646,1000,1000,l1,0.046423882246017456,6.632144696141249,0.02547581023054713,0.32721917893345465,0.23094915207037855,0.5581683310038331,0.4390710816490022
