train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,l1,0.04897908493876457,26.129275052644758,0.11073432001443204,0.4209440195334548,0.10728721389944954,0.5282312334329043,0.47616554935093597
375,189,50000,6646,250,l1,0.06592492759227753,10.679997750090555,0.04929120334747929,0.3566732360500023,0.19873458559039728,0.5554078216403995,0.45176785954909926
563,283,50000,6646,250,l1,0.06725361198186874,8.825929953626064,0.04201050287133331,0.35246170082505024,0.20553756218499056,0.5579992630100408,0.44516158528389377
845,424,50000,6646,250,l1,0.06961946934461594,9.398556253882017,0.03904647577502748,0.3263872755844193,0.23789690311569667,0.5642841787001159,0.43989638145198323
1268,635,50000,6646,250,l1,0.07775115966796875,8.143135879227891,0.03047553656224457,0.28970870247405717,0.29447298264240107,0.5841816851164582,0.4249994902469543
1902,952,50000,6646,250,l1,0.08100047707557678,7.343889218607268,0.02597459128479901,0.2814103453712608,0.30513422004051083,0.5865445654117716,0.4218255630686572
2853,1428,50000,6646,250,l1,0.08286640048027039,7.080766466587245,0.02563012325996875,0.27103907388143944,0.315611147142101,0.5866502210235404,0.4154125011270175
4280,2141,50000,6646,250,l1,0.08356061577796936,7.04276069599297,0.02460266188585481,0.26926302008709324,0.31870160102373457,0.5879646211108277,0.4155572625963254
6420,3211,50000,6646,250,l1,0.08439530432224274,6.837103626408413,0.02332845631556402,0.266606287292722,0.32567865539724467,0.5922849426899667,0.4121367210047129
9630,4816,50000,6646,250,l1,0.08527559041976929,6.481703002852077,0.02166216373184229,0.26018662954595445,0.3330212414859795,0.593207871031934,0.4107955422206464
14445,7224,50000,6646,250,l1,0.08395830541849136,6.411590781911769,0.019980613129453782,0.2573928583869156,0.32968505192030023,0.5870779103072159,0.40952769785039334
21668,10835,50000,6646,250,l1,0.08628793060779572,6.431376141157539,0.019769632032399165,0.250409401155663,0.3414861826305125,0.5918955837861755,0.40972417147840773
