train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
2500,1251,54146,2500,2500,mse,0.01923934929072857,7.025113475834019,0.024348477529751035,0.284723178688944,0.30862887217421575,0.5933520508631598,0.4198193329596118
5000,2501,54146,2500,2500,mse,0.020373761653900146,6.960673629560372,0.0232932460551746,0.27847068716882784,0.31319387552144823,0.5916645626902761,0.41774033638541075
7500,3751,54146,2500,2500,mse,0.020367925986647606,6.787064212569752,0.022464274654175623,0.2689994819150083,0.3265238152357816,0.5955232971507899,0.4092703167058278
10000,5001,54146,2500,2500,mse,0.019761940464377403,6.489996760467396,0.020957638275891814,0.27041008860622895,0.32012953598766264,0.5905396245938915,0.41110698013415103
12500,6251,54146,2500,2500,mse,0.017906200140714645,6.1742688607779534,0.018487692574376182,0.25564632843979257,0.3343098747908807,0.5899562032306733,0.4124464823347345
15000,7501,54146,2500,2500,mse,0.017900360748171806,6.12523620427449,0.018292427751311322,0.24895542861689546,0.34142131930227365,0.5903767479191692,0.4114053799656709
17500,8751,54146,2500,2500,mse,0.017802607268095016,6.133358093853745,0.01823347503750277,0.25000260204924973,0.3410249677350052,0.591027569784255,0.41100152360443465
20000,10001,54146,2500,2500,mse,0.017941519618034363,6.0864800548553655,0.01815755400001676,0.2507593895197596,0.34050556003237725,0.5912649495521369,0.4113748273481957
22500,11251,54146,2500,2500,mse,0.018159376457333565,6.088025617549001,0.01818277447168161,0.25210064128720205,0.33912057659337536,0.5912212178805774,0.41312935628236375
25000,12501,54146,2500,2500,mse,0.018407490104436874,6.069792035129001,0.018026657949811353,0.24848099555493827,0.34047329733156223,0.5889542928865006,0.412612594296904
27500,13751,54146,2500,2500,mse,0.018578024581074715,6.1030855616649795,0.018056969405079004,0.24873478761156265,0.34149779065254404,0.5902325782641066,0.41094537373059437
30000,15001,54146,2500,2500,mse,0.018604546785354614,6.089672731515341,0.01800275873947387,0.247204473361498,0.34121745223388,0.588421925595378,0.41113629846577876
32500,16251,54146,2500,2500,mse,0.01914254203438759,6.071273052894937,0.017966495368727072,0.247031075382978,0.33976580282850494,0.5867968782114829,0.41155387559360707
35000,17501,54146,2500,2500,mse,0.019125692546367645,6.025633214534334,0.01786239713067105,0.24690913664012779,0.33957041284622375,0.5864795494863516,0.4107262172645944
37500,18751,54146,2500,2500,mse,0.018996527418494225,6.0477847108621,0.017906445197991595,0.24692426025663572,0.34031336620880964,0.5872376264654454,0.41028467481981734
40000,20001,54146,2500,2500,mse,0.01912246271967888,6.05963634695338,0.01788071613382711,0.24730607668153662,0.33966854833822363,0.5869746250197603,0.41084368063894433
42500,21251,54146,2500,2500,mse,0.019019870087504387,6.077045075733145,0.017884474699486026,0.24809097162471963,0.3401623064547466,0.5882532780794663,0.4114606674833642
45000,22501,54146,2500,2500,mse,0.01890404149889946,6.075465647082768,0.017914569493123363,0.24797719091911194,0.34073193440593297,0.5887091253250449,0.41158330391593473
47500,23751,54146,2500,2500,mse,0.019106395542621613,6.06617822278429,0.017909118677312628,0.2489285881242296,0.34013888664790926,0.5890674747721388,0.411793358771177
50000,25001,54146,2500,2500,mse,0.019069243222475052,6.07605139147527,0.017899730490658697,0.2482509544464905,0.34016067012445167,0.5884116245709422,0.4118098051842313
