train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
2500,1251,54146,2500,2500,mse,0.0004238349210936576,11.441759461079464,0.04895465895351906,0.38332229600733037,0.1486569107897615,0.5319792067970919,0.4627923252017443
5000,2501,54146,2500,2500,mse,0.0008037514053285122,6.758744514593987,0.028047339371164232,0.34800415214725794,0.19963390360926755,0.5476380557565255,0.4532671700365914
7500,3751,54146,2500,2500,mse,0.001158042810857296,6.54095441111783,0.026255407855049227,0.3349457770638491,0.21829196720832678,0.553237744272176,0.444865281193772
10000,5001,54146,2500,2500,mse,0.0015773525228723884,5.91669544295851,0.02210754834854655,0.32369659268608747,0.22977338910114087,0.5534699817872283,0.4415655568014545
12500,6251,54146,2500,2500,mse,0.0018055100226774812,5.375004890683263,0.0207898277330484,0.32589989424829263,0.2234478347867726,0.5493477290350652,0.43631368104298035
15000,7501,54146,2500,2500,mse,0.0020291439723223448,5.2295725984983905,0.019138575356314403,0.3188795197744811,0.23280998758281768,0.5516895073572987,0.43534052784224997
17500,8751,54146,2500,2500,mse,0.0022485051304101944,4.576276077831628,0.01666248969313274,0.31059825905020866,0.2410200119955768,0.5516182710457855,0.4342903574763799
20000,10001,54146,2500,2500,mse,0.002420377917587757,4.30612515077982,0.01611857026157227,0.2945869396427579,0.26150466366606273,0.5560916033088206,0.42126534964266793
22500,11251,54146,2500,2500,mse,0.002425398910418153,3.903168842694953,0.013251657908112148,0.29306838234288,0.2645409442562446,0.5576093265991245,0.4231640677409391
25000,12501,54146,2500,2500,mse,0.002585651818662882,3.7794893939735585,0.012522822934218308,0.29422879714900374,0.2661635692206616,0.5603923663696653,0.4190488766599709
27500,13751,54146,2500,2500,mse,0.00261510512791574,3.9009089296179824,0.012184505679215212,0.2903312969936234,0.2667496838976379,0.5570809808912613,0.41814631366086813
30000,15001,54146,2500,2500,mse,0.0026304624043405056,3.7450540571494146,0.01236150821694725,0.2849046623991758,0.27107362503312976,0.5559782874323055,0.41656012249169044
32500,16251,54146,2500,2500,mse,0.002641309518367052,3.384894726338848,0.010678088931741565,0.26864643383547016,0.29600828013218505,0.5646547139676552,0.40584408859615206
35000,17501,54146,2500,2500,mse,0.0025694547221064568,3.238643030110331,0.010150069743797988,0.274186147966723,0.2903853176160309,0.564571465582754,0.40730577160335835
37500,18751,54146,2500,2500,mse,0.002611354226246476,3.1061778427294278,0.009794214291188232,0.26808667000667635,0.29375730197994554,0.561843971986622,0.4019583381819954
40000,20001,54146,2500,2500,mse,0.0025343699380755424,3.07543694763892,0.009127678056481169,0.27392561179144836,0.291138761055129,0.5650643728465773,0.4019110479823244
42500,21251,54146,2500,2500,mse,0.0025022670160979033,2.970510238918888,0.008382718616154364,0.25790090336018084,0.3101353339530702,0.5680362373132509,0.39946114222606544
45000,22501,54146,2500,2500,mse,0.002443040022626519,2.7861007534135256,0.0073752477898599966,0.2569199571152304,0.3096870936623294,0.5666070507775598,0.39485264768168754
47500,23751,54146,2500,2500,mse,0.0024126244243234396,2.6518420893998695,0.006730936955026923,0.2537182898747155,0.30939162818428884,0.5631099180590043,0.3906175648443262
50000,25001,54146,2500,2500,mse,0.0023105391301214695,2.562560783091157,0.006516809737955587,0.24927973777767093,0.3147949993705929,0.5640747371482638,0.38911059919345187
