train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,mse,1.0561947192400112e-06,16.751814212667004,0.08333125725825538,0.4167393981153308,0.1107875863974715,0.5275269845128023,0.4759230174466207
375,189,50000,6646,250,mse,4.467531653062906e-06,18.307247464674724,0.08634695392798622,0.41471251915227875,0.11372902470752855,0.5284415438598072,0.47701930516212465
563,283,50000,6646,250,mse,6.686759297735989e-05,23.844983672977197,0.10815714311908016,0.42395680856701295,0.10008874817023015,0.5240455567372431,0.47790166221440317
845,424,50000,6646,250,mse,0.00045875817886553705,18.75513836421957,0.08558820442260444,0.41767441170275244,0.11280037903685171,0.5304747907396042,0.4749430903491554
1268,635,50000,6646,250,mse,0.0011691204272210598,16.881392007528696,0.07062633508313444,0.3988951798002703,0.13332646490957353,0.5322216447098438,0.46856357081825
1902,952,50000,6646,250,mse,0.0024712535087019205,16.07605653398379,0.06436983527899343,0.3773919951531008,0.16239446362736726,0.539786458780468,0.45953342178362294
2853,1428,50000,6646,250,mse,0.0038280088920146227,11.252173923968005,0.0422208849552892,0.34591968874948426,0.20517065955960118,0.5510903483090853,0.44594773057993403
4280,2141,50000,6646,250,mse,0.005068833939731121,7.033101880683623,0.0240178132359206,0.30794034839620854,0.25065343041539756,0.5585937788116061,0.4295608863621482
6420,3211,50000,6646,250,mse,0.00669842166826129,5.632456416958117,0.018268160582320985,0.28306791951984445,0.2821624108977679,0.5652303304176125,0.4179529668648757
9630,4816,50000,6646,250,mse,0.008479958400130272,5.076898202484239,0.0145450638556367,0.2762521827700166,0.2919478902713194,0.568200073041336,0.41329109986877355
14445,7224,50000,6646,250,mse,0.008291288278996944,4.585280826403236,0.012755047291430094,0.2624981386709895,0.30887101711784476,0.5713691557888343,0.41073493499263675
