train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,mse,0.005022344179451466,42.05151365517355,0.1738413712430066,0.44450695629982456,0.07351025510147446,0.518017211401299,0.48632320856295264
375,189,50000,6646,250,mse,0.005449483171105385,33.38654157021898,0.14426395900872407,0.4099631856448047,0.12081481724940306,0.5307780028942077,0.474434682349096
563,283,50000,6646,250,mse,0.008604255504906178,13.771344694401458,0.06502583487014069,0.38149422278079254,0.16242825592502055,0.543922478705813,0.46136553566025695
845,424,50000,6646,250,mse,0.008515088818967342,19.739100645177146,0.0820020789641743,0.3605486745876694,0.1950383079454406,0.55558698253311,0.450249455212298
1268,635,50000,6646,250,mse,0.010836015455424786,10.57245745255686,0.04557501703112459,0.3193932923129332,0.2493950986370413,0.5687883909499744,0.43806286091446855
1902,952,50000,6646,250,mse,0.013574017211794853,8.518479297295771,0.031658648873455694,0.3031116074380078,0.27524389096334523,0.578355498401353,0.4286510093250641
2853,1428,50000,6646,250,mse,0.01380124781280756,8.275139663352833,0.030477009645825504,0.2934003502500518,0.28744434625071386,0.5808446965007655,0.42174822638880205
4280,2141,50000,6646,250,mse,0.01654805988073349,6.8699781304908285,0.023225345380957645,0.2693436088238412,0.3161935927898606,0.5855372016137017,0.4166325499208815
6420,3211,50000,6646,250,mse,0.01569300889968872,6.274850501086347,0.02070770438195334,0.2559149959933718,0.333685460838055,0.5896004568314268,0.4146424615911401
9630,4816,50000,6646,250,mse,0.017637604847550392,7.249682143532993,0.02263437136404272,0.2558441024493072,0.33954417384528546,0.5953882762945926,0.4128569428093993
14445,7224,50000,6646,250,mse,0.017020108178257942,5.994443632961072,0.019017132023791423,0.25153286506691813,0.3410328941874752,0.5925657592543933,0.4100565417925907
