train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
200,101,5000,6646,200,l1,0.009009292349219322,15.860011833059469,0.08620647459860137,0.41581212835988723,0.11115329293338147,0.5269654212932687,0.4735093302686448
240,121,5000,6646,200,l1,0.002379580168053508,9.646360569818961,0.05902234898690403,0.3759100716107025,0.17188642428011539,0.5477964958908179,0.45930057342008995
288,145,5000,6646,200,l1,0.0296464916318655,13.75423488349743,0.07194690878760208,0.40650182512246985,0.125781421781113,0.5322832469035829,0.4691119447300366
346,174,5000,6646,200,l1,0.01891729049384594,9.661387756351429,0.057685104477147156,0.38076216601577706,0.1599374634365725,0.5406996294523495,0.46094489238860253
416,209,5000,6646,200,l1,0.005044275429099798,10.015988629977741,0.05765239092730374,0.386727162189436,0.15635048471540403,0.54307764690484,0.46584934497385344
500,251,5000,6646,200,l1,0.018978243693709373,9.541414044863128,0.05567665380529955,0.3786371798662223,0.16650547585761682,0.5451426557238391,0.4610092497226829
600,301,5000,6646,200,l1,0.028295423835515976,8.579810488990022,0.05114984300833087,0.36196995630280576,0.18720493618366194,0.5491748924864677,0.4537470169297901
720,361,5000,6646,200,l1,0.05407783389091492,8.102386310503887,0.04286170643125141,0.34459406405917714,0.21873177475358194,0.5633258388127591,0.446497485914153
864,433,5000,6646,200,l1,0.03962989151477814,8.970799355627562,0.05215819380387917,0.3653402118698123,0.1825923507890957,0.547932562658908,0.4562000430762889
1037,520,5000,6646,200,l1,0.05352085828781128,7.889698386726688,0.04449871223485989,0.35154442002861985,0.20430519682845488,0.5558496168570747,0.44855499979744823
1245,624,5000,6646,200,l1,0.049073394387960434,7.925377508876621,0.04499657645530617,0.3601791806672381,0.19454602151804856,0.5547252021852868,0.4498685460581627
1494,748,5000,6646,200,l1,0.05571766942739487,8.62252245439091,0.050899879963206274,0.36744854148798983,0.1821119605341751,0.549560502022165,0.4567503911161167
1793,898,5000,6646,200,l1,0.08701599389314651,7.135995005062054,0.03397438074666927,0.2934641208644639,0.2921306834858607,0.5855948043503246,0.42493686904278116
2152,1077,5000,6646,200,l1,0.07150255888700485,7.483324444860256,0.03948918417507566,0.3356227006562535,0.2302955366689101,0.5659182373251636,0.4438219214631793
2583,1293,5000,6646,200,l1,0.09085386246442795,7.3286792606666165,0.03090604564983757,0.2736594484049076,0.3215292791756307,0.5951887275805383,0.4136116230982358
3100,1551,5000,6646,200,l1,0.07420598715543747,7.113910585246913,0.03706534939178982,0.3107418598923043,0.2643738999576441,0.5751157598499483,0.4313867129923588
3720,1861,5000,6646,200,l1,0.08220817148685455,6.587824553389193,0.031227841640280134,0.2983831578018715,0.28485485500640584,0.5832380128082775,0.42600917657338067
4464,2233,5000,6646,200,l1,0.08591420203447342,6.887717471581672,0.031584674344609306,0.2854012489153509,0.29815416647856374,0.5835554153939146,0.42017461569608094
