train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
200,101,5000,6646,200,l1,0.03501705452799797,9.707477078830289,0.05497862868255545,0.3679364685642779,0.18661047102654754,0.5545469395908255,0.45480276130691993
240,121,5000,6646,200,l1,0.03630964085459709,8.588238250854301,0.05185432377952399,0.3629784476241735,0.19134384812584976,0.5543222957500232,0.45445131620176427
288,145,5000,6646,200,l1,0.03392171114683151,11.682921369640646,0.06334375823822593,0.37551833038012455,0.16770062621971935,0.543218956599844,0.46100545858595565
346,174,5000,6646,200,l1,0.047099560499191284,11.100980747858733,0.05490765633134646,0.3772544209431951,0.1695167296630458,0.5467711506062409,0.45930501269496815
416,209,5000,6646,200,l1,0.04353509470820427,14.592124586934005,0.07040208521539247,0.3821214057157436,0.16174004101576062,0.5438614467315043,0.46057083708066476
500,251,5000,6646,200,l1,0.05030212551355362,10.576564833720441,0.054476721077349174,0.37842377045666986,0.16722624012334064,0.5456500105800105,0.4586100917910065
600,301,5000,6646,200,l1,0.049460653215646744,8.65498707415515,0.04768022192733954,0.35462440583866295,0.20069545256286045,0.5553198584015233,0.4488830057078972
720,361,5000,6646,200,l1,0.06461313366889954,7.60045112252176,0.039992746397284715,0.31517461592217505,0.25432895525327737,0.5695035711754525,0.433471238270713
864,433,5000,6646,200,l1,0.07563108205795288,7.851381675743635,0.03969639317747734,0.3277747065910943,0.23524536942869942,0.5630200760197938,0.43980526192089714
1037,520,5000,6646,200,l1,0.08283089846372604,8.545474511937448,0.037605770977242485,0.29129624924916014,0.2888995898982425,0.5801958391474026,0.42188913832380087
1245,624,5000,6646,200,l1,0.07995735108852386,7.308895502433726,0.035184666053856416,0.31451855665350464,0.2651333196740864,0.579651876327591,0.432734203790777
1494,748,5000,6646,200,l1,0.0903463065624237,7.835635897666968,0.03274184743772359,0.2735645303588618,0.31932000106182945,0.5928845314206912,0.41777320493174247
1793,898,5000,6646,200,l1,0.09480904042720795,8.246970657947513,0.03277055975823787,0.27062618830541246,0.32165215789926327,0.5922783462046758,0.41330878635743906
2152,1077,5000,6646,200,l1,0.08457880467176437,7.686289610318389,0.03329108760666963,0.2828129933628116,0.3030980858389986,0.5859110792018102,0.41882505774286305
2583,1293,5000,6646,200,l1,0.08720685541629791,7.734263326607887,0.033801938560558596,0.2999853373573342,0.2866596797047122,0.5866450170620464,0.4234265403571137
3100,1551,5000,6646,200,l1,0.09751494228839874,7.85392334336349,0.02936741420773216,0.2671736849444799,0.3309654389369579,0.5981391238814378,0.4104823868481135
3720,1861,5000,6646,200,l1,0.09344054013490677,7.247089170985381,0.028683548659608215,0.2633839074173219,0.33469869325592044,0.5980826006732424,0.4114690166047497
4464,2233,5000,6646,200,l1,0.10053170472383499,7.630452764940209,0.02761855527688091,0.2651865696635588,0.33381454907793034,0.5990011187414891,0.40814351524471093
