train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,mse,0.0005348805570974946,42.79232621680068,0.16802979558223563,0.4579543292637728,0.05371036718529654,0.5116646964490692,0.4899618551168937
375,189,50000,6646,250,mse,0.001655890722759068,28.687129515916922,0.11721181230810214,0.4374460538955686,0.08123149098718095,0.5186775448827495,0.48280295342643975
563,283,50000,6646,250,mse,0.003658380126580596,15.513459714927782,0.07153696172729902,0.4052599624290859,0.12243194310985815,0.5276919055389441,0.4740290881076121
845,424,50000,6646,250,mse,0.005333065986633301,11.59379116459819,0.05011811846416399,0.3831221562276207,0.15899403206847634,0.542116188296097,0.4626548060410864
1268,635,50000,6646,250,mse,0.007085376884788275,9.394010851101676,0.04143392382779705,0.3457190641121877,0.2049559601845138,0.5506750242967015,0.44803588784499704
1902,952,50000,6646,250,mse,0.009076827205717564,8.113744696311302,0.03108211898215754,0.3182752465350665,0.24722842832382594,0.5655036748588924,0.43696467804276173
2853,1428,50000,6646,250,mse,0.010211684741079807,6.553578471896281,0.022047187168015122,0.2865221599736876,0.2817006612661888,0.5682228212398763,0.4217603198225663
4280,2141,50000,6646,250,mse,0.011251868680119514,5.986793494467497,0.020310924014379436,0.2824258087130364,0.2863753238050048,0.5688011325180412,0.42518866231620256
6420,3211,50000,6646,250,mse,0.012252191081643105,5.966164588160224,0.01849392979595441,0.26551271862340375,0.3096993064248872,0.5752120250482909,0.41383620488638406
9630,4816,50000,6646,250,mse,0.011397971771657467,5.34261410207562,0.015385746355066322,0.2476948647466429,0.32754760352619117,0.5752424682728341,0.40934688969389177
14445,7224,50000,6646,250,mse,0.013130133971571922,5.102282451255076,0.014678407464409838,0.254423764231825,0.3232131341009035,0.5776368983327285,0.4092211080950472
21668,10835,50000,6646,250,mse,0.0131929200142622,4.981905907850054,0.014226913436156403,0.24983454612259898,0.3266082583460223,0.5764428044686213,0.40827315180744966
32502,16252,50000,6646,250,mse,0.01300844270735979,5.26411902597916,0.014928062132386666,0.24794748126882155,0.33160571772426356,0.5795531989930851,0.4086607665263313
48753,24378,50000,6646,250,mse,0.012950418516993523,5.084599252201837,0.014116688204061943,0.24450594933781236,0.3342717581931378,0.5787777075309501,0.40814139527324006
