train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,mse,1.9944577616115566e-06,10.245373641528477,0.057592998298166526,0.37618479031799973,0.16748046922949017,0.5436652595474899,0.46173643324331753
375,189,50000,6646,250,mse,7.815218850737438e-06,9.99017467965738,0.05537862778909526,0.3753516203502372,0.16562899587355592,0.5409806162237931,0.46068486814758924
563,283,50000,6646,250,mse,4.605595313478261e-05,12.831044333803643,0.0646348617714467,0.39712062482151006,0.13820228605889423,0.5353229108804043,0.46994274887860943
845,424,50000,6646,250,mse,0.00025113634183071554,9.278137467215187,0.05014654364384236,0.36744529110647517,0.178350403935539,0.5457956950420141,0.46171355490197996
1268,635,50000,6646,250,mse,0.0007522943778894842,11.98471887226418,0.0574770381043974,0.38509790329654,0.15001161044605066,0.5351095137425905,0.4661841560439418
1902,952,50000,6646,250,mse,0.0018318657530471683,8.77192024181975,0.04219544241766802,0.3591317090205602,0.1860468746861153,0.5451785837066755,0.45606906180918455
2853,1428,50000,6646,250,mse,0.0030826465226709843,7.5427691060314945,0.03455686046601677,0.34480269214203635,0.20429500102027026,0.5490976931623065,0.4484057387845836
4280,2141,50000,6646,250,mse,0.004190679173916578,6.411428315810756,0.026322514939438546,0.3206838211811078,0.2351079087957566,0.5557917299768644,0.4397944716580179
6420,3211,50000,6646,250,mse,0.005403744988143444,5.614482375051454,0.02055980728725799,0.2923482458771671,0.2700843943573223,0.5624326402344895,0.428084777192567
9630,4816,50000,6646,250,mse,0.005824034567922354,4.741673908545786,0.014751831021563456,0.2720277225558628,0.2977066834162442,0.569734405972107,0.417219884323217
14445,7224,50000,6646,250,mse,0.006417180877178907,4.627205862847703,0.012661381742252332,0.26655838818873134,0.308365195374765,0.5749235835634964,0.4096180818724376
21668,10835,50000,6646,250,mse,0.006902407854795456,4.168680694235,0.011276410310665468,0.25624158145740744,0.3155378958690369,0.5717794773264443,0.39998612247263576
32502,16252,50000,6646,250,mse,0.005916427355259657,3.1275070072150517,0.007321896375695002,0.23858063642394925,0.3336428753072777,0.5722235117312269,0.3939771309347874
48753,24378,50000,6646,250,mse,0.0059472909197211266,3.729372976029747,0.009372173602285322,0.2339672908554996,0.33892232275863027,0.5728896136141298,0.3885078854200431
