train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
250,126,50000,6646,250,mse,4.231784487274126e-07,7.934115680295063,0.04415598852285835,0.3233675248422411,0.24455852978832673,0.5679260546305679,0.4404263442167028
375,189,50000,6646,250,mse,5.800027338409564e-07,6.846146299321083,0.04059643348117049,0.317067931616235,0.2469295691142196,0.5639975007304545,0.4388130298529156
563,283,50000,6646,250,mse,1.2820282790926285e-06,7.515095128991155,0.04086370852707002,0.3122727331617448,0.25436610450141506,0.5666388376631598,0.4373960939578221
845,424,50000,6646,250,mse,9.771744771569502e-06,6.583709628713005,0.03902223579061786,0.3198778527629912,0.2454157940508626,0.5652936468138539,0.4391326313512227
1268,635,50000,6646,250,mse,5.016246359446086e-05,6.955350437579305,0.03929936201427225,0.32756226162883506,0.23641078517096326,0.5639730467997983,0.44320118487713234
1902,952,50000,6646,250,mse,5.481796324602328e-05,6.984439796007423,0.03631368749350759,0.3281147225429836,0.23076361323699526,0.5588783357799788,0.4451853244776829
2853,1428,50000,6646,250,mse,0.0003295494825579226,6.299431388584636,0.029782474127372862,0.31161862774563803,0.25229802006444507,0.563916647810083,0.437064105615526
4280,2141,50000,6646,250,mse,0.0012035968247801065,6.141169747001243,0.02862352940691136,0.31823027997586795,0.2436974937693496,0.5619277737452175,0.4418971784643646
6420,3211,50000,6646,250,mse,0.0020635356195271015,5.655298298840706,0.02439942755358257,0.3065035199718919,0.2570046254853585,0.5635081454572504,0.4377311175514501
9630,4816,50000,6646,250,mse,0.0034504556097090244,5.8186171248643355,0.023124159088606742,0.3111981948840671,0.2511929979992924,0.5623911928833595,0.43672889984106605
14445,7224,50000,6646,250,mse,0.003987976815551519,5.548008357467302,0.018960270826580708,0.29158984662632637,0.2742868920032945,0.5658767386296208,0.4251481600158361
21668,10835,50000,6646,250,mse,0.004933957010507584,4.910237749845611,0.01592970435799951,0.2811487591152647,0.28882762759827907,0.5699763867135439,0.4211626116707128
32502,16252,50000,6646,250,mse,0.005690236575901508,4.43656287114115,0.013789380892830667,0.2746469427107047,0.2938386765377375,0.5684856192484422,0.41774743564907946
48753,24378,50000,6646,250,mse,0.007504155393689871,4.272975873694717,0.012452562459079301,0.2604119070348172,0.3200963647986182,0.5805082718334353,0.4120681359154696
