train_steps,unique_train_samples,val_window_start,val_window_length,base_train_loss,final_train_loss,base_val_logpi_l1,final_val_logpi_l1,master_logpi_l1,base_ranks,final_ranks,num_growth_trials,growth_trials
1000,501,1000,1000,0.007026576437056065,0.00046549973194487393,5.663139140561916,5.221534280093334,5.618701297546512,"(10, 10)","(14, 125)",9,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.10656979979380783, 0.38255496955058865], 'ranks_before': (10, 10), 'ranks_target': (20, 20), 'ranks_after_expand': (20, 20), 'ranks_after_compress': (13, 20), 'expand_loss': 0.004260699264705181, 'compress_loss': 0.00351050216704607, 'prev_best_val': 5.663139140561916, 'candidate_val': 5.6074659383395815, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.045721662063287656, 0.044537447396553964], 'ranks_before': (13, 20), 'ranks_target': (26, 40), 'ranks_after_expand': (26, 40), 'ranks_after_compress': (13, 30), 'expand_loss': 0.0026824406813830137, 'compress_loss': 0.0024462249130010605, 'prev_best_val': 5.6074659383395815, 'candidate_val': 5.570826157159434, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.062220069529213884, 0.03592403796416742], 'ranks_before': (13, 30), 'ranks_target': (26, 60), 'ranks_after_expand': (26, 60), 'ranks_after_compress': (14, 36), 'expand_loss': 0.0015018098056316376, 'compress_loss': 0.001538016484118998, 'prev_best_val': 5.570826157159434, 'candidate_val': 5.511631259518882, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.06116329522128276, 0.033773460550878105], 'ranks_before': (14, 36), 'ranks_target': (28, 72), 'ranks_after_expand': (28, 72), 'ranks_after_compress': (14, 49), 'expand_loss': 0.0011711101979017258, 'compress_loss': 0.0011696552392095327, 'prev_best_val': 5.511631259518882, 'candidate_val': 5.430057972942045, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.05171055068865117, 0.028483685870851705], 'ranks_before': (14, 49), 'ranks_target': (28, 98), 'ranks_after_expand': (28, 98), 'ranks_after_compress': (14, 65), 'expand_loss': 0.0008173785754479468, 'compress_loss': 0.0008779320633038878, 'prev_best_val': 5.430057972942045, 'candidate_val': 5.352284421664316, 'improved': True}, {'trial': 6, 'strategy': 'double_all', 'sv_ratios': [0.053381987643923545, 0.0295461396472669], 'ranks_before': (14, 65), 'ranks_target': (28, 130), 'ranks_after_expand': (28, 130), 'ranks_after_compress': (14, 77), 'expand_loss': 0.0006045149639248848, 'compress_loss': 0.0007152367033995688, 'prev_best_val': 5.352284421664316, 'candidate_val': 5.275004005860585, 'improved': True}, {'trial': 7, 'strategy': 'double_all', 'sv_ratios': [0.06275313667345604, 0.02385808234481102], 'ranks_before': (14, 77), 'ranks_target': (28, 154), 'ranks_after_expand': (28, 154), 'ranks_after_compress': (14, 87), 'expand_loss': 0.00045452150516211987, 'compress_loss': 0.0005777176120318472, 'prev_best_val': 5.275004005860585, 'candidate_val': 5.2226701104711495, 'improved': True}, {'trial': 8, 'strategy': 'double_all', 'sv_ratios': [0.08620508160086793, 0.023178124354695347], 'ranks_before': (14, 87), 'ranks_target': (28, 174), 'ranks_after_expand': (28, 174), 'ranks_after_compress': (14, 125), 'expand_loss': 0.00034030660754069686, 'compress_loss': 0.00046549973194487393, 'prev_best_val': 5.2226701104711495, 'candidate_val': 5.221534280093334, 'improved': True}, {'trial': 9, 'strategy': 'double_all', 'sv_ratios': [0.09055340499760663, 0.01918084185050173], 'ranks_before': (14, 125), 'ranks_target': (28, 250), 'ranks_after_expand': (28, 250), 'ranks_after_compress': (14, 169), 'expand_loss': 0.0002678163000382483, 'compress_loss': 0.00041335573769174516, 'prev_best_val': 5.221534280093334, 'candidate_val': 5.225218397151242, 'improved': False}]"
2000,1001,2000,1000,0.002812311053276062,0.0007454606238752604,4.190235296063915,4.078808239666995,5.3339970884556545,"(14, 86)","(19, 35)",3,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.37465124973163494, 0.009266684580457827], 'ranks_before': (14, 86), 'ranks_target': (28, 172), 'ranks_after_expand': (28, 172), 'ranks_after_compress': (18, 34), 'expand_loss': 0.001169554772786796, 'compress_loss': 0.0010431526461616158, 'prev_best_val': 4.190235296063915, 'candidate_val': 4.082570082030102, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.06408229886187748, 0.028156452963387556], 'ranks_before': (18, 34), 'ranks_target': (36, 68), 'ranks_after_expand': (36, 68), 'ranks_after_compress': (19, 35), 'expand_loss': 0.0006645871908403933, 'compress_loss': 0.0007454606238752604, 'prev_best_val': 4.082570082030102, 'candidate_val': 4.078808239666995, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.05124831614047738, 0.024772269257723283], 'ranks_before': (19, 35), 'ranks_target': (38, 70), 'ranks_after_expand': (38, 70), 'ranks_after_compress': (19, 33), 'expand_loss': 0.0005667938967235386, 'compress_loss': 0.0006441555451601744, 'prev_best_val': 4.078808239666995, 'candidate_val': 4.101057374127285, 'improved': False}]"
3000,1501,3000,1000,0.0022270148620009422,0.0022270148620009422,3.8364967354179105,3.8364967354179105,5.155817765550426,"(19, 28)","(19, 28)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.17999092319922072, 0.02932058144648653], 'ranks_before': (19, 28), 'ranks_target': (38, 56), 'ranks_after_expand': (38, 56), 'ranks_after_compress': (23, 30), 'expand_loss': 0.001154708443209529, 'compress_loss': 0.001257717958651483, 'prev_best_val': 3.8364967354179105, 'candidate_val': 3.8888774574931486, 'improved': False}]"
4000,2001,4000,1000,0.00259028491564095,0.0008929320611059666,4.877284808265449,4.651045300430961,4.598598066768467,"(19, 22)","(24, 21)",7,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.2855542356988424, 0.019651109336381638], 'ranks_before': (19, 22), 'ranks_target': (38, 44), 'ranks_after_expand': (38, 44), 'ranks_after_compress': (27, 23), 'expand_loss': 0.0011506944429129362, 'compress_loss': 0.001210095826536417, 'prev_best_val': 4.877284808265449, 'candidate_val': 4.772025654955829, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.04947137116463588, 0.021421774234519676], 'ranks_before': (27, 23), 'ranks_target': (54, 46), 'ranks_after_expand': (54, 46), 'ranks_after_compress': (27, 24), 'expand_loss': 0.0008799807983450592, 'compress_loss': 0.0009129370446316898, 'prev_best_val': 4.772025654955829, 'candidate_val': 4.7302536900376095, 'improved': True}, {'trial': 3, 'strategy': 'double_all', 'sv_ratios': [0.05465526154277489, 0.012651629546022987], 'ranks_before': (27, 24), 'ranks_target': (54, 48), 'ranks_after_expand': (54, 48), 'ranks_after_compress': (27, 23), 'expand_loss': 0.0007071888539940119, 'compress_loss': 0.0008467231527902186, 'prev_best_val': 4.7302536900376095, 'candidate_val': 4.715574233576141, 'improved': True}, {'trial': 4, 'strategy': 'double_all', 'sv_ratios': [0.047663765860664745, 0.013604736544507065], 'ranks_before': (27, 23), 'ranks_target': (54, 46), 'ranks_after_expand': (54, 46), 'ranks_after_compress': (26, 22), 'expand_loss': 0.0006628951523452997, 'compress_loss': 0.0008693862473592162, 'prev_best_val': 4.715574233576141, 'candidate_val': 4.6922139348174, 'improved': True}, {'trial': 5, 'strategy': 'double_all', 'sv_ratios': [0.047206727507783985, 0.011128382686398692], 'ranks_before': (26, 22), 'ranks_target': (52, 44), 'ranks_after_expand': (52, 44), 'ranks_after_compress': (24, 22), 'expand_loss': 0.0005759350024163723, 'compress_loss': 0.0009345817961730063, 'prev_best_val': 4.6922139348174, 'candidate_val': 4.651725949402993, 'improved': True}, {'trial': 6, 'strategy': 'double_all', 'sv_ratios': [0.05862908423272053, 0.007895978090178146], 'ranks_before': (24, 22), 'ranks_target': (48, 44), 'ranks_after_expand': (48, 44), 'ranks_after_compress': (24, 21), 'expand_loss': 0.0005955809028819203, 'compress_loss': 0.0008929320611059666, 'prev_best_val': 4.651725949402993, 'candidate_val': 4.651045300430961, 'improved': True}, {'trial': 7, 'strategy': 'double_all', 'sv_ratios': [0.045596792844313346, 0.007582631230353766], 'ranks_before': (24, 21), 'ranks_target': (48, 42), 'ranks_after_expand': (48, 42), 'ranks_after_compress': (22, 21), 'expand_loss': 0.0005151068908162415, 'compress_loss': 0.0011221159948036075, 'prev_best_val': 4.651045300430961, 'candidate_val': 4.729432509595494, 'improved': False}]"
5000,2501,5000,1000,0.0017069672467187047,0.0017069672467187047,4.089731809080916,4.089731809080916,4.570427674924651,"(23, 16)","(23, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.07409862241630667, 0.07121183694359623], 'ranks_before': (23, 16), 'ranks_target': (46, 32), 'ranks_after_expand': (46, 32), 'ranks_after_compress': (23, 20), 'expand_loss': 0.0005941591807641089, 'compress_loss': 0.0013148258440196514, 'prev_best_val': 4.089731809080916, 'candidate_val': 4.124608885561459, 'improved': False}]"
6000,3001,6000,1000,0.0021145076025277376,0.0021145076025277376,3.820545166093438,3.820545166093438,4.524387671115824,"(23, 16)","(23, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.0826556640700338, 0.08552007657473926], 'ranks_before': (23, 16), 'ranks_target': (46, 32), 'ranks_after_expand': (46, 32), 'ranks_after_compress': (23, 23), 'expand_loss': 0.0007913894369266927, 'compress_loss': 0.0017508286982774734, 'prev_best_val': 3.820545166093438, 'candidate_val': 3.860682649842811, 'improved': False}]"
7000,3501,7000,1000,0.0030324836261570454,0.0030324836261570454,5.888260827522011,5.888260827522011,4.517228645122289,"(23, 16)","(23, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.0929499800514871, 0.09952487532693018], 'ranks_before': (23, 16), 'ranks_target': (46, 32), 'ranks_after_expand': (46, 32), 'ranks_after_compress': (23, 20), 'expand_loss': 0.001599600538611412, 'compress_loss': 0.0020502014085650444, 'prev_best_val': 5.888260827522011, 'candidate_val': 5.943879572020676, 'improved': False}]"
8000,4001,8000,1000,0.0030688303522765636,0.0030688303522765636,4.371198441795673,4.371198441795673,4.6224746440779105,"(23, 16)","(23, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.10863490499553102, 0.13657784637305181], 'ranks_before': (23, 16), 'ranks_target': (46, 32), 'ranks_after_expand': (46, 32), 'ranks_after_compress': (32, 24), 'expand_loss': 0.0010840905597433448, 'compress_loss': 0.0014730802504345775, 'prev_best_val': 4.371198441795673, 'candidate_val': 4.501040793515639, 'improved': False}]"
9000,4501,9000,1000,0.0034654883202165365,0.0034654883202165365,4.378610686203711,4.378610686203711,4.657178238362034,"(23, 16)","(23, 16)",1,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.13579828455313342, 0.14755086638607864], 'ranks_before': (23, 16), 'ranks_target': (46, 32), 'ranks_after_expand': (46, 32), 'ranks_after_compress': (28, 28), 'expand_loss': 0.001159248291514814, 'compress_loss': 0.001992490841075778, 'prev_best_val': 4.378610686203711, 'candidate_val': 4.378921366263977, 'improved': False}]"
10000,5001,10000,1000,0.0039025451987981796,0.0012938366271555424,4.3654137736311105,4.24452029433633,4.631888410068119,"(23, 16)","(38, 29)",2,"[{'trial': 1, 'strategy': 'double_all', 'sv_ratios': [0.16795854524315232, 0.1532956765506391], 'ranks_before': (23, 16), 'ranks_target': (46, 32), 'ranks_after_expand': (46, 32), 'ranks_after_compress': (38, 29), 'expand_loss': 0.0012156232260167599, 'compress_loss': 0.0012938366271555424, 'prev_best_val': 4.3654137736311105, 'candidate_val': 4.24452029433633, 'improved': True}, {'trial': 2, 'strategy': 'double_all', 'sv_ratios': [0.07819413310712907, 0.0447655238097017], 'ranks_before': (38, 29), 'ranks_target': (76, 58), 'ranks_after_expand': (76, 58), 'ranks_after_compress': (38, 30), 'expand_loss': 0.0004958658246323466, 'compress_loss': 0.0011643434409052134, 'prev_best_val': 4.24452029433633, 'candidate_val': 4.318148425033112, 'improved': False}]"
