train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
2000,1001,20000,6646,2000,l1,0.0787428617477417,8.328050846633198,0.02948148675094866,0.2880042193705365,0.28874855108000724,0.5767527704505437,0.4252461704198013
4000,2001,20000,6646,2000,l1,0.08136202394962311,6.7283356065193,0.023648772456960114,0.26498271759197867,0.32054181399194914,0.5855245315839277,0.41443326714694234
6000,3001,20000,6646,2000,l1,0.08110050112009048,6.50036598479973,0.02056871910299704,0.24585585404128335,0.34312927554277245,0.5889851295840558,0.4123119597154628
8000,4001,20000,6646,2000,l1,0.0815093070268631,6.2964620894704515,0.02061545027810323,0.24657215238084462,0.3423129127505352,0.58888506513138,0.414562671078755
10000,5001,20000,6646,2000,l1,0.08187979459762573,6.56784489946183,0.02219748979076428,0.2618916656436438,0.31993519806136395,0.5818268637050077,0.41381880322899645
12000,6001,20000,6646,2000,l1,0.0816875547170639,6.240857106374206,0.020095500263154605,0.24661960839732797,0.3433929578170411,0.590012566214369,0.4152994220732572
14000,7001,20000,6646,2000,l1,0.08199535310268402,6.286468151053317,0.020129161249491056,0.24821486400082565,0.34019717206334843,0.5884120360641741,0.413767800876471
16000,8001,20000,6646,2000,l1,0.08208165317773819,6.281604000747481,0.02020096116060416,0.24657641672506292,0.33971021787359046,0.5862866345986534,0.41169200883316875
18000,9001,20000,6646,2000,l1,0.08264846354722977,6.258285680214892,0.02000185083746682,0.24365839575132905,0.3427239734985022,0.5863823692498311,0.4127860989297334
20000,10001,20000,6646,2000,l1,0.08213358372449875,6.466469459306265,0.021305771541456884,0.2625985162828781,0.3203838089779559,0.582982325260834,0.41243232318501033
