train_size,unique_train_size,val_start,val_size,train_step,train_loss,final_train_loss,val_logpi_l1_error,val_mse_obs,mean_da_reject,mean_da_accept,mean_a1,mean_a2_reject
2000,1001,20000,6646,2000,l1,0.07412824779748917,7.6682109233849545,0.029365226606396413,0.3091938725238998,0.2640104928304807,0.5732043653543805,0.435218992305031
4000,2001,20000,6646,2000,l1,0.07417968660593033,6.382694385847692,0.02319973535150676,0.27182890593147946,0.31108428635585234,0.5829131922873317,0.4161345251210011
6000,3001,20000,6646,2000,l1,0.07777831703424454,6.240978593455491,0.021779628696936823,0.25656316374623395,0.3302228012409298,0.5867859649871638,0.41533721693523873
8000,4001,20000,6646,2000,l1,0.07863227277994156,6.348235458929765,0.021514214174680517,0.2610368379642933,0.3240207185402054,0.5850575565044988,0.41069686348893547
10000,5001,20000,6646,2000,l1,0.07620205730199814,5.9110875617078324,0.02013774608291105,0.2510965919888927,0.3308707780659902,0.5819673700548829,0.41047172580505037
12000,6001,20000,6646,2000,l1,0.07730729132890701,5.898652680944509,0.019244150596319124,0.253317355695809,0.32951891192118926,0.5828362676169984,0.4089070566133789
14000,7001,20000,6646,2000,l1,0.07852603495121002,5.816707083629955,0.01932929997616039,0.24594885560291707,0.3371950595971498,0.5831439152000668,0.41182806027566377
16000,8001,20000,6646,2000,l1,0.07550542056560516,5.862784967336796,0.019663284796514587,0.25316896014311996,0.3264354962910266,0.5796044564341465,0.4093220813378561
18000,9001,20000,6646,2000,l1,0.07636679708957672,5.821662214755907,0.019852801367337167,0.2499596792450524,0.3329958675115451,0.5829555467565976,0.4080960263460424
20000,10001,20000,6646,2000,l1,0.07693807035684586,5.738284310771501,0.01812213361555654,0.2407837829511979,0.34198884917464517,0.5827726321258431,0.4113561819010872
